population numeric,householdsize numeric,racepctblack numeric,racePctWhite numeric,racePctAsian numeric,racePctHisp numeric,agePct12t21 numeric,agePct12t29 numeric,agePct16t24 numeric,agePct65up numeric,numbUrban numeric,pctUrban numeric,medIncome numeric,pctWWage numeric,pctWFarmSelf numeric,pctWInvInc numeric,pctWSocSec numeric,pctWPubAsst numeric,pctWRetire numeric,medFamInc numeric,perCapInc numeric,whitePerCap numeric,blackPerCap numeric,indianPerCap numeric,AsianPerCap numeric,HispPerCap numeric,NumUnderPov numeric,PctPopUnderPov numeric,PctLess9thGrade numeric,PctNotHSGrad numeric,PctBSorMore numeric,PctUnemployed numeric,PctEmploy numeric,PctEmplManu numeric,PctEmplProfServ numeric,PctOccupManu numeric,PctOccupMgmtProf numeric,MalePctDivorce numeric,MalePctNevMarr numeric,FemalePctDiv numeric,TotalPctDiv numeric,PersPerFam numeric,PctFam2Par numeric,PctKids2Par numeric,PctYoungKids2Par numeric,PctTeen2Par numeric,PctWorkMomYoungKids numeric,PctWorkMom numeric,NumIlleg numeric,PctIlleg numeric,NumImmig numeric,PctImmigRecent numeric,PctImmigRec5 numeric,PctImmigRec8 numeric,PctImmigRec10 numeric,PctRecentImmig numeric,PctRecImmig5 numeric,PctRecImmig8 numeric,PctRecImmig10 numeric,PctSpeakEnglOnly numeric,PctNotSpeakEnglWell numeric,PctLargHouseFam numeric,PctLargHouseOccup numeric,PersPerOccupHous numeric,PersPerOwnOccHous numeric,PersPerRentOccHous numeric,PctPersOwnOccup numeric,PctPersDenseHous numeric,PctHousLess3BR numeric,MedNumBR numeric,HousVacant numeric,PctHousOccup numeric,PctHousOwnOcc numeric,PctVacantBoarded numeric,PctVacMore6Mos numeric,MedYrHousBuilt numeric,PctHousNoPhone numeric,PctWOFullPlumb numeric,OwnOccLowQuart numeric,OwnOccMedVal numeric,OwnOccHiQuart numeric,RentLowQ numeric,RentMedian numeric,RentHighQ numeric,MedRent numeric,MedRentPctHousInc numeric,MedOwnCostPctInc numeric,MedOwnCostPctIncNoMtg numeric,NumInShelters numeric,NumStreet numeric,PctForeignBorn numeric,PctBornSameState numeric,PctSameHouse85 numeric,PctSameCity85 numeric,PctSameState85 numeric,LemasSwornFT numeric,LemasSwFTPerPop numeric,PctUsePubTrans numeric,PolicCars numeric,PolicOperBudg numeric,unrelated_column_one,unrelated_column_two
37596.0,3.0,9.0,83.0,2.0,8.0,14.0,28.0,14.0,11.0,43367.0,71.0,29470.0,78.0,1.0,40.0,26.0,7.0,15.0,35032.0,13595.0,14875.0,8659.0,10232.0,11800.0,9305.0,6736.0,13.0,10.0,24.0,21.0,6.0,60.0,17.0,24.0,14.0,26.0,10.0,31.0,13.0,11.0,3.0,72.0,69.0,80.0,74.0,60.0,68.0,1985.0,3.0,8804.0,14.0,22.0,30.0,39.0,1.0,2.0,2.0,3.0,86.0,2.0,6.0,4.0,3.0,3.0,2.0,62.0,4.0,49.0,3.0,1408.0,93.0,59.0,2.0,34.0,1963.0,5.0,0.0,81957.0,107851.0,141737.0,52684.0,311.0,412.0,512.0,185.0,485.0,27.0,21.0,13.0,43.0,27.0,8.0,59.0,50.0,77.0,88.0,28.0,2366.0,2.0,0.0,0.0
549083.0,3.0,21.0,75.0,11.0,18.0,20.0,31.0,21.0,17.0,558102.0,63.0,48134.0,75.0,2.0,44.0,30.0,8.0,18.0,52961.0,23439.0,25472.0,47509.0,38170.0,30153.0,17650.0,96588.0,15.0,14.0,26.0,28.0,8.0,61.0,20.0,28.0,16.0,30.0,9.0,34.0,12.0,11.0,3.0,72.0,69.0,78.0,74.0,60.0,68.0,31569.0,6.0,157067.0,19.0,25.0,31.0,37.0,3.0,4.0,5.0,7.0,76.0,6.0,10.0,8.0,3.0,3.0,3.0,65.0,11.0,46.0,3.0,16568.0,84.0,62.0,8.0,35.0,1964.0,6.0,1.0,164880.0,179826.0,199776.0,102714.0,416.0,477.0,564.0,270.0,539.0,26.0,22.0,13.0,1567.0,635.0,15.0,57.0,50.0,72.0,80.0,340.0,9030.0,11.0,0.0,0.0
120592.0,3.0,17.0,69.0,6.0,20.0,16.0,31.0,17.0,12.0,156650.0,67.0,28840.0,76.0,1.0,35.0,27.0,10.0,15.0,34130.0,13713.0,15560.0,13829.0,14732.0,13454.0,9524.0,22610.0,18.0,14.0,29.0,20.0,8.0,58.0,18.0,25.0,16.0,25.0,10.0,35.0,14.0,12.0,3.0,67.0,62.0,74.0,69.0,60.0,67.0,9910.0,5.0,29998.0,19.0,28.0,36.0,45.0,3.0,4.0,5.0,7.0,76.0,6.0,8.0,6.0,3.0,3.0,3.0,55.0,10.0,54.0,2.0,3765.0,91.0,53.0,4.0,34.0,1962.0,7.0,1.0,91387.0,115091.0,146002.0,59884.0,312.0,399.0,494.0,191.0,468.0,27.0,22.0,13.0,268.0,107.0,13.0,56.0,47.0,75.0,86.0,83.0,4745.0,5.0,0.0,1.0
11136.0,3.0,2.0,97.0,0.0,1.0,12.0,23.0,10.0,11.0,2908.0,76.0,41950.0,82.0,1.0,55.0,26.0,3.0,17.0,48010.0,17981.0,17713.0,5667.0,8259.0,14423.0,12889.0,310.0,4.0,4.0,15.0,27.0,4.0,66.0,18.0,23.0,11.0,32.0,7.0,25.0,10.0,9.0,3.0,84.0,82.0,92.0,85.0,61.0,71.0,64.0,1.0,488.0,7.0,11.0,17.0,22.0,0.0,0.0,0.0,0.0,96.0,0.0,3.0,2.0,3.0,3.0,2.0,81.0,0.0,33.0,3.0,196.0,96.0,77.0,1.0,35.0,1965.0,1.0,0.0,92218.0,121969.0,159796.0,54686.0,368.0,491.0,601.0,216.0,573.0,25.0,21.0,13.0,2.0,1.0,2.0,65.0,58.0,81.0,91.0,3.0,667.0,1.0,0.0,0.0
24010.0,3.0,8.0,81.0,2.0,8.0,14.0,28.0,14.0,11.0,28695.0,71.0,28106.0,78.0,1.0,38.0,26.0,8.0,15.0,33610.0,12924.0,14230.0,7546.0,9443.0,10718.0,8774.0,2893.0,13.0,10.0,25.0,20.0,6.0,60.0,17.0,24.0,14.0,26.0,10.0,31.0,13.0,12.0,3.0,71.0,68.0,80.0,73.0,60.0,68.0,1306.0,3.0,4996.0,14.0,23.0,31.0,40.0,1.0,2.0,2.0,3.0,86.0,2.0,5.0,4.0,3.0,3.0,2.0,61.0,4.0,50.0,3.0,719.0,94.0,58.0,2.0,34.0,1963.0,5.0,0.0,78299.0,103770.0,137891.0,49678.0,303.0,405.0,506.0,178.0,480.0,27.0,21.0,13.0,40.0,10.0,8.0,59.0,49.0,77.0,88.0,19.0,2241.0,2.0,0.0,1.0
24292.0,3.0,7.0,87.0,2.0,5.0,15.0,27.0,14.0,12.0,22745.0,71.0,34615.0,78.0,1.0,43.0,27.0,6.0,16.0,40010.0,15603.0,16725.0,9927.0,12361.0,14669.0,11253.0,2855.0,10.0,9.0,23.0,23.0,6.0,62.0,18.0,24.0,14.0,28.0,9.0,30.0,12.0,10.0,3.0,76.0,73.0,84.0,77.0,60.0,68.0,879.0,2.0,4528.0,13.0,19.0,26.0,34.0,1.0,1.0,2.0,2.0,87.0,2.0,5.0,4.0,3.0,3.0,2.0,68.0,3.0,45.0,3.0,952.0,93.0,65.0,2.0,34.0,1964.0,4.0,0.0,95454.0,121998.0,155519.0,60192.0,340.0,442.0,545.0,209.0,517.0,26.0,21.0,13.0,32.0,13.0,7.0,60.0,52.0,78.0,88.0,16.0,2290.0,2.0,0.0,0.0
75514.0,3.0,21.0,55.0,6.0,40.0,17.0,32.0,17.0,11.0,59335.0,67.0,22463.0,75.0,1.0,28.0,26.0,14.0,13.0,26866.0,10439.0,12311.0,8508.0,10816.0,9501.0,6826.0,11706.0,24.0,19.0,37.0,15.0,10.0,55.0,17.0,23.0,19.0,21.0,11.0,37.0,15.0,13.0,3.0,62.0,56.0,68.0,65.0,58.0,65.0,4186.0,7.0,13632.0,21.0,32.0,41.0,52.0,4.0,6.0,8.0,11.0,61.0,12.0,11.0,8.0,3.0,3.0,3.0,47.0,17.0,61.0,2.0,1996.0,92.0,47.0,5.0,32.0,1961.0,9.0,1.0,72548.0,97151.0,128865.0,49428.0,270.0,360.0,457.0,170.0,429.0,29.0,22.0,13.0,197.0,62.0,20.0,54.0,45.0,76.0,87.0,41.0,5460.0,5.0,0.0,1.0
48731.0,3.0,10.0,83.0,3.0,9.0,16.0,28.0,15.0,13.0,40561.0,68.0,35882.0,77.0,1.0,42.0,27.0,7.0,16.0,41124.0,16511.0,17991.0,14486.0,16022.0,16962.0,12014.0,5517.0,12.0,11.0,25.0,23.0,7.0,61.0,19.0,25.0,15.0,28.0,9.0,31.0,12.0,11.0,3.0,74.0,70.0,81.0,75.0,60.0,68.0,2065.0,3.0,7743.0,15.0,22.0,29.0,37.0,1.0,2.0,3.0,3.0,84.0,3.0,7.0,5.0,3.0,3.0,3.0,65.0,5.0,47.0,3.0,1960.0,91.0,62.0,3.0,34.0,1963.0,5.0,1.0,106066.0,130529.0,160959.0,67135.0,348.0,439.0,538.0,218.0,510.0,27.0,22.0,13.0,93.0,37.0,9.0,59.0,51.0,76.0,86.0,26.0,3382.0,4.0,0.0,0.0
29637.0,3.0,7.0,89.0,2.0,4.0,14.0,27.0,14.0,13.0,15493.0,70.0,37531.0,78.0,1.0,46.0,27.0,6.0,17.0,43475.0,17304.0,18264.0,12972.0,12837.0,16009.0,12312.0,2572.0,9.0,8.0,20.0,25.0,5.0,63.0,18.0,25.0,13.0,30.0,9.0,29.0,12.0,11.0,3.0,76.0,74.0,85.0,77.0,61.0,70.0,677.0,2.0,3843.0,13.0,19.0,26.0,32.0,1.0,1.0,1.0,2.0,91.0,1.0,5.0,3.0,3.0,3.0,2.0,69.0,2.0,43.0,3.0,946.0,93.0,66.0,2.0,34.0,1964.0,3.0,0.0,101176.0,125680.0,157727.0,62468.0,349.0,445.0,545.0,210.0,519.0,26.0,21.0,13.0,34.0,15.0,6.0,61.0,52.0,76.0,87.0,15.0,1987.0,2.0,0.0,0.0
65364.0,3.0,10.0,83.0,3.0,8.0,15.0,28.0,15.0,12.0,66901.0,70.0,32477.0,77.0,1.0,42.0,27.0,7.0,16.0,38345.0,15258.0,16533.0,12496.0,12526.0,14007.0,10624.0,13707.0,13.0,9.0,23.0,23.0,6.0,61.0,17.0,25.0,14.0,28.0,10.0,31.0,13.0,11.0,3.0,72.0,69.0,80.0,74.0,61.0,69.0,3051.0,3.0,17956.0,15.0,22.0,30.0,38.0,1.0,2.0,2.0,3.0,87.0,2.0,6.0,4.0,3.0,3.0,2.0,63.0,4.0,48.0,3.0,2265.0,92.0,60.0,3.0,34.0,1963.0,5.0,0.0,92157.0,117044.0,149877.0,59066.0,328.0,423.0,520.0,195.0,495.0,27.0,21.0,13.0,72.0,55.0,8.0,59.0,49.0,76.0,87.0,52.0,2710.0,3.0,0.0,0.0
