population numeric,householdsize numeric,racepctblack numeric,racePctWhite numeric,racePctAsian numeric,racePctHisp numeric,agePct12t21 numeric,agePct12t29 numeric,agePct16t24 numeric,agePct65up numeric,numbUrban numeric,pctUrban numeric,medIncome numeric,pctWWage numeric,pctWFarmSelf numeric,pctWInvInc numeric,pctWSocSec numeric,pctWPubAsst numeric,pctWRetire numeric,medFamInc numeric,perCapInc numeric,whitePerCap numeric,blackPerCap numeric,indianPerCap numeric,AsianPerCap numeric,HispPerCap numeric,NumUnderPov numeric,PctPopUnderPov numeric,PctLess9thGrade numeric,PctNotHSGrad numeric,PctBSorMore numeric,PctUnemployed numeric,PctEmploy numeric,PctEmplManu numeric,PctEmplProfServ numeric,PctOccupManu numeric,PctOccupMgmtProf numeric,MalePctDivorce numeric,MalePctNevMarr numeric,FemalePctDiv numeric,TotalPctDiv numeric,PersPerFam numeric,PctFam2Par numeric,PctKids2Par numeric,PctYoungKids2Par numeric,PctTeen2Par numeric,PctWorkMomYoungKids numeric,PctWorkMom numeric,NumIlleg numeric,PctIlleg numeric,NumImmig numeric,PctImmigRecent numeric,PctImmigRec5 numeric,PctImmigRec8 numeric,PctImmigRec10 numeric,PctRecentImmig numeric,PctRecImmig5 numeric,PctRecImmig8 numeric,PctRecImmig10 numeric,PctSpeakEnglOnly numeric,PctNotSpeakEnglWell numeric,PctLargHouseFam numeric,PctLargHouseOccup numeric,PersPerOccupHous numeric,PersPerOwnOccHous numeric,PersPerRentOccHous numeric,PctPersOwnOccup numeric,PctPersDenseHous numeric,PctHousLess3BR numeric,MedNumBR numeric,HousVacant numeric,PctHousOccup numeric,PctHousOwnOcc numeric,PctVacantBoarded numeric,PctVacMore6Mos numeric,MedYrHousBuilt numeric,PctHousNoPhone numeric,PctWOFullPlumb numeric,OwnOccLowQuart numeric,OwnOccMedVal numeric,OwnOccHiQuart numeric,RentLowQ numeric,RentMedian numeric,RentHighQ numeric,MedRent numeric,MedRentPctHousInc numeric,MedOwnCostPctInc numeric,MedOwnCostPctIncNoMtg numeric,NumInShelters numeric,NumStreet numeric,PctForeignBorn numeric,PctBornSameState numeric,PctSameHouse85 numeric,PctSameCity85 numeric,PctSameState85 numeric,LemasSwornFT numeric,LemasSwFTPerPop numeric,PctUsePubTrans numeric,PolicCars numeric,PolicOperBudg numeric,unrelated_column_one,unrelated_column_two
15577,2.85430936368648,0.495605436109472,98.9529185050183,0.371094551443433,1.80211902759659,12.9653722499637,34.09,11.2664824301323,12.8001645692438,0,0,23184,67.14,0.591900605233386,41.5616546879709,39.150613332501,8.57349795524419,15.3725035670873,37795,8872,11342,159,14557,1391,4411,687,26.9,11.01,24.3710224347872,19.6095358574903,3.54,56.4,14.4198382745218,51.417829121328,15.8134794209781,16.57,8.42680503288284,67.29,9.82567609692924,9.63,2.97,72.98,70.1175200670034,83.6215360087071,83.72,58.6081941501998,73.54,182,2.18,624,45.83,41.96,27.59,72.32,3.62373519934093,0.958681519840223,1.26051975896116,0.225392173991228,92.0598453888778,0.561736130046192,2.08999154322315,2.72279892812017,2.33,2.73,2.04,58.5254379588086,1.89,60.5200038540992,2,360,87.1539776178108,54.85,5.6,48.705156933011,1949,2.97807893314632,0.369760618042201,40698,51100,439200,58637,178,258,384,142,294,26.4655072158668,17.7,12.7818010955739,0,0,2.42852967110928,37.19,38.823777152452,69.22,90.11,13.9,2214.5,1.93,"1","0"
13393,2.37,8.23,95.5,0.703461514404043,1.02686553517356,12.97,23.4771177425166,14.1725572059482,12.0284610229482,21729,0,29668,75.62,0.140561448722923,49.7868650106247,31.8992788928204,6.55,16.37,42981,13809,13529,18275,14514,12917,9325,1847,5.79415142549202,5.11,15.84,17.67,3.50426272915676,64.1745609284037,22.3978163806651,22.41,16.65,33.2228368128743,8.67771055475886,25.9291769952669,14.6969061269239,10.7734111607114,2.92376019044546,76.6299626272055,71.15,89.2925274552459,84.9060152328138,56.9949691401608,77.92,94,1.96,1261,8.11,0,7.32,26.2721700450126,0.17,0.197573363063857,0.04,0.21,94.42,0.4,2.39781254907371,1.63270475115782,2.51,2.31500971560522,2.44,74.7177531200771,3.30339304088304,47.16,3,270,95.5,62.83,1.2458684659532,35.0908267055405,1964,5.26435990413961,0,51400,67300,94675,39500,327,318,443,154,387,24.1,16.1,11.4,12,1,1.5,54.62,46.8472934679594,84.9906964341179,85.63,10.6047663490288,2967.27613163587,0.366628977949731,"1","0"
35445,2.51,13.0520659739322,86.84,0.5,0.7,15.31,27.64,13.3995174887264,14.5852297008953,32172,0,22783,70.0808737141523,0.745916824394371,39.44,36,12.68,17.47,28531,10388,12540,7722,3534,20082,8577,8474,14.7525813484999,9.19,27.6288926991913,12.5487112647838,13.48,61.3116174570688,14.93,28.75,16.6756540264934,30.3317418502876,11.8998225431982,31.65,13.0582925040384,11.87636538347,2.99760397432605,65.7747905454785,58.7,75.071482879968,61.27,67.0125152824842,68.1,343,8.16,2386,14.53,27.39,51.56,37.1,0,0.186864955106284,0.270526864395166,0.36,96.9617000245132,0.560122918478834,4.15236455320691,3,2.57,2.53753505074652,2.15,69.92,1.9,46.2586281747449,3,11242,92.07,59.4409469339182,8.8877423087554,44.86,1942,4.22361208993942,0.34,27300,55000,54622,32394,171,239,281,123,329,27.5,17.7514125704067,12.2,21,0,1.62859776189085,69.75,54.85,85.7926415681218,96.91,2.2,2430.65667747948,3.08097136254267,"1","0"
27291,2.89,0.68,98.04,6.21,0.64,11.228874166316,57.65,11.0401479420337,7.31,14835,100,36404,77.0854790335172,0.53,62.7,19.6163160715718,2.45,21.54,41821,19519,17538,11087,26168,29726,3321,1274,2.49239615384179,2.8,8.41045857172149,17.4139359875924,4.21,68.7159934176799,13.8749716557112,25.88,6.75,35.14,6.05206084408099,23.88,11.8,9.97,3.26,82.09,84.2,81.7945664254669,83.5,54.368783509396,71.7028852709522,41,1.47337234911819,532,11.2431297862662,4.27235247826824,17.626318243853,2.78,0.15,0.53,0.32,0.27,97.92,0.684592236154713,4.07,4.17326199134656,2.69,3.14,2.18,78.8,0.45,38.8,3,215,94.9,79.4732318573142,0.47,43.6691820015541,1956,0.262269823576013,0.16,180700,224304,302817,71500,412,803,494,261,548,27.2,21.5464629494119,13.3,0,0,7.55022953767795,80.85,47.2750090211723,89.9195558899664,93.0319103916828,6.5,282.8,0.32,"0","0"
64682,2.69,0.982381714877362,83.1392758344634,1.92382724632121,0.7,13.53,29.65,13.67,24.0767518259135,27437,0,42723,75.2267572333718,1.1,41.0427867998695,25.9,19.1022052897746,20.4066600874889,30756,12831,11854,6002,7853,7832,12688,6714,15.4612499777903,21.83,45.84,17.0258076907337,11.5811377746519,60.3,9.58,28.59,17.6805692486806,40.52,8.95263151319309,26.89,15.27,14.59,2.97,72.4581153071811,61.0654319105763,85.31,75.7805522836605,53.8728784921051,81.1305471480576,1179,4.20224996059202,3638,11.4638051521895,23.2329576703673,11.8713493623491,52.7279957725356,1.99,0.502076224698685,1.65,0.38,80.25,0.24,4.46576144728654,5.04690904305084,2.75,2.5,2.32505481194394,60.32,8.4,48.69,2,7547,93.55,64.7889060008479,0.484769695515279,59.34,1970,3.82,0.58,51873,138330,77900,27900,575,283,441,173,795,29.9,19.8,13.9,145,125,16.4803896891023,75.22,54.89,73.97,93.71,9.7917815952717,1647.8,0.21,"0","0"
87426,2.43,7.95,94.0388062953421,0.885754366981176,0.84,19.4373566453811,28.911646077546,13.47,10.9115345025357,96466,63.4265195431311,25610,76.2448815359501,0.768141847035537,31.13,26.3629614953386,8.46,14.9676150562863,33367,12969,13459,9731,5925,7877,11111,7291,17.38,13.0365741458535,30.6384713686304,34.88,6.51,60.4668676990969,22.09,18.96,11.29,33.33,10.7105550467968,26.7465582592366,14.7795080911027,12.8522920712565,2.91283666824301,69.8648627509642,69.8159063141793,77.8232960608726,64.2592598249593,73.1927564433062,74.1325469214485,2890,2.83,505,32.4526065049196,31.5250195012552,38.6606765001779,39.22,0.329970289156772,0.66,0.781370980578164,1.38,94.11,0.225454627849783,2.74,3.14,2.46,2.7,2.34638554426065,71.23,2.83503219859209,48.3368462348077,3,1980,94.2873541663866,57.27,7.84,31.8479059163202,1972,6.38997690780244,0.347843393579436,40700,61061,65100,27900,164,281,312,135,344,26.7,18.9925935856998,12.9,1,0,5.1,62.5809432058875,42.47,82.9366846082499,88.103069017365,45.4,1478.91120542558,0.123292908570729,"0","1"
83312,4.51,12.1029856779256,68.2298910660204,0.689033170084779,4.83,12.8,38.56,19.29,10.33,0,26.691542340753,26204,70.9434346937807,0.97,39.7190552694381,25.5278250056575,5.11320829685001,10.11,26250,6786,14321,4531,8396,5922,8807,14393,13.13,11.8806997502828,29.7420289867169,58.5407343561668,8.83,24.93,11.11,39.42,5.41605377828702,20.03,15.02,42.22,23.46,10.73,2.98,71.57,71.57,84.1406017516328,67.05,64.07,74.5762162495063,1003,9.27140795857956,5094,31.21,25.93,51.7,52.14,2.53,1.2690955813881,1.98021092833563,4.62,87.1128669607624,1.20822914418764,2.49608318389161,1.29,2.32221222501248,2.33,2.36,64.1952624321411,3.35413993841968,51.848474124223,2,359,93.2071241108949,65.22,1.11,62.12,1969,1.64,0.3,31232,38800,100864,27700,202,252,279,149,325,24.8,21,13.7,0,0,6.51301012487383,53.6960235282111,33.8981824991231,54.51,92.7,8.5,3119.90520544739,0,"0","1"
15979,2.71,1.01,97.15,0.479803621609074,12.01,16.55,34.42,21.4476355107128,8.54080982372165,18820,100,41875,78.6431449482419,0.818046966722856,53.0506237171032,22.45,4.68,17.04,44361,19031,17049,14098,10186,14529,11168,869,13.03,3.47,12.82,16.17,5.01772439084792,66.51,8.5,24.23,7.72754897056225,21.52,8.4610644043237,42.98,11.01,8.27,3.09,73.72,76.0059586676583,89.5847898907152,77.54,67.51,71.01,122,1.07,170,12.3191040894017,33.6594523821399,39.64,38.7995716826882,1.48,0.26,0.34,0.34,93.37,0.644787070222664,3.81882187183946,3.57,2.55367847231527,2.88143902169929,2.22,72.56,1.71,51.9565449417755,2,443,96.91,57.88,1.44,77.15,1969,2.2,0.23,143400,164000,73300,55833,522,615,720,102,678,30.3,23.3,13.5786332001444,9,0,14.39,64.4344267732557,47.28,67.99,82.41,2.9,6077.94630122172,2.78708203377668,"1","0"
70163,2.34,0.94,92.5120752258878,1.9,5.02180747848625,12.0369866016554,29.2256374626071,6.95324385211493,6.63445241572879,13919,100,41177,86.995912473069,1.15,41.1530682446668,41.2263113758713,2.4383282413225,14.9720879478628,45796,28307,13861,7939,15049,13218,12130,3285,4.85,6.55,8.9917964016196,29.1,3.29,66.33,25.44,19.44,16.35,27.1326738322123,6.14,27.41,9.84745252626017,9.02,3.15622862864674,83.82,75.5823568590482,91.67,90.7952035936962,70.6733564529413,62.4,32,1.25,62,16.9915102371643,15.0038898523548,14.7457521569519,14.06,0.09,0.73,0.89,6.0180006271104,95.34,0.485133396519814,4.08,2.71,3.35,3,2.29,77.13,1.2,38.0924622555217,3,196,95.0402599060039,68.85,0,39.954120346539,1963,1.32,0.48,133940,128400,184477,34500,288,432,545,222,544,21.8847060156986,24.5338130265474,12.1,0,0,2.84,79.72,65.190826892762,87.0078947554598,95.8143065849599,61.7,549.437600000971,0,"1","1"
19572,2.77,5.51,94.6054157216288,1.63,0.985346030454772,11.9002990066594,18.7261087211547,13.15,8.54,17102,58.5706763829291,31958,84.674562667779,2.53,60.18,26.57,2.91,19.0338959530337,26760,21074,19931,15296,0,15651,16675,79,4.33,4.36,20.98,36.72,3.77,72.68,18.62,19.6220523314923,4.41877622347558,34.05,7.41876823586179,33.6959656967005,7.14,7.73,2.88718386154932,89.6766418323387,86.3938442808855,94.1144880466536,80.94,67.3460361150326,58.56,42,0.53,872,7.5726673311422,27.3280080767255,24.52,43.3337363755796,1.27986735501172,0.1,2.44,0.271070644579207,91.42,2.51216124477796,3.10507582607291,1.55,3.07953279246964,2.48595415163009,2.26,85.7294750341494,2.09,36.8315765316901,3,371,90.4387533311546,91.09,1.00031580614392,21.4968728307355,1958,0.91,0.37,60438,179384,443695,33582,582,461,952,139,505,24.4,20.1262985705864,11.9678729350523,0,0,6.43,70.94,28.7198610973731,79.4457599119151,88.1359765536734,11.6406246217433,801.654607943934,2.07,"1","0"
