age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two
60,0,M,Male,8,-2,0,0,1
37,1,F,Male,1,0,0,0,1
24,1,F,Male,1,1,0,0,1
35,0,M,Female,7,38,1,0,1
27,0,F,Female,20,1,0,0,1
41,1,F,Male,3,264,1,0,1
30,0,M,Female,3,-2,0,0,1
32,1,F,Male,4,-1,0,0,1
27,1,F,Male,0,-2,0,0,1
23,1,F,Male,5,0,0,0,1
28,1,F,Male,2,2,1,0,1
24,0,M,Female,0,1,0,0,1
23,0,F,Male,22,1,0,0,1
34,1,F,Male,10,12,1,0,1
29,0,F,Male,1,32,1,0,1
33,1,F,Male,5,-1,1,0,1
42,0,M,Female,2,-2,0,0,1
25,0,F,Female,1,1,1,0,1
29,1,F,Male,10,0,0,0,1
38,0,F,Male,3,2,0,0,1
19,0,F,Female,1,0,1,0,1
39,1,F,Male,3,0,1,0,1
40,0,M,Female,5,-1,0,0,1
52,0,F,Female,0,0,0,0,1
42,0,M,Male,9,11,0,0,1
50,0,M,Female,0,3,0,0,1
22,0,F,Male,2,11,0,0,1
35,0,F,Male,9,9,0,0,1
31,0,F,Male,7,31,0,0,1
22,1,F,Male,6,6,1,0,1
31,1,F,Male,1,0,1,0,1
53,1,F,Male,1,2,1,0,1
34,1,M,Female,1,2,0,0,1
35,0,F,Female,3,1,0,0,1
41,1,F,Male,9,1,1,0,1
38,0,F,Male,15,25,1,0,1
28,1,F,Female,1,2,0,0,1
46,1,F,Male,0,0,0,0,1
29,1,F,Male,6,48,1,0,1
24,0,M,Male,3,2,0,0,1
28,1,F,Male,1,-1,0,0,1
35,0,F,Female,6,1,0,0,1
49,0,F,Male,4,2,1,0,1
32,0,F,Male,0,0,1,0,1
26,1,F,Male,1,2,1,0,1
30,0,M,Male,0,-1,0,0,1
31,1,F,Female,1,75,0,0,1
31,0,M,Female,0,1,0,0,1
25,0,F,Male,2,-1,0,0,1
23,1,F,Male,1,21,1,0,1
27,0,M,Male,0,-1,0,0,1
21,0,F,Male,6,18,0,0,1
63,1,F,Male,3,-2,0,0,1
50,0,F,Male,0,0,1,0,1
35,1,F,Male,3,2,1,0,1
25,0,M,Female,0,-1,0,0,1
26,0,F,Female,0,2,0,0,1
37,0,M,Female,0,0,0,0,1
64,0,M,Male,0,-2,0,0,1
23,1,F,Male,11,0,1,0,1
34,0,F,Female,0,-3,0,0,1
23,0,F,Male,1,63,1,0,1
28,0,M,Female,0,0,0,0,1
29,0,M,Male,0,4,0,0,1
17,0,F,Male,9,2,1,0,1
24,1,F,Male,1,27,1,0,1
63,0,M,Male,1,153,0,0,1
36,0,F,Male,1,2,0,0,1
24,1,F,Male,6,3,1,0,1
21,0,M,Male,1,0,0,0,1
21,0,M,Male,9,1,0,0,1
49,0,M,Male,0,-1,0,0,1
24,1,M,Female,5,0,0,0,1
29,0,F,Male,8,1,1,0,1
25,0,M,Female,6,11,0,0,1
38,1,F,Male,5,0,1,0,1
35,0,F,Male,1,-2,0,0,1
28,0,F,Male,1,4,1,0,1
24,1,F,Male,3,0,1,0,1
23,1,F,Male,4,3,0,0,1
26,0,M,Male,0,0,0,0,1
28,0,F,Male,1,35,0,0,1
35,0,F,Male,8,2,1,0,1
23,0,M,Female,8,0,0,0,1
24,0,M,Female,0,2,1,0,1
22,0,F,Male,8,1,0,0,1
21,1,F,Male,18,0,0,0,1
25,0,F,Male,11,1,0,0,1
21,0,M,Female,0,0,0,0,1
20,0,F,Male,4,1,0,0,1
54,1,F,Male,1,0,0,0,1
23,0,M,Male,0,1,0,0,1
23,1,M,Female,0,0,0,0,1
55,0,M,Male,1,-2,0,0,1
29,0,M,Female,1,0,0,0,1
30,0,M,Female,1,2,1,0,1
28,0,F,Male,5,-1,0,0,1
32,1,F,Male,4,1,0,0,1
25,1,F,Male,0,2,0,0,1
23,1,F,Male,3,19,1,0,1
23,1,F,Male,1,3,0,0,1
29,0,F,Male,1,2,0,0,1
27,0,M,Female,0,2,0,0,1
39,0,F,Male,3,2,0,0,1
20,0,M,Female,13,2,0,0,1
49,0,M,Male,0,1,0,0,1
25,1,F,Male,5,2,0,0,1
38,1,F,Male,6,2,1,0,1
46,1,F,Male,8,1,1,0,1
27,1,F,Female,7,21,1,0,1
21,0,F,Male,19,28,1,0,1
46,0,M,Female,0,0,0,0,1
35,0,F,Female,0,-1,1,0,1
64,0,M,Female,0,1,0,0,1
28,0,F,Male,1,11,1,0,1
33,1,F,Male,4,2,1,0,1
42,1,F,Male,6,19,0,0,1
28,0,F,Male,0,-1,0,0,1
20,0,F,Female,0,0,0,0,1
38,1,F,Male,3,10,0,0,1
46,1,F,Male,8,15,1,0,1
59,0,M,Female,11,1,0,0,1
31,0,F,Female,0,-1,0,0,1
31,0,M,Female,0,1,0,0,1
32,0,F,Male,0,1,1,0,1
27,0,M,Female,0,-1,0,0,1
28,0,F,Male,18,5,0,0,1
24,1,F,Male,2,11,1,0,1
28,1,M,Female,1,1,0,0,1
30,1,F,Male,2,47,1,0,1
32,0,F,Female,5,2,0,0,1
19,0,F,Female,2,2,0,0,1
46,0,M,Male,1,173,0,0,1
56,0,M,Female,14,4,0,0,1
27,0,F,Male,1,6,1,0,1
35,1,M,Female,0,1,0,0,1
47,0,F,Male,5,52,0,0,1
26,0,M,Female,0,1,0,0,1
33,0,F,Female,14,38,0,0,1
30,0,F,Female,3,2,1,0,1
41,1,M,Female,2,2,1,0,1
28,1,F,Male,8,-2,0,0,1
24,0,F,Female,0,-1,0,0,1
34,1,F,Male,2,-3,1,0,1
42,0,M,Female,0,1,0,0,1
24,0,F,Male,0,-1,1,0,1
26,0,F,Male,5,59,1,0,1
42,0,F,Male,4,47,1,0,1
43,0,F,Female,3,0,0,0,1
22,0,M,Female,0,1,1,0,1
29,1,M,Female,5,21,1,0,1
20,1,F,Male,25,2,1,0,1
30,1,M,Male,1,1,0,0,1
19,1,F,Male,1,3,1,0,1
26,0,F,Female,0,-1,1,0,1
34,0,M,Male,1,-190,0,0,1
37,1,F,Male,1,0,0,0,1
22,0,F,Male,5,4,0,0,1
49,0,M,Female,14,-1,0,0,1
23,1,F,Male,0,1,1,0,1
28,0,M,Female,3,0,0,0,1
30,0,F,Male,4,6,0,0,1
38,1,F,Male,9,3,0,0,1
40,0,M,Female,0,-1,1,0,1
45,0,F,Male,0,1,0,0,1
33,0,M,Male,0,9,0,0,1
71,0,M,Female,0,1,0,0,1
38,1,F,Female,0,-1,1,0,1
30,1,F,Male,8,43,1,0,1
18,1,F,Male,6,0,0,0,1
27,1,F,Male,5,2,0,0,1
23,0,M,Female,8,-1,0,0,1
28,0,M,Female,0,-1,0,0,1
41,0,M,Female,0,4,0,0,1
37,0,M,Female,0,2,1,0,1
45,0,M,Male,3,2,0,0,1
21,1,F,Male,9,-1,0,0,1
21,0,F,Male,3,142,0,0,1
30,1,M,Male,8,2,0,0,1
35,0,F,Male,6,1,0,0,1
46,1,F,Male,3,-9,1,0,1
20,1,F,Male,3,-1,1,0,1
25,1,F,Male,0,1,0,0,1
41,1,F,Male,7,-1,1,0,1
36,0,M,Male,0,3,0,0,1
26,0,F,Male,2,2,1,0,1
34,0,F,Male,0,-2,0,0,1
32,1,F,Male,4,1,0,0,1
55,0,M,Female,0,1,0,0,1
31,1,F,Male,5,1,0,0,1
33,1,F,Male,6,-1,1,0,1
22,1,F,Male,6,-1,1,0,1
41,0,M,Female,1,-1,0,0,1
26,0,F,Male,6,12,1,0,1
30,1,F,Male,14,7,0,0,1
24,1,F,Male,1,38,1,0,1
22,0,M,Female,0,0,0,0,1
33,1,F,Male,5,1,0,0,1
29,0,M,Female,2,0,0,0,1
28,0,M,Female,0,-1,0,0,1
56,1,F,Female,7,0,0,0,1
30,0,M,Female,0,1,0,0,1
23,0,F,Male,0,0,0,0,1
51,0,F,Male,0,-1,1,0,1
35,1,F,Male,5,38,0,0,1
27,0,M,Female,0,13,0,0,1
23,0,F,Female,1,3,1,0,1
29,0,M,Male,6,0,0,0,1
52,1,F,Male,9,138,0,0,1
25,0,M,Female,5,2,0,0,1
49,0,M,Male,0,-1,0,0,1
57,1,F,Male,6,29,1,0,1
26,0,F,Male,1,2,1,0,1
42,1,F,Female,26,1,0,0,1
31,0,M,Female,0,-1,0,0,1
21,0,M,Female,0,0,0,0,1
48,1,F,Male,1,-2,0,0,1
44,0,M,Male,0,-2,0,0,1
33,1,F,Male,5,1,1,0,1
23,1,F,Male,4,4,1,0,1
46,1,F,Male,9,33,1,0,1
23,0,M,Female,0,3,0,0,1
29,1,F,Male,1,12,0,0,1
28,1,F,Male,16,-1,1,0,1
29,1,F,Male,2,52,1,0,1
26,1,F,Male,6,6,1,0,1
51,0,F,Male,9,-4,1,0,1
22,0,M,Male,0,3,0,0,1
26,1,F,Male,1,3,1,0,1
30,1,F,Male,1,-1,0,0,1
58,0,M,Female,0,-1,0,0,1
47,0,F,Male,0,-2,0,0,1
28,1,F,Male,6,2,1,0,1
39,0,M,Male,1,-1,0,0,1
24,0,F,Female,4,3,0,0,1
26,1,F,Male,13,142,0,0,1
33,0,M,Male,3,2,0,0,1
34,0,M,Male,1,0,0,0,1
46,1,F,Female,4,0,0,0,1
31,1,F,Male,1,1,1,0,1
31,1,F,Male,5,5,1,0,1
29,1,F,Male,1,88,1,0,1
21,0,F,Male,4,-2,0,0,1
47,0,M,Female,0,-1,0,0,1
29,1,F,Male,6,0,1,0,1
31,1,F,Male,0,2,0,0,1
58,0,M,Male,17,0,0,0,1
30,1,F,Male,4,6,0,0,1
20,1,F,Male,1,1,1,0,1
22,1,F,Male,0,3,1,0,1
37,0,F,Male,15,11,0,0,1
38,0,F,Male,2,-10,0,0,1
39,1,F,Male,5,1,0,0,1
23,0,F,Female,2,0,1,0,1
25,0,M,Female,0,-1,0,0,1
32,0,M,Female,19,2,0,0,1
20,0,F,Male,1,2,0,0,1
28,0,M,Female,3,-2,0,0,1
40,0,F,Male,7,1,1,0,1
53,0,F,Female,2,363,1,0,1
35,0,M,Male,8,0,1,0,1
22,0,F,Male,6,5,1,0,1
19,1,F,Male,0,13,1,0,1
17,1,F,Male,6,112,0,0,1
34,1,F,Male,4,0,0,0,1
28,0,F,Female,1,1,0,0,1
24,1,F,Male,4,40,0,0,1
28,1,F,Male,3,38,0,0,1
24,0,F,Male,2,16,0,0,1
47,0,F,Female,9,-4,0,0,1
26,0,F,Male,3,124,0,0,1
48,1,F,Male,3,0,0,0,1
26,1,F,Male,1,2,0,0,1
24,1,F,Male,1,0,1,0,1
30,0,F,Male,2,241,0,0,1
35,1,F,Female,1,2,1,0,1
34,0,M,Female,0,1,0,0,1
29,1,M,Male,0,0,0,0,1
25,1,F,Male,3,0,1,0,1
22,0,F,Female,5,2,1,0,1
30,0,M,Female,0,1,0,0,1
25,0,F,Female,8,19,0,0,1
33,0,M,Male,0,2,0,0,1
24,1,F,Male,5,0,1,0,1
42,1,F,Male,1,2,1,0,1
37,0,F,Female,1,2,1,0,1
30,1,F,Male,2,26,0,0,1
31,0,M,Female,0,-2,0,0,1
29,1,F,Male,3,-2,1,0,1
39,0,M,Female,0,2,0,0,1
27,1,F,Male,0,3,0,0,1
20,0,M,Female,0,0,0,0,1
23,0,F,Female,4,-1,1,0,1
30,0,F,Male,6,2,0,0,1
27,1,F,Male,1,0,1,0,1
21,0,F,Male,9,1,0,0,1
42,0,M,Female,0,0,0,0,1
