age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two
27,1,F,Female,0,1,0,1,0
60,1,M,Male,0,8,0,1,1
41,0,F,Female,11,58,1,0,1
43,0,F,Male,2,179,1,0,1
24,1,F,Male,5,30,0,0,1
22,0,F,Male,0,25,1,0,1
56,0,M,Male,0,1,0,0,0
28,0,M,Female,1,2,0,0,0
23,0,F,Male,0,2,1,1,1
19,1,F,Male,1,2,0,0,0
59,0,F,Male,1,0,0,0,0
21,0,F,Male,1,0,0,1,0
36,0,M,Female,2,1,1,0,1
50,0,M,Female,0,1,0,0,0
62,0,M,Male,2,2,0,0,0
51,0,M,Male,1,0,0,0,0
22,0,F,Male,0,2,1,1,1
42,0,M,Female,6,3,1,0,0
22,0,M,Male,1,1,0,0,0
34,1,M,Male,5,0,0,0,1
21,0,F,Male,1,2,1,0,0
26,1,F,Male,10,0,0,1,0
44,1,F,Male,0,0,1,0,0
32,1,F,Male,0,8,0,1,0
20,0,M,Female,0,3,0,0,1
44,0,M,Male,8,1,1,1,1
27,0,M,Female,1,2,0,1,1
45,1,F,Male,0,0,0,1,1
56,0,M,Male,0,0,1,0,1
50,0,F,Male,1,9,0,0,0
62,0,M,Female,4,0,0,1,0
41,0,F,Male,6,3,1,0,1
25,1,F,Male,10,-1,1,0,0
25,0,F,Female,0,2,1,1,1
54,1,M,Female,5,1,1,0,0
27,0,M,Male,0,0,0,0,0
21,0,M,Male,0,0,0,0,0
23,0,F,Male,2,1,0,0,0
21,0,F,Male,0,1,1,1,0
25,1,F,Male,4,1,1,1,0
29,1,M,Female,0,0,0,1,1
37,0,M,Male,0,2,0,0,1
30,1,F,Male,7,21,0,1,1
26,0,M,Male,0,2,1,1,1
49,0,M,Male,3,17,1,1,1
38,0,F,Male,10,39,0,1,1
24,0,M,Male,2,2,0,1,0
32,0,F,Male,0,1,0,1,1
39,0,F,Male,0,2,1,0,1
25,0,F,Male,15,1,0,1,0
23,1,F,Male,0,8,0,1,0
67,0,M,Male,0,3,1,1,0
17,1,M,Male,0,2,1,0,0
26,1,M,Male,2,1,0,1,1
27,1,M,Female,5,2,0,1,0
42,0,M,Male,1,1,0,1,0
65,0,F,Male,0,8,0,1,0
23,0,M,Male,1,2,1,0,0
33,0,F,Male,3,2,1,1,0
29,1,F,Male,5,10,1,0,0
23,0,F,Male,2,3,1,1,0
28,0,M,Male,0,0,1,0,1
22,0,F,Male,2,25,0,1,0
32,1,F,Male,1,1,0,0,0
26,0,M,Male,0,1,1,1,1
25,0,F,Male,0,1,1,1,1
62,0,M,Male,5,2,0,0,1
22,1,F,Male,2,1,0,0,0
28,0,F,Male,0,-1,1,0,1
30,0,F,Male,7,97,1,0,1
27,0,F,Male,2,10,1,0,1
37,1,M,Male,0,0,0,0,0
32,1,F,Male,5,17,0,1,1
19,0,F,Male,0,2,1,0,1
22,1,M,Female,0,2,1,1,0
63,1,M,Male,0,185,1,1,1
40,0,F,Male,1,0,0,1,0
46,0,M,Female,1,3,1,1,1
33,0,F,Male,5,17,1,1,0
27,1,F,Male,1,0,0,0,1
47,1,F,Male,0,26,1,0,1
29,0,F,Male,2,1,0,0,1
31,0,F,Male,7,0,1,1,1
34,0,M,Female,0,1,1,1,0
21,0,F,Male,3,2,1,0,1
30,0,F,Male,3,59,1,0,1
20,0,M,Male,1,106,0,0,0
23,1,F,Male,1,23,1,0,1
46,1,M,Male,0,7,0,1,0
23,0,F,Male,2,127,0,1,1
41,1,M,Male,2,2,1,1,0
26,0,M,Male,0,2,0,0,0
39,0,M,Male,0,26,1,1,1
26,0,F,Male,11,0,1,0,1
46,0,F,Female,0,1,0,1,0
38,0,F,Male,2,143,1,1,1
22,1,F,Male,2,28,1,0,1
38,0,F,Female,0,2,1,1,0
24,0,M,Male,1,2,0,1,0
22,0,M,Male,1,2,1,1,0
23,1,F,Male,9,1,1,0,1
24,1,F,Male,0,1,0,1,1
50,0,M,Female,1,0,0,0,0
61,0,F,Male,2,1,0,1,0
67,0,F,Male,3,1,0,0,0
58,1,M,Female,10,33,1,1,1
20,1,M,Male,2,44,1,0,0
23,1,F,Female,4,327,0,1,0
57,1,F,Female,3,43,1,0,1
26,0,M,Female,0,2,0,1,1
26,1,M,Female,4,9,0,0,0
23,1,M,Male,0,0,1,1,1
23,1,M,Male,0,2,0,1,0
39,0,F,Male,8,-1,1,1,1
21,0,F,Male,1,1,1,1,0
30,0,M,Female,2,1,0,0,0
30,0,M,Male,0,6,0,0,1
48,1,M,Female,2,168,1,1,1
57,0,M,Male,0,-1,1,1,1
26,1,M,Male,5,22,1,0,1
19,1,F,Male,1,1,0,1,0
58,0,F,Female,0,2,0,0,0
23,0,F,Male,1,1,0,1,0
20,1,F,Male,11,0,0,0,0
22,0,M,Male,0,3,1,1,1
33,1,F,Male,0,18,1,0,1
54,1,M,Female,13,4,0,0,1
49,0,M,Male,16,2,0,1,1
47,1,F,Female,2,26,1,0,1
25,0,F,Female,1,2,0,0,0
65,0,F,Female,14,28,1,0,1
20,0,F,Female,0,43,1,0,1
39,0,M,Female,0,1,0,0,1
52,1,M,Male,0,1,0,0,1
24,0,F,Male,0,1,1,1,0
42,0,M,Female,0,1,0,0,1
38,1,M,Male,0,30,1,0,1
33,0,F,Male,4,104,1,0,0
19,0,F,Male,0,1,1,1,0
52,1,F,Male,7,131,0,1,1
27,0,F,Male,2,40,1,1,1
33,0,M,Female,1,2,0,1,0
70,0,F,Female,0,6,0,0,0
39,1,M,Female,0,1,0,0,1
23,0,F,Male,0,1,1,0,0
21,0,F,Male,0,2,1,1,1
20,0,M,Female,1,2,1,1,0
24,0,F,Male,7,1,1,1,0
29,0,F,Male,12,158,1,1,1
19,1,M,Male,1,1,1,0,0
24,0,M,Male,1,2,1,0,0
26,0,F,Female,0,11,0,1,0
47,0,F,Male,3,149,1,0,1
21,1,F,Male,9,3,0,1,0
19,1,M,Male,2,3,1,1,0
67,0,F,Female,6,0,0,1,1
20,1,F,Male,2,2,1,1,1
28,0,M,Male,2,2,1,1,1
58,1,M,Female,0,-1,0,0,1
33,1,F,Male,4,19,1,1,0
47,0,M,Female,1,1,0,0,0
38,0,F,Male,1,1,0,1,0
63,0,F,Male,0,0,0,0,1
24,1,M,Female,2,2,1,0,1
30,1,F,Male,9,0,0,0,1
35,1,M,Male,22,24,0,1,0
24,1,F,Male,0,1,0,0,0
31,1,F,Male,16,0,0,0,1
22,0,F,Female,0,2,1,1,1
35,0,M,Male,0,3,1,0,1
32,1,F,Male,9,18,0,1,1
27,1,M,Male,4,0,0,0,1
40,1,M,Male,2,8,1,1,1
33,1,F,Female,0,4,0,1,0
31,0,M,Male,1,0,0,1,0
22,0,M,Female,1,3,0,1,0
20,0,F,Male,0,2,1,1,1
56,1,F,Male,1,2,1,1,0
25,0,F,Male,1,1,0,1,0
30,1,M,Male,1,3,1,0,0
60,1,F,Male,17,92,1,0,1
42,0,F,Female,0,5,0,0,1
33,1,M,Male,0,0,0,0,1
32,1,M,Female,3,1,1,0,1
40,1,M,Female,2,2,0,0,0
48,0,F,Male,1,1,0,1,0
46,1,F,Male,4,0,1,1,0
21,1,F,Male,0,0,0,0,1
22,1,F,Female,2,26,0,1,0
32,1,F,Female,0,0,1,0,1
55,1,F,Female,7,-4,1,1,0
29,0,M,Male,18,1,1,1,1
26,0,F,Male,12,0,1,1,0
23,0,F,Male,0,0,0,0,0
20,0,F,Female,0,2,1,1,0
24,0,F,Male,0,34,1,1,1
25,1,F,Male,8,10,1,1,0
18,1,F,Male,1,2,1,0,1
27,1,M,Male,12,1,1,1,1
25,1,F,Male,8,50,1,0,0
54,1,M,Male,5,8,0,0,0
65,0,M,Female,0,0,1,0,1
47,1,F,Male,17,-1,0,0,1
36,1,M,Male,7,0,0,0,1
56,0,M,Male,2,0,0,0,1
25,1,F,Male,8,0,0,1,0
30,0,M,Female,0,2,1,1,0
22,1,M,Male,0,1,1,1,0
50,1,M,Male,0,34,0,1,1
19,0,F,Male,1,1,0,1,0
19,0,F,Male,1,1,0,1,0
35,0,F,Male,0,1,1,0,0
25,0,F,Male,7,-1,1,0,1
60,1,M,Male,2,7,1,0,0
69,0,M,Female,4,2,0,1,1
30,0,M,Male,6,0,1,0,1
37,0,M,Female,0,0,0,1,0
30,1,F,Male,12,1,0,1,0
18,1,M,Male,0,2,0,0,1
23,0,F,Male,0,26,1,0,1
55,0,F,Male,7,0,1,1,0
28,0,M,Female,1,2,1,1,0
26,1,F,Female,1,2,0,0,0
21,1,F,Male,13,0,0,0,1
30,1,M,Male,4,-1,0,1,1
20,1,F,Male,0,39,0,1,0
24,0,M,Female,0,2,0,0,0
25,1,F,Male,3,46,1,0,1
29,0,M,Male,0,0,1,1,0
36,0,F,Male,1,-1,1,0,1
22,0,M,Female,1,1,0,0,0
52,1,M,Male,2,2,1,1,1
55,0,F,Female,4,146,1,0,1
24,1,F,Male,10,24,1,1,1
27,0,F,Female,1,0,1,0,0
52,0,F,Male,1,1,1,0,0
63,0,F,Male,13,170,1,1,0
24,0,F,Male,1,2,1,1,0
32,0,M,Female,0,1,1,1,0
21,1,F,Male,0,2,1,1,1
25,0,F,Male,0,3,1,1,1
34,0,F,Male,1,10,0,1,0
22,0,F,Male,0,22,0,1,0
71,0,M,Female,0,5,0,0,0
31,0,F,Male,2,36,1,1,0
61,0,F,Male,1,0,0,0,1
