,age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male,race,unrelated_column
0,20,1,3,-2,True,False,False,True,True,0
1,25,1,2,19,True,False,False,True,False,0
2,45,0,0,-2,True,False,False,True,True,1
3,33,1,11,2,True,False,False,True,True,1
4,72,0,1,4,True,False,True,False,False,0
5,37,0,0,41,True,False,False,True,True,1
6,30,0,0,1,False,True,False,True,False,0
7,35,0,0,51,False,True,False,True,False,1
8,69,0,3,3,True,False,False,True,False,1
9,24,0,2,3,False,True,False,True,True,0
10,17,1,2,-2,True,False,False,True,True,1
11,21,0,0,14,False,True,True,False,False,1
12,42,0,0,-2,False,True,False,True,False,1
13,49,1,14,2,True,False,False,True,False,0
14,36,0,3,4,True,False,False,True,False,0
15,58,1,4,18,True,False,False,True,False,1
16,61,1,2,2,False,True,True,False,False,0
17,51,1,5,284,True,True,False,True,True,1
18,51,0,1,0,False,True,True,True,False,1
19,51,0,4,2,False,False,False,True,False,1
20,37,1,1,82,True,False,False,True,False,0
21,22,1,1,3,False,False,True,False,False,0
22,34,1,2,0,True,False,False,True,False,1
23,44,0,5,1,False,True,False,True,False,0
24,43,1,0,1,False,False,False,True,False,0
25,20,1,2,1,True,False,False,True,True,0
26,22,1,12,38,True,False,False,True,True,1
27,57,1,2,1,True,False,False,True,False,1
28,45,0,0,2,False,True,True,False,False,1
29,22,1,0,1,False,True,False,True,True,0
30,56,1,2,36,True,False,False,True,True,0
31,27,1,2,1,True,False,False,True,True,0
32,33,1,3,39,True,False,False,True,True,1
33,42,0,0,1,False,True,False,True,False,1
34,39,0,3,0,True,False,False,True,True,0
35,65,0,1,2,False,True,True,False,False,1
36,40,0,0,-1,False,True,False,True,False,1
37,48,1,7,3,False,True,False,True,True,1
38,38,0,2,8,True,False,False,True,True,0
39,35,0,2,-1,True,False,False,True,True,1
40,35,1,3,4,True,False,False,True,False,0
41,41,0,4,0,True,True,False,True,False,1
42,30,0,0,1,False,True,True,False,False,1
43,22,1,2,2,True,False,False,True,True,1
44,43,1,3,1,False,True,False,True,True,1
45,33,1,3,0,True,True,False,True,True,1
46,33,1,5,36,True,False,False,True,False,1
47,18,0,0,-3,False,True,False,True,False,1
48,37,1,2,2,True,False,False,True,False,1
49,26,1,2,2,False,False,False,True,True,0
50,33,0,3,1,False,True,True,False,True,1
51,23,1,0,0,True,False,True,True,True,0
52,31,1,2,-1,False,False,False,True,False,1
53,27,0,0,2,True,False,False,False,False,1
54,23,1,3,-1,False,True,False,True,False,0
55,42,0,3,-2,True,False,False,True,True,0
56,28,0,0,3,True,False,False,True,False,1
57,44,0,2,1,True,True,True,False,False,1
58,61,0,2,1,False,True,True,False,False,1
59,21,1,8,-2,True,False,False,True,True,0
60,32,0,4,4,True,False,True,True,True,0
61,18,1,0,35,True,False,False,False,False,1
62,24,0,4,32,False,False,False,True,True,0
63,56,0,2,2,True,False,False,True,True,1
64,35,0,34,1,False,True,False,False,False,0
65,31,1,1,0,True,False,False,True,True,1
66,42,0,0,1,False,True,True,False,False,0
67,24,1,0,55,True,False,False,True,False,0
68,25,1,3,-2,True,True,False,True,False,1
69,63,0,3,1,True,False,False,True,True,0
70,35,0,0,1,True,False,True,False,True,1
71,36,0,1,2,True,False,True,True,True,0
72,42,0,0,4,False,True,True,False,False,1
73,48,0,0,0,False,True,True,True,False,1
74,27,0,0,2,True,True,False,True,False,1
75,27,0,2,0,False,False,True,False,True,1
76,35,0,0,2,False,True,True,False,False,0
77,38,0,3,92,True,False,False,True,True,0
78,38,1,0,4,True,False,False,True,True,0
79,24,0,1,-2,False,True,True,False,True,1
80,25,1,20,0,True,False,False,True,True,0
81,24,0,5,2,False,True,False,True,False,1
82,29,0,9,3,False,True,False,True,False,1
83,28,1,16,1,False,True,False,True,False,0
84,43,0,2,1,False,True,False,True,True,1
85,47,0,2,1,True,False,False,True,False,1
86,20,0,1,0,True,False,False,True,True,1
87,33,0,0,-1,False,True,False,True,False,0
88,21,1,6,0,True,False,False,True,True,1
89,23,1,1,-1,True,False,False,True,False,1
90,37,0,2,5,True,False,False,True,False,0
91,46,0,0,3,False,True,False,True,False,0
92,24,1,9,1,True,False,False,True,True,1
93,28,0,3,1,False,False,False,True,True,0
94,24,0,0,0,False,True,True,False,False,1
95,28,1,3,3,True,False,False,True,False,1
96,47,1,8,0,False,True,False,True,False,1
97,34,1,2,2,True,False,False,True,True,1
98,31,0,1,1,True,True,False,False,False,0
99,40,0,8,3,True,False,False,True,True,0
100,26,0,19,2,True,False,False,False,False,0
101,56,0,0,0,False,True,False,True,False,1
102,23,1,0,-1,True,False,False,True,False,1
103,26,1,3,3,True,False,False,True,True,0
104,28,1,0,306,True,False,False,True,False,0
105,26,0,1,2,False,False,True,False,False,1
106,48,0,3,0,False,True,True,False,False,1
107,27,0,13,0,False,False,False,True,False,1
108,37,1,2,2,False,True,True,False,False,1
109,47,0,2,2,False,True,False,True,False,1
110,36,1,0,16,True,False,False,True,True,0
111,29,1,5,3,True,False,False,True,True,1
112,27,0,6,-1,True,False,False,True,False,1
113,21,1,2,21,True,False,False,True,True,0
114,27,0,10,1,True,False,False,True,False,0
115,53,1,1,0,False,False,False,True,True,0
116,35,0,0,3,False,True,False,True,False,1
117,29,0,1,2,False,True,True,False,False,0
118,47,0,0,2,False,True,False,True,False,0
119,32,0,0,0,False,True,True,False,False,1
120,28,1,1,79,True,False,False,True,True,0
121,70,0,0,-1,True,False,False,True,False,1
122,37,0,2,0,False,True,False,True,False,1
123,32,0,0,-1,False,True,True,True,False,1
124,22,1,5,2,True,False,False,True,False,1
125,46,1,5,2,True,False,False,True,True,1
126,23,0,2,4,True,True,True,False,False,1
127,28,1,-1,3,True,False,False,True,True,0
128,31,1,3,2,True,False,False,True,False,1
129,51,0,16,0,False,True,True,False,False,0
130,38,1,2,0,True,False,False,True,True,0
131,37,0,2,0,False,True,True,True,False,1
132,22,0,0,-3,False,True,False,True,False,0
133,20,1,2,2,False,False,False,True,True,1
134,33,1,0,1,True,False,False,True,False,0
135,39,0,4,2,True,False,False,True,False,1
136,52,0,0,2,False,False,False,True,True,0
137,37,1,2,3,True,True,False,True,False,0
138,27,1,4,2,True,False,False,True,True,0
139,31,0,2,4,True,False,False,True,True,0
140,41,1,3,4,True,False,False,True,True,1
141,49,0,1,28,False,True,False,True,False,0
142,22,0,1,35,False,True,True,True,False,1
143,39,1,2,-2,True,False,False,True,True,0
144,38,0,5,3,True,False,False,True,False,0
145,27,0,0,0,False,True,False,True,False,1
146,30,1,0,14,True,False,False,True,False,0
147,28,1,2,1,True,False,False,True,True,1
148,32,0,1,2,False,True,False,True,False,1
149,22,0,5,1,True,False,False,False,False,1
150,27,0,2,3,True,False,False,True,False,0
151,22,1,4,0,True,False,False,True,True,0
152,27,1,3,1,True,False,False,True,False,1
153,63,0,0,3,False,True,True,False,False,0
154,34,0,1,2,False,True,False,False,False,1
155,32,0,0,0,False,True,False,True,True,1
156,26,0,0,3,False,True,True,False,False,1
157,48,0,0,3,False,True,False,False,True,0
158,26,1,1,28,True,False,False,True,True,0
159,20,0,16,2,False,True,False,False,False,1
160,47,0,0,3,False,True,False,False,False,1
161,68,1,3,1,True,False,False,True,True,0
162,37,0,0,2,False,True,False,True,False,1
163,29,0,0,1,True,False,False,True,True,0
164,32,0,8,1,True,False,True,True,True,1
165,27,0,1,4,False,True,False,True,False,0
166,31,0,3,1,True,False,False,True,False,0
167,27,1,1,2,True,False,False,True,False,1
168,25,1,1,3,True,False,False,True,False,1
169,39,1,4,1,True,False,False,True,True,1
170,44,1,3,3,False,True,True,False,True,1
171,40,0,0,-3,True,False,True,False,False,0
172,43,1,3,21,True,False,False,True,True,0
173,52,1,0,-2,True,False,False,True,True,0
174,30,1,1,0,False,True,False,True,True,1
175,26,0,2,3,True,True,False,True,False,0
176,37,0,4,3,False,False,False,True,True,0
177,24,0,0,2,False,True,True,False,False,1
178,33,1,1,2,False,False,False,True,True,0
179,28,1,3,-1,True,False,False,True,True,0
180,28,1,2,15,True,False,False,True,True,0
181,44,0,3,3,False,True,True,False,False,0
182,21,0,0,0,False,True,False,True,False,1
183,35,0,2,2,False,True,True,False,False,1
184,40,0,0,2,True,False,False,True,False,0
185,24,1,2,45,True,False,False,True,True,0
186,58,1,2,143,False,True,False,True,False,0
187,34,1,4,-2,True,True,False,True,False,0
188,63,0,5,2,False,True,False,False,False,0
189,21,1,30,2,True,False,False,True,True,0
190,26,1,17,3,True,False,False,True,True,1
191,36,0,12,2,True,False,False,True,False,1
192,23,0,2,-3,True,False,False,True,False,0
193,22,1,5,129,True,False,False,True,True,0
194,28,1,1,9,True,False,False,True,True,1
195,60,0,0,2,False,True,False,True,False,0
196,21,1,3,2,True,True,False,True,True,0
197,26,1,1,0,True,False,False,True,True,1
198,31,1,1,4,True,False,False,True,True,1
199,42,0,1,2,False,True,False,True,False,1
200,26,0,24,100,True,False,False,True,True,0
201,37,0,2,0,False,False,False,True,True,0
202,25,0,0,3,False,True,True,False,False,1
203,20,1,2,1,True,False,False,True,True,0
204,24,1,3,0,True,False,False,True,False,0
205,31,1,6,0,True,False,False,True,True,0
206,35,0,5,56,True,False,False,True,True,0
207,44,0,4,3,False,True,True,False,False,0
208,26,1,3,-2,True,True,True,True,False,1
209,18,0,0,1,False,True,True,False,False,0
210,21,0,3,13,True,False,False,True,False,0
211,43,0,3,0,True,True,False,True,True,0
212,45,0,7,19,True,False,False,True,True,0
213,43,0,5,1,True,False,False,True,False,0
214,17,1,12,-2,True,False,False,False,True,1
215,40,1,1,1,True,False,False,True,False,1
216,46,1,20,3,False,False,False,True,True,0
217,27,1,13,3,True,False,False,True,True,1
218,33,1,2,39,False,False,False,True,False,0
219,40,1,12,9,True,False,False,True,True,1
220,34,0,20,4,False,True,True,False,False,1
221,39,0,0,3,False,True,True,True,False,0
222,31,0,1,2,False,True,False,True,False,0
223,22,1,1,2,True,False,False,True,True,0
224,27,1,0,2,False,True,False,True,True,0
225,35,1,4,94,True,False,False,True,True,1
226,55,0,0,42,False,True,False,True,False,1
227,41,0,0,0,False,True,False,True,False,0
228,41,1,3,-2,True,False,False,True,True,1
229,87,1,0,4,True,False,False,True,False,1
230,45,1,0,159,True,False,False,True,False,1
231,39,0,0,4,False,True,True,False,False,1
232,49,1,6,-1,True,False,False,True,True,0
233,34,0,1,1,True,False,False,True,True,1
234,22,0,0,-2,True,True,False,True,False,1
235,42,1,0,1,True,False,False,True,True,0
236,41,0,0,2,False,True,False,True,False,1
237,39,1,5,3,False,True,False,True,False,1
238,28,1,4,-1,False,False,False,True,False,0
239,44,0,2,-3,True,False,False,True,True,1
240,38,1,1,0,True,False,False,True,False,1
241,21,0,0,2,False,False,False,True,False,0
242,44,0,6,3,False,True,True,False,False,1
243,21,0,0,10,True,False,False,True,False,0
244,60,1,3,-3,True,False,False,True,True,0
245,21,0,0,0,False,True,True,False,False,0
246,28,1,1,1,True,False,False,True,False,1
247,28,0,0,130,True,False,False,True,True,0
248,68,0,0,5,False,False,True,False,True,1
249,36,0,10,0,False,True,True,True,False,1
250,42,1,0,1,False,True,False,True,False,0
251,29,0,2,79,True,False,False,True,False,0
252,46,0,0,24,False,True,False,True,False,1
253,29,0,0,0,False,False,False,True,False,1
254,27,1,5,68,True,False,False,True,True,1
255,21,1,1,0,False,True,False,False,False,0
256,19,1,2,2,True,False,False,True,True,0
257,40,1,2,1,False,True,True,False,False,1
258,29,1,2,154,True,False,False,True,True,0
259,57,0,2,2,False,True,False,True,False,1
260,23,0,2,2,True,False,False,False,False,0
261,40,0,30,-1,False,True,False,True,True,0
262,27,0,0,2,False,True,True,False,False,1
263,26,1,0,2,False,True,False,True,True,1
264,27,0,0,4,False,True,True,False,False,1
265,29,1,2,2,False,False,True,False,False,1
266,54,1,11,0,True,False,False,True,True,1
267,34,0,0,39,False,True,False,True,False,0
268,44,0,0,2,False,True,True,False,False,0
269,18,0,2,2,False,False,True,False,False,0
270,45,0,0,1,False,True,False,True,False,0
271,35,0,1,0,False,True,False,True,False,0
272,49,1,2,13,True,False,False,True,True,0
273,46,0,8,3,True,True,True,False,False,1
274,54,1,2,29,True,False,False,True,True,1
275,32,0,0,1,False,True,True,False,False,0
276,60,1,0,0,True,False,False,True,False,0
277,28,0,3,21,False,True,False,True,False,1
278,71,0,3,57,False,True,False,True,False,1
279,44,0,2,1,False,False,False,True,True,0
280,30,0,0,1,True,False,False,True,True,0
281,22,1,0,2,True,False,False,True,False,0
