age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two
21,1,F,Male,5,1,1,0,1
35,1,F,Male,4,-2,0,0,1
30,0,M,Male,0,2,0,0,1
29,0,M,Female,0,-1,0,0,1
22,0,F,Male,6,1,0,0,1
32,1,F,Male,1,15,0,0,1
19,1,F,Female,6,33,0,0,1
50,0,M,Female,0,-1,0,0,1
41,1,F,Male,6,0,1,0,1
47,1,F,Male,1,90,0,0,1
58,0,M,Male,1,0,0,0,1
47,0,F,Female,2,2,0,0,1
29,1,F,Male,3,3,0,0,1
22,0,M,Male,9,1,0,0,1
34,0,M,Female,1,0,0,0,1
25,1,F,Male,2,-2,1,0,1
45,0,M,Male,24,1,0,0,1
58,0,M,Male,0,1,0,0,1
58,1,F,Female,15,-1,1,0,1
26,1,F,Male,5,1,0,0,1
23,1,F,Male,11,3,1,0,1
54,0,F,Male,2,207,0,0,1
23,0,M,Female,0,-2,0,0,1
27,1,F,Male,5,1,1,0,1
24,0,M,Female,6,5,0,0,1
26,0,F,Male,0,1,0,0,1
33,1,F,Male,3,48,1,0,1
26,0,M,Male,0,2,0,0,1
45,1,F,Male,3,36,1,0,1
31,0,M,Female,0,-2,0,0,1
27,0,M,Male,0,-1,0,0,1
24,0,F,Male,0,0,1,0,1
29,0,F,Male,7,0,0,0,1
26,1,F,Male,8,-2,0,0,1
28,0,M,Female,4,-2,0,0,1
22,0,F,Male,11,268,1,0,1
25,1,F,Male,22,14,0,0,1
32,0,F,Male,0,-1,1,0,1
41,1,F,Male,1,0,0,0,1
32,1,F,Male,22,2,0,0,1
22,0,M,Female,0,3,0,0,1
25,1,F,Male,4,37,0,0,1
24,1,F,Male,4,3,1,0,1
28,1,F,Male,0,-1,1,0,1
37,0,M,Female,0,1,0,0,1
34,1,F,Male,20,1,1,0,1
77,0,F,Male,0,-2,0,0,1
28,1,F,Male,0,0,1,0,1
38,1,F,Male,20,-1,0,0,1
29,0,F,Male,7,50,0,0,1
29,1,F,Male,3,32,0,0,1
22,1,F,Male,11,5,1,0,1
32,0,M,Female,10,-1,0,0,1
