age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two
21,1,M,Male,0,1,0,0,0
32,0,M,Female,0,1,0,0,0
28,1,F,Male,7,-1,0,1,1
23,0,M,Male,1,1,0,1,1
39,0,M,Male,2,1,0,0,0
59,0,M,Female,0,1,1,1,0
40,1,F,Male,2,99,0,1,1
31,1,M,Male,0,0,0,0,1
38,0,M,Female,0,9,0,1,0
33,0,M,Male,0,1,0,1,1
21,1,F,Male,3,2,0,0,0
54,1,M,Male,12,0,1,1,1
18,0,F,Male,1,2,1,1,0
61,0,F,Male,2,5,0,0,1
63,0,F,Male,6,0,1,1,1
33,0,F,Male,8,2,1,0,1
19,1,F,Male,6,0,1,1,1
23,0,F,Male,9,1,0,1,0
40,1,M,Male,0,2,0,1,1
68,0,F,Male,14,24,1,1,1
27,0,M,Male,0,1,1,1,0
36,1,F,Male,12,1,0,0,1
24,0,F,Male,3,0,1,0,1
49,1,M,Male,0,1,1,0,1
34,0,F,Male,11,0,0,0,0
38,1,M,Male,4,2,0,0,0
20,0,M,Male,1,3,0,1,1
28,0,M,Male,0,1,0,1,0
17,0,M,Male,0,2,1,0,1
54,0,M,Female,0,2,0,1,1
26,1,M,Male,11,40,1,0,0
22,0,F,Male,1,1,0,0,0
59,1,M,Male,0,0,0,0,0
50,0,M,Female,0,2,0,0,1
53,0,F,Female,0,0,1,1,1
20,1,F,Male,5,2,1,0,0
59,0,M,Female,0,2,0,0,1
27,0,M,Male,0,1,1,0,0
47,0,M,Male,0,0,1,0,1
35,1,M,Male,0,-1,0,0,0
23,1,M,Male,0,0,0,0,0
30,0,F,Female,0,0,1,1,0
31,0,M,Male,5,2,0,0,1
27,1,F,Male,0,0,1,1,1
54,1,F,Male,0,27,1,1,0
22,1,F,Male,9,2,1,0,0
18,1,F,Male,1,1,1,0,1
29,1,M,Male,4,2,0,1,1
25,1,F,Male,5,33,1,1,0
31,0,F,Male,16,2,1,1,0
23,1,M,Male,0,36,0,0,1
19,1,F,Male,2,36,1,0,0
19,1,F,Male,2,31,1,0,0
54,0,M,Male,0,39,1,0,1
38,0,M,Female,1,1,0,1,0
21,1,M,Male,0,2,0,0,0
19,1,F,Male,0,2,1,1,0
20,0,M,Male,0,1,1,1,0
31,0,M,Female,0,1,1,1,1
53,0,F,Male,2,7,1,1,0
21,1,M,Male,0,1,1,1,1
48,0,M,Male,0,25,1,1,1
63,0,M,Male,0,0,0,0,1
31,0,F,Male,0,1,1,0,1
22,0,F,Male,5,0,1,0,1
36,0,F,Female,11,86,1,0,0
29,0,M,Female,3,18,0,0,0
33,1,F,Male,16,10,1,1,1
19,1,F,Female,0,32,1,1,0
20,1,M,Male,0,0,1,1,0
34,0,F,Male,1,2,0,0,1
55,1,M,Male,8,0,1,0,1
21,1,M,Male,0,0,0,0,0
37,1,F,Male,7,9,0,1,1
19,0,F,Male,1,1,0,0,0
46,1,F,Male,6,6,1,0,0
37,0,M,Male,1,1,1,0,1
23,1,M,Male,1,1,0,0,0
36,0,F,Male,0,8,1,0,0
39,0,M,Male,0,-1,1,0,1
24,1,F,Male,7,2,1,1,1
41,0,M,Male,2,2,0,0,1
42,0,M,Male,1,1,1,1,0
38,0,M,Male,0,7,1,1,0
20,1,F,Male,0,16,1,0,1
60,0,F,Male,14,24,0,1,1
42,1,M,Male,2,1,0,0,0
24,0,M,Female,0,3,1,0,0
41,0,F,Male,6,0,1,0,1
40,1,M,Male,0,0,0,0,1
31,1,M,Male,4,1,1,0,0
35,1,M,Male,2,0,1,1,1
55,0,F,Male,0,27,1,1,1
23,1,F,Male,5,11,1,1,0
31,1,F,Male,1,1,0,1,0
36,0,M,Female,0,2,1,1,1
29,0,M,Male,1,-1,0,0,1
20,0,M,Male,1,0,0,0,0
25,0,M,Male,0,3,1,1,0
33,0,M,Male,10,0,1,1,1
34,0,M,Male,4,0,1,1,1
18,1,F,Male,11,1,0,1,1
25,0,F,Male,0,33,0,1,1
65,0,M,Female,0,2,0,0,0
25,1,M,Female,3,8,0,1,1
37,0,F,Male,5,0,1,1,1
53,1,F,Male,0,25,1,1,0
31,0,M,Female,0,2,0,0,0
40,0,F,Male,0,1,1,1,1
19,0,F,Male,0,1,1,0,0
64,1,M,Female,0,10,0,0,1
33,1,M,Male,7,-1,1,1,1
29,0,F,Male,2,35,1,1,0
31,0,M,Female,1,2,1,1,1
26,1,F,Male,3,14,1,0,0
39,1,M,Male,5,9,0,0,1
43,1,F,Male,2,41,1,0,0
23,1,F,Male,1,4,1,0,0
39,0,F,Male,13,1,1,0,1
28,0,M,Female,0,1,0,1,0
61,1,M,Male,17,15,0,1,1
36,0,F,Male,2,1,1,0,1
36,0,M,Female,0,1,1,1,0
30,0,F,Male,4,14,1,0,0
28,0,M,Male,5,1,0,1,1
25,0,F,Male,0,2,1,1,0
26,0,F,Male,5,0,0,0,0
29,0,M,Male,5,1,1,0,0
40,1,F,Male,3,1,1,0,1
30,0,F,Female,1,2,1,1,0
23,0,M,Male,0,29,0,0,0
18,1,F,Male,12,1,1,1,1
39,1,F,Male,0,0,0,0,1
27,0,M,Male,3,0,1,0,1
78,0,M,Female,0,2,0,1,1
20,1,F,Male,0,3,1,0,0
32,0,M,Male,0,2,0,1,1
19,0,F,Male,5,1,1,0,1
24,1,M,Male,2,26,0,0,1
51,0,M,Female,0,1,0,1,0
32,1,M,Male,0,0,0,0,1
26,0,M,Male,0,1,1,1,1
23,1,F,Female,5,1,1,1,1
27,1,M,Male,11,1,1,1,0
26,0,F,Female,12,0,1,1,1
30,1,F,Male,3,306,1,0,0
34,1,F,Male,3,7,1,0,0
50,1,F,Male,3,15,0,0,1
19,1,F,Male,0,18,1,0,0
