age,two_year_recid,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male
34.0,1.0,4.0,47.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
34.0,1.0,4.0,29.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
33.0,1.0,4.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
34.0,0.0,4.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
33.0,1.0,4.0,34.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
33.0,1.0,4.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
41.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
34.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
38.0,0.0,2.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
36.0,0.0,3.0,44.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,32.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
34.0,1.0,4.0,44.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
34.0,1.0,4.0,45.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
32.0,1.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
39.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
34.0,1.0,4.0,44.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,1.0,5.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
38.0,0.0,2.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
30.0,1.0,5.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
33.0,1.0,4.0,38.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
34.0,1.0,4.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
34.0,1.0,4.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,35.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
31.0,1.0,6.0,40.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
32.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
34.0,1.0,4.0,43.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
40.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
36.0,0.0,3.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,4.0,51.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
34.0,1.0,4.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,52.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
29.0,1.0,6.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
34.0,0.0,4.0,46.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
37.0,0.0,2.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
34.0,1.0,4.0,45.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,49.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
35.0,0.0,4.0,51.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
36.0,0.0,3.0,43.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
34.0,1.0,4.0,47.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
34.0,0.0,4.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,34.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
34.0,0.0,4.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,54.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
35.0,0.0,3.0,36.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
37.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
37.0,0.0,2.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
34.0,1.0,4.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
35.0,0.0,3.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,51.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
33.0,1.0,4.0,32.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
32.0,1.0,5.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,54.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
35.0,0.0,3.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
36.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
38.0,0.0,2.0,15.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
35.0,0.0,4.0,50.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30.0,1.0,5.0,29.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,50.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
38.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
34.0,1.0,4.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
34.0,1.0,4.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
37.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
35.0,1.0,3.0,33.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
38.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
36.0,0.0,3.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
33.0,1.0,4.0,44.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
32.0,1.0,4.0,34.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
33.0,1.0,4.0,28.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,4.0,49.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
35.0,0.0,4.0,51.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
33.0,1.0,4.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,4.0,47.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,43.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,4.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
38.0,0.0,2.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
36.0,0.0,2.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
36.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
33.0,1.0,5.0,58.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
36.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
35.0,0.0,4.0,48.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
33.0,1.0,4.0,43.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
37.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
35.0,0.0,4.0,54.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
33.0,1.0,4.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
30.0,1.0,5.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30.0,1.0,5.0,26.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,3.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
30.0,1.0,5.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
31.0,1.0,5.0,63.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
