"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
27,"1","M","Male",4,176,1,0,0
20,"1","F","Male",11,432,1,1,0
30,"1","F","Male",6,5,1,1,0
28,"0","M","Male",2,4,0,0,0
25,"0","M","Female",21,103,0,0,1
68,"0","M","Male",1,189,0,0,0
47,"0","F","Male",0,198,1,1,0
41,"1","F","Female",4,199,0,0,0
18,"1","F","Female",7,25,1,0,1
36,"0","F","Male",0,11,1,1,0
56,"1","M","Male",3,216,1,1,1
53,"1","M","Male",4,191,1,1,1
24,"1","F","Male",3,144,1,1,0
43,"0","F","Male",8,144,0,1,1
43,"0","F","Male",5,7,0,1,0
23,"1","F","Male",2,5,1,0,0
29,"0","F","Male",1,84,1,1,0
43,"0","M","Female",2,109,0,1,1
31,"1","F","Male",8,250,0,0,1
27,"0","F","Female",3,19,1,1,0
40,"1","F","Male",0,17,0,1,1
26,"0","M","Male",8,109,0,1,0
28,"0","M","Male",15,418,1,1,1
29,"1","F","Male",19,161,1,0,1
23,"0","M","Female",2,142,0,0,1
35,"1","F","Male",17,31,0,0,0
40,"0","F","Male",11,7,0,1,0
42,"0","F","Male",10,94,0,0,1
24,"1","M","Female",10,0,1,1,1
26,"0","F","Male",0,14,0,1,1
59,"0","M","Male",1,28,0,1,1
40,"0","M","Male",0,9,0,1,0
54,"1","F","Male",2,91,0,0,0
60,"0","M","Female",1,23,0,1,1
33,"0","F","Male",6,73,0,0,0
50,"0","F","Male",5,80,1,1,1
51,"1","F","Male",8,7,0,0,0
33,"1","F","Male",26,406,1,0,0
31,"1","F","Male",2,266,1,1,1
52,"0","M","Male",1,19,1,1,1
24,"1","F","Male",11,76,1,0,1
44,"0","F","Male",20,82,1,1,1
44,"1","M","Male",4,94,1,0,0
29,"1","F","Male",6,188,1,1,1
25,"0","F","Male",8,234,1,0,1
30,"0","M","Female",0,25,1,1,0
45,"0","F","Male",3,11,0,0,0
25,"1","F","Male",9,130,1,1,0
27,"1","F","Male",2,148,1,1,1
26,"0","M","Male",0,105,1,0,1
27,"1","F","Male",1,63,0,0,1
43,"0","M","Male",5,211,1,1,0
18,"0","F","Male",3,187,0,1,1
62,"1","F","Male",6,46,0,1,0
36,"1","F","Male",6,203,1,1,1
29,"0","F","Male",12,148,0,0,1
68,"0","M","Male",11,53,1,0,0
50,"1","M","Female",2,238,0,0,1
28,"0","F","Female",2,287,0,0,1
60,"0","F","Male",3,42,1,1,0
40,"0","F","Male",1,291,0,1,0
24,"0","F","Male",2,275,1,1,0
21,"1","F","Male",17,62,1,1,1
28,"0","F","Male",10,355,0,0,1
34,"0","F","Male",0,25,0,0,0
43,"1","M","Male",4,8,0,1,0
36,"1","F","Male",13,406,0,0,0
67,"0","M","Male",3,90,0,0,1
23,"1","F","Male",7,202,1,0,1
22,"0","F","Male",0,541,1,1,0
48,"0","F","Male",0,12,0,0,1
26,"1","F","Male",12,248,1,0,1
46,"1","F","Male",9,181,0,0,1
70,"1","F","Male",22,312,1,1,0
44,"0","F","Male",4,54,1,1,1
46,"1","F","Male",10,338,1,0,0
29,"0","F","Female",12,14,1,0,1
19,"0","F","Female",1,220,0,1,1
22,"1","M","Male",0,349,0,0,0
57,"0","M","Male",6,143,1,0,0
45,"0","M","Male",0,8,0,1,1
55,"0","F","Female",0,12,0,1,1
24,"1","F","Female",4,63,1,1,1
39,"1","F","Male",26,54,1,0,0
37,"0","M","Male",12,0,0,1,0
22,"1","F","Female",6,222,0,0,0
28,"0","F","Male",17,42,1,0,0
67,"1","F","Male",19,15,0,0,0
29,"0","F","Female",1,36,0,1,1
77,"0","M","Male",0,1,0,1,0
62,"0","F","Male",1,36,0,0,0
27,"0","M","Female",1,119,0,0,0
32,"0","M","Male",2,106,1,1,0
39,"0","F","Female",2,59,1,0,0
34,"1","F","Male",4,0,1,0,0
26,"1","F","Male",12,40,1,1,0
24,"0","F","Male",2,230,0,1,0
30,"1","F","Male",19,270,1,0,0
28,"0","M","Male",21,85,0,1,1
22,"1","F","Male",0,162,1,0,1
29,"0","F","Female",9,119,1,1,0
44,"0","M","Male",2,0,0,0,0
29,"0","M","Male",4,3,1,1,1
32,"1","F","Male",0,94,0,1,0
70,"0","M","Male",2,31,0,1,1
20,"1","M","Male",12,36,1,1,0
38,"0","F","Male",0,211,0,1,0
61,"0","F","Female",2,10,1,1,1
73,"0","M","Male",0,269,0,0,1
21,"0","M","Male",1,291,0,1,0
49,"0","F","Male",14,318,1,0,1
26,"1","F","Male",15,203,1,0,0
23,"0","F","Male",22,349,0,0,0
22,"0","F","Female",1,171,0,1,1
28,"1","M","Male",2,54,1,1,1
33,"0","F","Male",1,349,0,1,0
39,"1","F","Male",9,90,1,0,0
24,"1","F","Male",0,21,0,0,1
29,"0","M","Male",0,50,0,1,1
43,"0","F","Male",2,74,1,1,1
25,"0","M","Female",3,240,0,1,0
53,"0","F","Female",2,1,1,0,1
27,"0","F","Female",0,104,0,1,1
36,"1","F","Male",3,112,0,0,0
72,"1","F","Female",2,269,1,1,1
24,"1","F","Male",16,243,0,0,0
20,"0","M","Male",4,41,1,0,0
21,"1","F","Male",4,249,1,1,0
36,"0","M","Male",0,319,0,0,1
33,"0","F","Male",22,168,0,1,0
31,"0","F","Male",0,257,0,1,0
49,"0","M","Male",2,1,1,1,1
79,"0","M","Male",1,13,0,0,1
66,"0","M","Male",1,8,0,0,0
28,"0","F","Female",1,203,0,1,0
45,"1","F","Male",5,53,0,1,1
26,"1","F","Male",6,35,0,1,1
52,"1","F","Female",25,79,0,0,0
23,"0","M","Male",1,126,0,1,1
62,"0","F","Male",0,48,0,0,0
45,"1","M","Male",0,464,0,1,1
32,"1","F","Male",3,369,0,0,1
47,"0","F","Male",1,192,0,0,0
58,"1","F","Male",7,33,1,0,0
46,"0","M","Male",3,204,0,0,0
32,"1","F","Male",5,353,1,1,0
25,"0","M","Female",0,3,0,1,1
28,"1","F","Male",7,38,0,0,1
34,"1","F","Male",9,314,1,0,1
53,"1","F","Female",12,193,0,1,0
38,"0","M","Male",1,1,1,1,0
47,"0","F","Male",19,2,1,0,1
21,"1","F","Male",15,56,1,0,1
31,"0","F","Female",2,7,1,1,1
47,"0","M","Female",2,13,1,1,1
32,"0","F","Male",6,18,0,1,0
32,"0","F","Male",1,238,0,1,1
42,"1","M","Male",4,167,1,1,1
23,"1","F","Male",11,166,0,0,1
42,"1","F","Male",15,199,1,1,0
54,"1","F","Male",6,10,1,0,1
27,"0","F","Male",4,136,1,0,1
23,"0","M","Male",3,107,0,1,0
20,"0","M","Male",2,3,0,1,0
39,"0","F","Male",21,103,1,0,0
39,"0","F","Male",2,203,1,0,1
23,"0","F","Male",3,24,0,0,0
21,"0","F","Male",0,276,1,0,0
38,"1","F","Male",15,28,1,0,0
27,"1","M","Male",1,39,0,0,1
26,"1","F","Male",17,174,1,0,0
32,"0","F","Male",11,41,1,1,1
39,"1","M","Male",3,19,1,1,0
25,"0","M","Female",2,36,0,1,0
71,"1","M","Male",3,28,0,1,0
54,"0","F","Male",8,118,0,0,0
50,"0","M","Male",0,293,1,0,1
63,"0","F","Male",3,51,0,1,0
36,"1","M","Male",8,582,1,0,0
27,"1","F","Male",0,34,0,1,1
20,"0","F","Male",0,279,1,1,1
28,"0","M","Male",3,282,0,1,1
69,"0","F","Male",8,86,1,1,0
41,"0","M","Female",3,230,0,0,0
34,"0","F","Male",13,44,1,0,0
52,"1","F","Male",5,7,0,1,0
37,"1","F","Male",22,24,0,1,1
26,"0","M","Male",8,53,1,1,1
49,"1","F","Male",0,5,0,1,1
40,"0","F","Male",7,19,1,1,0
34,"1","M","Female",2,292,0,0,0
42,"0","M","Male",1,15,0,1,1
42,"0","F","Female",4,22,1,0,0
59,"0","M","Male",15,63,0,0,1
67,"0","M","Male",1,431,0,0,1
28,"0","F","Male",6,228,0,0,0
76,"1","M","Female",20,186,1,0,0
36,"0","M","Male",1,2,0,0,0
24,"0","M","Male",13,164,1,1,0
79,"0","F","Female",1,14,1,1,1
22,"0","F","Female",3,223,0,0,0
49,"0","F","Male",1,14,0,1,1
26,"1","F","Male",21,105,1,0,1
75,"0","M","Female",1,261,0,0,0
24,"1","F","Male",14,2,1,0,1
29,"0","F","Male",1,426,0,0,1
28,"1","F","Male",0,42,0,1,1
35,"1","M","Female",1,100,0,1,0
31,"0","M","Male",8,120,0,0,0
54,"0","M","Male",0,20,0,1,1
61,"1","F","Female",14,121,1,0,0
42,"0","F","Male",0,103,1,1,1
51,"1","F","Male",1,0,1,1,1
48,"0","M","Male",0,5,0,1,0
38,"0","M","Male",8,168,0,0,0
36,"0","M","Male",1,31,1,1,1
38,"0","F","Male",6,160,1,1,1
30,"0","M","Male",1,7,1,1,1
36,"0","F","Female",1,197,1,1,0
31,"1","F","Male",1,110,1,0,0
54,"1","F","Male",19,64,1,0,0
60,"1","F","Male",27,3,1,1,1
23,"1","F","Male",11,69,1,0,1
24,"0","M","Male",17,208,1,1,1
24,"1","F","Male",7,58,1,0,1
38,"0","F","Male",1,30,0,0,0
67,"0","M","Female",0,53,0,0,0
24,"1","M","Male",0,129,1,0,0
23,"1","F","Male",7,82,1,1,0
76,"0","M","Female",1,36,0,0,0
42,"1","F","Male",16,145,1,1,1
33,"1","F","Male",2,175,0,0,1
36,"0","M","Female",6,35,0,1,1
46,"1","F","Male",2,51,1,0,0
42,"1","F","Female",5,35,1,1,1
47,"0","F","Male",2,78,0,0,0
55,"1","F","Male",35,273,1,1,0
55,"0","M","Male",1,1,0,0,0
36,"1","M","Male",17,84,1,1,1
27,"0","F","Female",1,181,1,1,1
21,"1","F","Male",6,105,1,0,0
73,"0","F","Male",4,257,1,0,0
38,"0","M","Male",3,85,0,0,1
25,"0","M","Male",10,427,1,0,1
49,"1","F","Male",5,149,0,0,1
65,"1","M","Male",8,169,1,1,1
25,"1","M","Male",1,39,0,1,1
57,"1","M","Male",13,99,1,0,0
23,"1","M","Male",14,109,0,0,1
32,"0","F","Male",0,264,0,1,0
22,"0","F","Male",17,30,1,1,1
36,"1","F","Male",7,70,1,0,0
22,"1","F","Male",3,64,1,1,1
33,"1","M","Male",5,409,0,0,0
34,"0","F","Male",0,101,0,1,0
73,"0","M","Male",1,191,0,0,1
60,"0","M","Male",3,19,1,1,0
68,"1","F","Male",0,193,0,0,1
48,"0","F","Male",5,3,0,1,1
34,"0","M","Male",0,3,1,1,0
71,"0","M","Male",1,92,0,0,1
59,"0","M","Female",1,3,0,1,1
24,"1","F","Male",4,102,1,0,1
70,"0","F","Male",4,42,0,0,0
28,"0","F","Female",1,328,0,0,0
30,"0","M","Male",3,71,0,1,1
36,"0","F","Male",21,129,1,1,1
28,"1","F","Male",11,135,1,0,1
22,"1","F","Female",9,19,0,0,1
61,"1","F","Male",12,122,0,0,1
40,"1","F","Male",5,71,1,1,1
24,"0","F","Female",1,177,0,0,1
53,"1","F","Male",11,134,0,0,0
64,"0","M","Male",1,13,0,1,1
68,"0","M","Male",1,112,0,0,1
62,"0","F","Male",0,43,0,0,0
33,"0","F","Male",2,56,1,0,1
27,"0","M","Female",4,481,1,0,0
61,"1","F","Male",18,239,1,0,0
33,"0","M","Male",2,122,1,1,1
63,"0","M","Male",1,160,0,0,1
29,"0","F","Male",8,139,0,0,1
24,"0","F","Female",0,399,1,1,1
26,"0","M","Male",4,1,1,0,1
33,"0","F","Male",5,9,0,0,1
24,"0","M","Male",1,12,0,0,0
29,"1","M","Male",13,31,1,0,1
63,"1","F","Female",7,222,0,1,1
31,"1","M","Male",8,149,1,0,0
45,"0","F","Male",2,38,0,1,0
32,"0","M","Female",10,211,0,1,1
30,"1","M","Female",3,363,1,1,0
29,"1","F","Male",2,5,0,1,0
35,"0","F","Male",3,470,0,0,0
34,"1","F","Male",0,46,1,0,1
27,"0","F","Male",20,221,1,1,1
26,"0","F","Female",5,125,1,1,0
33,"1","F","Male",28,54,1,0,0
50,"0","M","Male",6,189,0,1,0
23,"1","F","Male",12,3,1,1,1
44,"0","F","Male",7,122,1,0,0
21,"0","F","Male",15,383,1,0,0
46,"1","F","Male",0,330,1,0,0
41,"0","F","Male",1,25,0,0,0
30,"0","F","Male",5,146,1,0,0
32,"1","F","Male",0,107,1,0,0
26,"0","F","Male",12,138,1,1,0
35,"0","M","Male",1,286,0,1,0
31,"0","F","Male",2,158,1,1,0
33,"1","F","Male",2,218,1,1,1
22,"1","F","Male",10,192,1,1,0
22,"0","M","Female",15,352,0,1,1
62,"0","M","Male",2,18,1,1,0
23,"1","F","Male",0,16,0,1,1
29,"0","F","Female",1,264,1,1,1
36,"1","F","Male",2,23,1,1,0
55,"1","M","Male",2,17,0,0,0
30,"1","F","Male",4,76,0,1,0
44,"0","F","Male",0,15,1,0,0
29,"1","M","Male",5,208,1,0,0
30,"1","M","Male",9,1,1,1,0
53,"1","F","Male",14,11,1,0,0
64,"0","M","Male",3,5,0,1,0
32,"0","F","Male",1,33,0,1,0
39,"1","M","Male",3,44,0,1,0
30,"0","M","Male",8,224,1,1,1
38,"1","F","Male",19,17,1,0,0
35,"0","F","Male",1,9,0,1,1
30,"1","F","Male",20,66,1,0,0
32,"0","F","Male",9,79,0,0,0
43,"0","M","Female",1,253,0,0,0
46,"1","F","Male",1,126,0,0,0
21,"0","F","Female",11,6,0,1,0
52,"0","F","Male",0,37,0,1,0
22,"0","F","Male",10,261,1,1,1
65,"0","F","Male",16,45,1,1,1
23,"1","F","Male",4,348,1,1,1
25,"1","F","Male",3,82,1,1,0
20,"1","M","Male",2,43,1,0,1
55,"0","M","Male",1,192,1,0,0
46,"0","F","Male",4,3,1,0,1
26,"1","M","Male",2,23,1,0,0
24,"0","M","Male",1,92,0,0,1
24,"0","M","Male",2,116,1,1,0
30,"1","F","Male",9,351,1,0,0
33,"0","F","Male",20,466,1,0,1
46,"0","M","Male",2,16,0,0,0
34,"0","F","Male",2,211,1,1,1
42,"0","F","Female",0,6,0,0,1
24,"1","M","Female",7,43,1,0,0
58,"1","M","Female",0,217,0,1,1
35,"1","F","Female",14,67,1,1,0
33,"0","F","Male",15,435,0,1,1
20,"0","F","Male",5,82,1,1,0
53,"0","F","Male",13,30,1,1,0
62,"0","F","Female",0,92,1,0,1
39,"0","F","Male",20,16,1,0,0
25,"0","F","Male",1,34,0,1,1
26,"1","F","Male",10,472,1,1,1
42,"1","F","Female",18,76,1,1,1
67,"0","M","Male",3,160,0,0,1
19,"1","M","Male",9,386,0,0,1
36,"1","M","Male",4,54,0,0,1
65,"0","M","Male",3,119,0,0,1
50,"1","F","Male",3,60,0,1,1
27,"0","M","Female",0,205,1,1,0
26,"0","F","Female",0,117,1,1,1
24,"1","F","Female",2,70,0,0,1
68,"1","F","Male",13,340,1,0,0
70,"0","F","Male",2,5,0,0,1
46,"1","F","Male",10,6,1,0,1
24,"1","M","Male",14,64,1,1,0
51,"0","F","Male",2,19,0,1,0
21,"1","M","Male",6,149,1,1,1
83,"1","M","Male",3,23,0,0,1
33,"1","F","Male",10,15,1,0,1
21,"1","F","Male",12,165,0,1,1
45,"0","M","Male",1,235,0,1,0
36,"0","F","Male",0,12,1,1,1
35,"1","M","Female",5,174,0,1,0
50,"0","F","Female",0,1,0,1,1
40,"1","F","Male",22,178,1,0,1
58,"1","M","Male",3,42,0,1,1
29,"0","F","Male",2,50,0,0,1
23,"0","M","Male",2,227,0,1,0
44,"0","F","Male",1,26,1,1,0
29,"0","M","Female",1,112,1,1,0
21,"0","M","Female",1,12,0,1,0
24,"0","M","Male",5,248,1,1,1
31,"1","M","Male",27,-1,1,1,1
31,"1","M","Female",1,37,0,0,0
53,"0","F","Female",4,89,1,0,1
30,"0","F","Female",2,8,1,1,0
24,"0","M","Female",1,111,1,1,0
53,"0","F","Male",1,8,1,0,0
29,"0","M","Male",1,20,0,0,0
61,"0","M","Male",1,7,1,1,0
25,"0","F","Male",4,144,1,1,1
48,"1","F","Female",4,198,0,1,1
35,"1","M","Male",10,52,0,0,0
18,"1","F","Male",3,176,0,0,1
52,"0","F","Male",1,4,0,0,1
29,"0","F","Male",1,3,1,0,0
33,"0","F","Male",0,197,0,1,1
30,"0","F","Male",1,202,0,1,1
41,"0","M","Male",1,16,0,0,0
21,"1","F","Male",7,-1,1,1,0
48,"0","F","Female",1,27,0,1,1
27,"0","F","Male",0,134,1,1,1
41,"0","F","Male",3,81,1,0,1
19,"1","M","Female",1,53,0,1,1
52,"1","F","Male",16,27,0,0,1
58,"1","F","Male",4,23,0,1,1
25,"1","F","Male",17,247,0,1,0
23,"1","F","Female",1,315,1,1,1
57,"1","F","Male",5,109,0,1,0
27,"0","M","Female",17,402,1,1,0
21,"0","F","Male",11,7,1,0,0
51,"0","F","Male",3,46,0,0,0
54,"0","M","Male",0,292,0,0,1
32,"0","F","Female",2,336,1,0,0
36,"0","F","Female",0,137,1,1,1
20,"1","F","Female",1,0,1,0,0
43,"0","M","Male",5,103,0,1,1
48,"1","F","Male",0,35,1,0,0
21,"1","M","Male",15,36,1,1,0
25,"1","F","Female",2,240,1,0,1
29,"1","M","Male",4,231,0,1,1
24,"1","F","Male",0,127,0,1,1
44,"0","F","Male",3,6,0,1,1
45,"0","M","Female",11,7,1,0,1
43,"1","F","Male",12,619,1,1,0
63,"0","M","Male",4,9,0,0,1
21,"1","F","Female",2,50,1,1,0
35,"0","F","Female",6,219,0,0,0
62,"0","F","Male",7,108,1,1,1
42,"1","F","Female",11,74,1,1,0
38,"1","F","Male",17,62,1,1,1
45,"1","F","Male",1,11,0,0,0
23,"0","M","Male",0,93,0,0,1
29,"0","F","Male",2,145,0,1,0
38,"1","F","Female",0,3,0,0,0
26,"0","M","Male",18,124,1,1,1
27,"1","F","Male",8,158,1,0,1
43,"0","F","Male",21,103,1,1,0
