"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
25,"0","F","Male",10,0,1,1,0
43,"0","F","Male",19,242,1,0,0
29,"1","M","Male",0,0,1,0,1
40,"0","F","Male",1,25,0,1,1
28,"0","F","Male",5,35,1,1,1
33,"0","F","Female",6,0,0,0,1
31,"0","M","Male",0,1,1,1,1
21,"1","F","Male",7,11,1,1,0
45,"1","F","Female",22,26,0,1,0
28,"1","F","Male",6,2,1,1,0
42,"0","M","Male",2,-1,0,0,0
22,"1","F","Male",5,4,0,0,0
30,"0","M","Female",1,0,1,1,0
31,"1","F","Male",4,181,0,0,0
25,"0","M","Male",0,1,1,0,1
53,"0","F","Male",0,0,1,1,1
32,"1","F","Male",3,60,0,0,1
24,"1","F","Male",8,27,0,0,1
27,"1","F","Male",6,3,1,1,0
25,"1","M","Male",3,4,1,1,0
39,"0","F","Male",1,18,0,1,0
24,"0","F","Male",1,-1,1,0,0
26,"1","M","Male",0,1,0,1,1
38,"1","F","Male",6,0,1,1,1
59,"0","M","Male",1,1,1,0,1
27,"0","F","Male",7,2,1,0,1
24,"1","M","Male",0,1,1,0,0
23,"1","F","Male",4,2,0,0,0
35,"1","F","Male",4,1,1,0,0
29,"1","M","Male",7,25,0,0,0
50,"0","F","Male",1,0,1,0,0
36,"0","M","Female",1,0,0,0,1
24,"0","F","Female",0,0,1,1,1
21,"0","F","Male",0,1,0,1,1
32,"0","F","Male",2,1,0,1,1
33,"0","F","Male",0,41,1,0,0
44,"0","F","Female",6,2,1,0,1
38,"1","F","Male",10,0,0,0,1
27,"1","F","Male",3,0,1,1,1
30,"0","F","Male",8,37,1,0,0
37,"1","F","Male",4,0,1,0,0
32,"0","F","Male",9,0,0,0,0
33,"0","F","Female",9,1,1,0,0
25,"1","F","Male",3,13,1,0,0
31,"0","F","Male",2,22,1,0,1
51,"0","M","Male",1,0,0,1,0
59,"0","M","Female",1,7,0,0,1
27,"1","F","Male",3,1,0,0,0
29,"1","F","Male",9,22,0,0,1
34,"1","F","Male",9,1,0,0,0
30,"1","F","Male",0,1,1,1,1
23,"0","F","Male",2,12,0,0,0
41,"0","F","Female",1,0,1,0,1
20,"0","F","Male",0,1,1,1,0
79,"0","M","Male",0,1,0,0,1
39,"0","M","Male",7,0,1,1,1
26,"1","F","Male",4,0,1,1,0
21,"1","F","Male",0,7,0,0,1
29,"1","F","Female",2,67,0,0,1
35,"1","F","Male",1,86,0,1,1
32,"0","F","Female",7,18,1,1,1
35,"0","M","Male",4,0,0,0,0
53,"0","M","Male",4,0,0,0,1
41,"0","F","Male",16,73,1,0,0
27,"0","F","Female",0,1,0,0,0
21,"0","F","Male",1,22,1,0,1
22,"1","F","Male",2,0,0,0,1
31,"0","F","Male",0,0,0,1,0
25,"1","F","Male",2,1,1,0,1
21,"0","F","Male",1,0,0,1,0
31,"1","F","Male",1,17,0,0,1
63,"0","F","Male",1,2,0,0,0
60,"0","F","Male",19,4,0,1,1
27,"0","M","Female",0,1,1,0,0
37,"0","F","Male",1,0,0,0,1
24,"0","F","Male",0,1,0,0,1
52,"0","M","Female",1,1,0,0,1
39,"1","F","Female",5,4,1,0,1
21,"1","F","Male",1,1,1,1,1
39,"0","M","Male",4,0,0,0,0
44,"0","F","Male",4,2,1,1,1
23,"0","M","Male",1,3,1,1,0
23,"1","M","Male",1,159,0,1,0
31,"1","F","Male",2,1,0,0,0
37,"0","F","Male",21,29,1,0,0
50,"1","M","Female",1,2,0,0,0
36,"1","M","Male",4,0,1,1,1
49,"1","F","Male",0,1,0,1,1
35,"0","F","Male",1,0,0,0,1
44,"1","M","Male",9,6,1,0,1
25,"1","M","Male",1,3,1,0,1
24,"0","F","Female",1,0,1,0,1
59,"0","F","Male",0,19,0,0,1
46,"0","M","Male",2,28,1,1,1
24,"1","M","Male",3,3,0,1,0
25,"0","F","Male",2,58,1,0,0
31,"0","F","Female",0,0,1,1,0
25,"0","F","Male",1,0,1,0,1
36,"1","F","Male",4,9,0,0,0
29,"1","M","Male",8,0,1,1,1
50,"1","F","Male",0,26,1,1,1
27,"0","M","Male",0,1,1,1,1
32,"1","M","Male",6,9,0,1,0
20,"1","F","Female",1,2,1,0,1
29,"1","M","Female",4,8,0,0,0
