"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
51,"0","F","Male",0,1,0,1,0
24,"1","M","Male",0,1,1,0,1
30,"0","M","Female",0,0,1,1,0
59,"0","F","Male",0,0,0,1,1
30,"0","F","Male",1,0,0,1,0
37,"0","M","Male",0,1,1,0,1
54,"0","F","Male",2,27,1,1,1
26,"1","M","Male",5,3,0,0,0
35,"0","M","Male",4,26,0,1,0
23,"0","M","Female",0,0,1,1,0
30,"1","F","Male",5,2,1,1,1
24,"0","M","Male",0,0,1,0,1
20,"0","F","Male",0,0,1,1,0
19,"1","F","Male",3,1,1,1,1
34,"0","F","Male",2,5,1,1,0
44,"1","M","Female",12,1,1,0,0
44,"1","F","Male",11,348,1,1,1
32,"0","M","Male",3,1,0,1,0
46,"0","F","Female",0,1,0,1,0
21,"0","F","Male",0,1,0,0,1
25,"1","F","Male",8,0,0,0,0
41,"0","F","Male",0,13,0,1,0
40,"0","M","Female",0,2,0,0,1
49,"0","F","Female",1,3,0,1,0
55,"0","M","Male",1,1,0,1,0
23,"1","F","Male",8,2,1,1,1
50,"0","F","Female",0,0,1,0,0
48,"0","F","Male",3,0,0,0,0
35,"0","F","Male",2,0,0,0,1
25,"0","F","Male",1,9,1,0,1
27,"1","F","Male",10,1,1,1,0
43,"0","F","Male",9,0,0,0,0
22,"1","F","Male",4,44,1,1,0
27,"1","F","Female",1,0,0,0,1
37,"0","F","Male",5,1,1,0,0
27,"1","F","Male",10,1,1,0,0
27,"1","F","Male",16,0,1,1,1
55,"0","F","Male",1,0,1,1,0
22,"0","F","Male",2,5,0,0,0
56,"1","M","Male",0,0,0,0,0
23,"1","M","Male",2,1,0,0,1
21,"1","F","Male",2,506,1,0,1
45,"0","F","Female",3,1,1,0,1
25,"1","F","Female",2,0,0,1,0
32,"0","F","Male",0,-1,1,0,0
52,"0","F","Male",11,142,0,1,1
50,"1","F","Male",7,15,1,0,0
27,"0","F","Male",0,0,1,1,1
23,"1","F","Male",1,0,0,1,1
28,"1","F","Male",7,0,1,1,0
33,"0","F","Male",0,1,0,0,0
31,"0","M","Male",1,1,1,1,1
31,"1","F","Male",5,59,0,0,0
53,"0","M","Male",0,2,0,1,1
56,"0","F","Male",0,1,1,1,0
58,"1","F","Male",24,3,1,0,0
46,"0","F","Male",0,3,1,1,1
54,"1","F","Male",0,35,0,0,1
26,"0","F","Male",4,39,1,0,1
25,"1","M","Male",11,20,1,1,1
42,"1","F","Male",1,0,0,1,0
21,"1","F","Male",1,0,1,0,1
42,"0","F","Male",1,1,1,0,0
32,"0","F","Female",1,0,0,0,0
43,"0","F","Male",2,1,0,1,1
34,"0","M","Male",0,1,1,0,0
34,"1","F","Male",12,0,1,0,0
26,"0","M","Female",0,5,0,0,1
22,"1","F","Male",1,1,0,0,0
26,"0","M","Female",0,0,1,0,1
43,"1","M","Male",14,0,1,1,0
42,"0","F","Male",6,1,0,1,1
36,"0","M","Female",1,0,1,1,1
28,"1","F","Male",3,3,0,0,0
34,"0","M","Female",2,0,0,1,0
31,"1","F","Male",7,1,0,0,0
35,"0","F","Female",4,1,0,0,0
28,"1","F","Male",2,0,1,1,0
22,"1","M","Male",0,0,0,0,1
52,"0","M","Male",0,2,1,1,1
30,"0","M","Male",8,0,0,0,1
30,"0","M","Female",1,0,1,0,0
37,"0","M","Male",7,0,1,1,0
34,"0","F","Male",10,4,1,1,1
42,"1","F","Male",9,0,1,0,0
29,"1","M","Male",10,0,1,0,1
51,"0","F","Male",6,3,0,1,1
24,"1","F","Male",4,513,1,0,1
30,"1","F","Male",13,471,0,0,1
43,"0","F","Male",2,2,0,0,0
30,"0","M","Male",0,0,0,0,1
47,"1","F","Female",2,1,0,1,0
32,"0","M","Male",1,1,1,0,0
41,"0","F","Male",8,1,1,1,1
55,"0","F","Male",1,108,0,1,0
31,"1","M","Male",2,6,0,0,1
31,"0","F","Male",2,1,1,1,1
28,"0","F","Male",2,1,1,1,0
45,"1","F","Male",2,64,1,0,0
29,"0","F","Male",7,1,1,1,0
