Gender,ForeignWorker,Single,Age,LoanDuration,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,JobClassIsSkilled,CheckingAccountBalance,SavingsAccountBalance,YearsAtCurrentJob
0,0,0,42,18,3187,2,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,lt_0,lt_100,geq_4
1,0,0,37,5,8365,2,4,1,2,0,1,0,0,1,0,0,1,0,0,0,1,geq_200,lt_100,geq_4
0,0,1,28,11,5071,4,4,2,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_1_lt_4
1,0,0,31,19,2379,2,1,1,2,0,1,1,1,1,0,1,0,1,0,0,1,lt_0,geq_100_lt_500,lt_1
1,0,0,29,32,2860,3,4,1,2,0,1,0,0,0,0,0,1,1,0,0,1,lt_0,lt_100,lt_1
1,0,0,29,13,7944,2,4,1,2,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_1_lt_4
0,0,1,27,60,4352,3,4,2,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,1,39,54,2996,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,1,32,19,2958,4,4,2,2,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,26,28,5892,2,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,33,44,2761,4,2,1,2,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,0,38,19,2266,2,4,2,2,0,1,0,0,0,0,1,0,1,0,0,1,geq_0_lt_200,geq_500,geq_4
1,0,1,26,22,3456,4,4,2,1,0,1,0,0,1,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
0,0,0,20,20,3182,4,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,0,42,31,6190,4,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,0,20,23,2330,4,4,1,1,1,1,0,1,0,0,0,0,1,0,0,0,lt_0,geq_500,geq_1_lt_4
1,0,0,23,31,10266,2,4,1,1,0,1,1,0,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_1_lt_4
1,0,0,28,12,9857,3,2,1,2,0,1,0,0,0,0,1,0,0,1,0,0,lt_0,lt_100,geq_4
0,0,0,26,21,413,4,1,2,1,0,1,0,1,1,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
0,0,1,32,17,2530,4,1,1,2,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,lt_1
1,0,0,75,44,10490,2,4,1,2,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,1,36,66,8890,3,4,2,2,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_1_lt_4
1,0,0,19,20,4557,2,2,2,2,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,24,57,2671,4,4,1,1,1,1,0,0,0,0,0,0,1,1,0,1,geq_0_lt_200,geq_500,geq_4
0,0,0,38,30,2925,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
1,0,0,32,6,4867,4,4,1,1,1,1,0,0,0,0,1,0,1,0,0,0,lt_0,lt_100,geq_1_lt_4
