Gender,ForeignWorker,Single,Age,LoanDuration,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,JobClassIsSkilled,CheckingAccountBalance,SavingsAccountBalance,YearsAtCurrentJob
1,0,1,63,16,2543,1,4,3,2,0,1,0,0,1,0,0,0,0,1,0,1,geq_0_lt_200,geq_100_lt_500,geq_1_lt_4
0,0,0,36,33,4195,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,lt_0,lt_100,lt_1
1,0,1,43,25,10771,4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
0,0,0,35,29,2105,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,34,33,4182,2,2,2,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_1_lt_4
0,0,0,26,9,1732,2,3,1,2,0,1,0,0,0,0,0,1,1,0,0,1,geq_200,lt_100,geq_1_lt_4
1,0,0,42,10,1335,2,2,2,1,0,1,0,1,0,0,0,0,1,0,0,0,lt_0,lt_100,geq_1_lt_4
1,0,0,35,12,1374,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,39,30,7244,1,4,2,2,1,0,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,38,37,1400,2,3,2,1,0,0,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_1_lt_4
1,0,1,40,12,2462,4,4,1,2,0,1,0,0,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,37,13,1632,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_200,lt_100,geq_1_lt_4
1,0,1,58,41,8729,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,50,11,1510,2,3,2,2,1,1,0,0,0,0,0,0,1,0,0,1,geq_200,lt_100,geq_4
1,0,0,26,24,12284,4,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_1_lt_4
1,0,1,43,23,3874,2,4,2,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_4
1,0,1,56,41,1098,3,4,2,1,0,1,0,1,0,0,0,0,1,0,1,1,geq_0_lt_200,lt_100,geq_4
0,0,0,43,36,5561,3,4,2,1,1,0,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,39,11,1873,4,4,1,1,0,1,0,0,0,0,0,0,1,1,0,1,lt_0,lt_100,geq_4
