"Gender","ForeignWorker","Single","Age","LoanDuration","LoanAmount","LoanRateAsPercentOfIncome","YearsAtCurrentHome","NumberOfOtherLoansAtBank","NumberOfLiableIndividuals","HasTelephone","MissedPayments","NoCurrentLoan","CriticalAccountOrLoansElsewhere","OtherLoansAtBank","OtherLoansAtStore","HasCoapplicant","HasGuarantor","OwnsHouse","RentsHouse","Unemployed","JobClassIsSkilled","CheckingAccountBalance","SavingsAccountBalance","YearsAtCurrentJob"
"1","0","1",49,20,1502,3,4,1,2,"1","1","0","0","1","0","0","0","0","0","0","1","lt_0","lt_100","geq_4"
"1","0","0",30,11,5128,2,2,2,1,"1","1","0","0","1","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"0","0","0",34,20,8675,4,1,1,1,"0","1","0","0","0","0","0","0","0","1","0","1","geq_0_lt_200","lt_100","lt_1"
"0","0","0",43,41,4597,4,1,2,1,"0","1","0","0","0","0","0","0","1","0","1","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",40,23,5185,4,4,2,1,"1","0","0","0","0","0","0","0","0","1","0","0","lt_0","geq_100_lt_500","geq_1_lt_4"
"0","0","0",36,28,5216,2,2,1,1,"1","1","0","0","0","0","0","0","0","1","1","0","lt_0","geq_500","geq_1_lt_4"
"1","0","1",62,14,5422,2,3,2,1,"0","1","0","1","1","0","0","0","0","0","1","0","geq_0_lt_200","geq_500","geq_1_lt_4"
"0","0","0",49,15,4975,3,1,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","0",42,31,5042,2,4,2,1,"0","0","0","0","0","0","0","0","1","0","1","1","geq_200","lt_100","geq_1_lt_4"
"1","0","1",37,47,8406,2,4,1,1,"0","1","0","1","0","0","0","0","1","1","0","1","lt_0","lt_100","geq_4"
"0","0","0",30,34,522,4,2,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","geq_100_lt_500","geq_4"
