Gender,ForeignWorker,Single,Age,LoanDuration,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,JobClassIsSkilled,CheckingAccountBalance,SavingsAccountBalance,YearsAtCurrentJob
1,0,1,38,13,5701,4,1,1,2,0,1,1,0,0,0,0,0,1,1,0,1,geq_200,geq_500,geq_1_lt_4
1,0,0,50,34,3609,4,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,1,0,40,25,11898,1,4,2,1,1,1,1,1,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,23,3,10490,1,3,1,2,0,1,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,33,43,7251,4,4,1,1,0,1,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,16,6,5089,1,2,1,2,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,19,11,2845,2,4,1,1,0,1,0,1,0,0,0,0,1,1,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,42,20,20648,2,4,1,1,0,1,0,1,0,0,1,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,29,34,5057,4,4,1,1,1,1,0,0,0,0,0,1,1,1,0,1,lt_0,lt_100,geq_4
0,0,1,34,30,8495,4,2,1,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,28,48,2042,1,4,1,1,0,1,0,0,1,0,0,0,1,0,0,1,lt_0,geq_500,lt_1
0,0,0,20,64,21470,4,2,1,2,0,1,0,0,1,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,28,41,4902,4,4,1,1,0,1,0,0,0,0,0,0,1,1,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,45,23,10752,4,4,1,2,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,38,61,3246,4,4,1,1,1,1,0,0,0,0,0,0,1,1,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,50,11,9230,1,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,37,4,2905,4,3,1,1,0,1,0,1,0,0,0,0,1,1,0,1,geq_200,geq_100_lt_500,geq_1_lt_4
1,0,0,30,2,2781,4,4,1,1,0,1,0,1,0,0,0,0,0,1,0,1,geq_200,geq_100_lt_500,lt_1
1,0,1,24,21,6880,3,3,2,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,34,9,4400,1,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,lt_0,geq_100_lt_500,geq_1_lt_4
1,0,1,38,24,1492,4,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,geq_0_lt_200,geq_100_lt_500,geq_4
0,0,1,25,71,9314,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_200,lt_100,geq_1_lt_4
1,0,0,27,24,3211,1,3,2,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,0,61,10,6417,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,lt_0,lt_100,geq_4
1,0,0,51,20,4176,1,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_1_lt_4
1,0,1,22,26,5351,4,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,77,33,1812,4,3,1,2,0,1,0,0,0,0,0,0,1,1,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
1,0,0,16,15,1320,3,4,1,1,1,1,0,1,0,0,0,0,1,1,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,24,20,6141,2,3,1,2,1,1,0,0,0,0,0,0,1,1,0,0,geq_200,geq_100_lt_500,lt_1
1,0,1,31,47,8869,2,2,2,2,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,30,9,5941,4,4,1,2,0,0,0,1,0,0,0,0,1,1,1,0,lt_0,lt_100,geq_1_lt_4
1,0,1,23,57,11992,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,50,27,1940,1,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,1,34,15,2519,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,44,34,1536,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,geq_0_lt_200,geq_500,geq_1_lt_4
0,0,0,35,28,2632,4,4,1,2,1,1,0,0,0,0,0,0,1,0,1,1,lt_0,lt_100,geq_4
1,0,0,47,46,9583,4,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,26,59,10114,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,0,33,19,10387,2,2,1,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,0,47,16,5481,2,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,lt_0,geq_100_lt_500,geq_4
0,0,0,25,5,12635,3,4,1,2,0,1,0,1,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,22,26,11777,2,4,1,2,1,1,0,0,0,0,0,0,1,1,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,34,43,8828,2,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,53,24,2827,2,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,37,61,2542,4,2,1,2,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,27,13,1725,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_4
0,0,1,82,11,6589,4,4,2,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,lt_1
0,0,0,64,36,5140,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,lt_0,geq_100_lt_500,geq_4
1,0,0,45,63,11207,4,3,1,2,1,1,0,0,1,0,0,0,1,1,0,1,lt_0,geq_500,geq_4
1,0,1,26,44,2533,3,4,1,2,0,1,0,1,0,0,0,0,1,1,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,22,10,6301,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_1_lt_4
1,0,1,35,16,1326,3,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,lt_0,geq_100_lt_500,geq_4
1,0,1,31,54,7870,2,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_1_lt_4
1,0,1,17,41,4635,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,lt_0,geq_100_lt_500,geq_4
1,0,1,21,37,3302,3,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
1,0,1,31,15,5162,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,46,46,2606,4,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_1_lt_4
1,0,0,31,39,3018,4,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,1,32,14,7314,4,4,1,2,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,1,20,19,10805,4,4,2,2,0,1,1,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,0,29,32,10722,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,29,11,5506,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,66,34,11753,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,lt_1
0,0,1,27,25,2040,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_200,lt_100,geq_4
1,0,0,35,9,2222,4,4,1,2,0,1,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,27,26,2841,4,4,1,2,0,1,0,1,0,0,0,0,1,1,0,1,lt_0,lt_100,lt_1
1,0,0,24,46,11205,4,4,2,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_500,geq_4
1,0,1,26,32,4417,2,4,1,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,1,49,12,8556,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_200,lt_100,geq_1_lt_4
0,0,0,79,23,3784,3,4,1,2,1,1,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,74,43,6437,1,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,lt_0,lt_100,geq_4
1,0,0,59,12,1824,4,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,lt_0,lt_100,geq_1_lt_4
0,0,1,24,44,8706,3,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,72,16,6784,4,4,1,1,1,1,0,0,0,0,0,0,0,1,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,37,36,4011,4,4,2,1,1,1,0,1,0,0,0,0,0,0,0,1,geq_0_lt_200,geq_500,geq_1_lt_4
1,0,0,17,20,2295,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,geq_200,lt_100,geq_1_lt_4
1,0,0,56,38,16058,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,lt_0,geq_500,geq_4
0,0,0,33,7,2030,2,4,2,2,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,0,43,24,10975,4,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,45,19,8302,4,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,lt_0,lt_100,geq_1_lt_4
1,0,1,48,44,3498,4,4,1,2,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_500,lt_1
1,0,0,35,20,2067,3,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,1,44,25,2675,3,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,1,26,22,1567,4,4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,lt_0,lt_100,geq_4
1,0,1,39,25,3871,3,4,1,2,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
0,0,1,32,13,5157,0,4,1,2,1,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,47,14,20354,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,48,41,2533,3,4,1,2,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_500,geq_1_lt_4
0,0,0,47,78,3192,1,4,1,1,1,1,0,1,1,0,0,0,0,0,0,1,lt_0,lt_100,lt_1
0,0,1,18,24,2994,2,2,1,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,1,72,21,5334,1,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,0,39,34,3083,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,30,27,17574,2,4,1,2,0,1,0,0,0,0,0,0,1,1,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,37,26,6336,4,2,2,2,0,1,1,0,0,0,0,0,1,0,0,0,lt_0,geq_100_lt_500,geq_1_lt_4
