Gender,ForeignWorker,Single,Age,LoanDuration,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,JobClassIsSkilled,CheckingAccountBalance,SavingsAccountBalance,YearsAtCurrentJob
1,0,0,54,26,8729,4,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,44,32,2606,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
1,0,1,39,10,1444,4,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,geq_0_lt_200,lt_100,lt_1
1,0,1,33,13,3172,4,2,1,1,0,1,0,0,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,42,24,1568,4,4,2,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_4
1,0,1,43,24,2759,4,4,3,2,0,1,0,1,0,0,0,0,1,0,0,0,geq_0_lt_200,lt_100,geq_4
0,0,0,30,6,1398,2,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,29,38,7923,3,2,2,1,1,1,0,1,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,27,36,10215,4,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,45,11,1577,4,2,2,1,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,geq_500,geq_4
1,0,0,24,34,3346,4,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,lt_1
1,0,1,35,48,9676,4,3,1,1,1,0,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,41,7,1948,2,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,38,12,3438,4,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,lt_0,lt_100,geq_1_lt_4
0,0,0,25,18,1008,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,lt_0,geq_100_lt_500,lt_1
1,1,1,29,8,2957,3,1,2,2,0,1,0,1,0,0,0,1,1,0,0,0,lt_0,lt_100,geq_1_lt_4
1,0,1,44,35,3729,4,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,29,34,4366,2,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1,lt_0,lt_100,geq_1_lt_4
1,0,0,28,62,8479,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,45,36,13101,2,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
1,0,1,48,36,3686,4,2,1,1,0,1,1,0,1,0,0,0,0,0,0,1,lt_0,geq_100_lt_500,geq_4
1,0,1,38,15,1345,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_500,geq_1_lt_4
0,0,0,27,32,11548,4,4,2,1,1,0,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,45,23,3775,2,2,1,2,1,0,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
1,1,1,38,11,105,4,3,1,2,0,1,0,0,1,0,0,0,1,0,0,0,geq_0_lt_200,lt_100,geq_4
0,0,0,30,12,926,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,lt_1
0,0,0,63,10,1401,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_200,lt_100,geq_4
1,0,1,32,31,4523,3,3,1,2,1,0,1,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,25,20,1797,4,3,1,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,40,25,1069,4,2,2,1,0,1,0,0,0,0,0,0,1,1,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,58,50,2393,1,4,2,1,1,1,0,1,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
1,0,1,33,12,716,4,2,2,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,0,38,35,3493,4,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,geq_200,lt_100,geq_1_lt_4
1,0,0,39,10,1571,1,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,lt_0,lt_100,geq_4
0,0,0,37,24,2983,4,2,2,1,0,1,0,1,0,0,0,0,1,0,0,0,lt_0,geq_500,geq_1_lt_4
1,0,1,30,37,3793,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1,lt_0,geq_100_lt_500,geq_4
1,0,0,39,24,4185,2,3,2,1,1,0,0,1,0,0,0,0,1,0,1,0,lt_0,geq_500,geq_4
1,0,0,42,9,3800,1,3,2,1,1,0,0,1,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_1_lt_4
1,0,1,54,36,3339,4,4,1,2,0,1,0,0,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,53,8,3125,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,56,10,2734,4,4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,lt_0,lt_100,geq_4
1,0,1,32,25,4389,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,0,38,37,2869,4,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,34,37,1492,4,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,33,8,1563,2,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,geq_200,lt_100,lt_1
1,0,1,30,31,2111,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,lt_1
1,0,1,26,38,12513,4,2,1,2,0,1,0,0,0,0,0,0,0,1,0,1,geq_0_lt_200,geq_500,geq_1_lt_4
1,0,1,44,8,2872,4,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,36,33,2663,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,geq_1_lt_4
0,0,0,28,9,1615,4,3,2,1,0,1,0,1,0,0,0,0,0,1,0,0,lt_0,geq_500,geq_1_lt_4
0,0,0,31,24,2903,1,3,2,1,1,1,0,1,0,0,0,0,0,1,0,1,geq_0_lt_200,geq_500,geq_4
1,0,0,38,37,8492,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,49,33,8721,2,4,2,1,0,1,0,1,1,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,35,9,913,2,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,27,11,962,4,2,2,1,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,33,38,3132,4,2,1,1,0,1,0,0,0,0,0,1,1,0,0,1,lt_0,lt_100,geq_4
0,0,1,26,10,1717,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,1,0,26,36,2964,4,2,1,1,0,1,1,0,1,0,0,1,0,1,0,1,lt_0,geq_100_lt_500,geq_4
0,0,0,44,11,1306,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_200,lt_100,geq_4
0,0,0,50,13,1184,4,3,2,1,0,0,0,1,0,0,0,0,1,0,0,1,lt_0,geq_500,geq_1_lt_4
0,0,0,24,13,1511,4,2,2,1,0,1,0,1,0,0,0,0,1,0,0,0,lt_0,lt_100,lt_1
0,0,0,42,12,2811,2,4,1,1,1,1,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,lt_1
1,0,0,34,36,2627,4,2,2,1,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,43,12,1824,4,3,3,2,1,1,0,1,0,0,0,0,1,0,0,0,geq_200,lt_100,geq_4
0,0,0,46,12,1038,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,geq_200,lt_100,lt_1
1,0,1,43,37,4297,2,3,2,1,1,1,0,1,0,0,0,0,1,0,1,1,lt_0,geq_100_lt_500,geq_4
1,0,0,24,29,5745,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,26,19,3980,4,3,2,1,0,1,0,1,0,0,0,0,0,1,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,39,13,3059,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,1,lt_0,geq_100_lt_500,geq_4
1,0,1,29,26,2780,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_0_lt_200,geq_100_lt_500,geq_1_lt_4
0,0,0,37,14,2077,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,41,31,15326,3,1,1,2,1,1,0,0,0,0,0,0,0,1,1,1,geq_0_lt_200,lt_100,lt_1
0,0,0,36,23,4774,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,0,35,10,1077,4,3,1,1,1,1,0,1,1,0,0,0,1,0,0,1,geq_200,lt_100,geq_1_lt_4
1,0,1,44,30,7490,3,4,1,2,1,1,0,0,0,0,0,0,0,1,0,0,lt_0,lt_100,geq_4
0,0,0,54,23,3381,4,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_1_lt_4
