"Gender","ForeignWorker","Single","Age","LoanDuration","LoanAmount","LoanRateAsPercentOfIncome","YearsAtCurrentHome","NumberOfOtherLoansAtBank","NumberOfLiableIndividuals","HasTelephone","MissedPayments","NoCurrentLoan","CriticalAccountOrLoansElsewhere","OtherLoansAtBank","OtherLoansAtStore","HasCoapplicant","HasGuarantor","OwnsHouse","RentsHouse","Unemployed","JobClassIsSkilled","CheckingAccountBalance","SavingsAccountBalance","YearsAtCurrentJob"
"1","0","0",22,21,12013,2,2,1,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",41,9,837,4,4,2,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",67,7,1876,1,4,3,2,"0","1","0","1","0","0","0","0","1","0","0","1","geq_200","lt_100","geq_4"
"1","0","1",74,21,1560,4,4,3,1,"0","1","0","1","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",25,65,3490,4,4,1,1,"0","1","0","0","0","0","0","1","0","1","0","1","geq_0_lt_200","geq_100_lt_500","geq_1_lt_4"
"1","0","1",42,13,3045,2,3,2,2,"0","1","0","0","0","0","0","0","0","1","0","0","lt_0","lt_100","geq_1_lt_4"
"0","0","0",19,14,5855,2,3,2,1,"0","1","0","0","0","0","1","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","1",33,37,3281,4,3,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",30,11,3670,1,4,1,1,"0","1","0","0","0","0","0","0","0","1","0","0","geq_0_lt_200","geq_500","geq_4"
"1","1","1",64,27,611,4,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_4"
"1","0","0",43,33,5157,2,2,2,1,"1","1","0","0","1","0","0","0","1","0","0","1","geq_0_lt_200","geq_500","lt_1"
"1","1","1",46,10,1580,3,2,1,2,"1","0","0","0","0","0","0","1","1","0","0","1","lt_0","geq_500","geq_1_lt_4"
"0","0","0",54,25,2267,4,3,2,1,"1","1","0","1","0","0","0","0","0","1","0","1","lt_0","geq_500","geq_4"
"1","0","1",46,38,3338,3,1,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","geq_200","lt_100","lt_1"
"1","0","1",40,15,2710,3,3,1,1,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","geq_500","geq_4"
"1","0","1",66,13,646,3,3,2,1,"1","1","0","1","1","0","0","0","0","1","0","0","lt_0","geq_500","geq_4"
"1","0","1",33,24,6270,3,2,1,2,"1","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","geq_500","geq_1_lt_4"
"1","0","1",21,16,5780,3,4,2,2,"0","1","0","0","1","0","0","0","0","1","0","1","lt_0","lt_100","geq_4"
"1","0","1",49,36,5257,4,3,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_4"
"0","0","0",38,15,2143,1,2,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","0","0",38,10,4135,3,3,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"0","0","0",29,10,4682,2,2,2,1,"0","1","0","0","0","0","0","0","0","1","0","1","geq_0_lt_200","lt_100","lt_1"
"1","0","1",49,28,3935,3,4,2,1,"1","1","0","1","0","0","0","0","0","1","0","1","lt_0","lt_100","geq_4"
"1","0","0",22,36,5433,2,2,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","lt_1"
"1","0","1",28,22,15701,1,2,2,1,"1","0","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","0","1",39,5,5836,3,2,1,1,"1","1","0","1","0","0","0","0","1","0","1","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",71,40,6047,3,3,1,2,"1","1","0","0","1","0","0","1","1","0","1","1","lt_0","lt_100","geq_1_lt_4"
"1","0","0",42,63,1851,4,3,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",36,9,2018,4,4,3,1,"1","1","0","1","0","0","0","0","0","0","1","1","lt_0","lt_100","geq_1_lt_4"
"0","0","0",73,41,5974,3,4,2,2,"0","1","0","1","0","0","0","0","0","0","0","0","lt_0","lt_100","geq_4"
"0","0","0",73,27,4760,3,2,2,1,"1","1","0","0","0","0","0","0","1","0","1","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",30,14,9703,1,3,2,2,"0","1","0","0","0","0","0","1","1","0","0","0","lt_0","lt_100","geq_1_lt_4"
"0","0","0",21,53,3690,4,2,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",49,13,7054,3,1,2,1,"0","1","1","0","0","0","0","0","1","0","0","0","geq_200","lt_100","lt_1"
"0","0","0",60,16,570,2,3,3,1,"0","1","0","1","1","0","0","0","0","0","0","0","lt_0","lt_100","geq_4"
"1","0","1",21,20,2616,3,3,3,1,"0","1","0","0","1","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","0","1",39,24,10241,1,3,1,2,"1","1","1","0","1","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",43,27,10841,3,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_4"
"1","0","1",73,19,7413,2,3,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_4"
"1","0","1",58,8,4993,4,3,2,1,"1","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","geq_500","geq_4"
"1","0","0",24,12,1251,2,2,2,1,"1","1","0","0","1","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","1","0",26,11,1561,1,2,2,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","0",37,23,921,4,2,2,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","lt_1"
"0","0","0",46,31,4949,3,3,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","geq_200","geq_500","geq_1_lt_4"
"1","0","1",60,10,897,4,3,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",33,11,1753,4,1,1,1,"1","1","0","0","1","0","0","0","1","0","0","1","geq_200","lt_100","lt_1"
"1","0","0",29,16,5024,4,2,1,2,"0","1","0","1","0","0","0","0","1","0","1","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"0","0","0",31,25,6195,4,1,1,1,"0","1","0","0","0","0","0","1","1","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",35,27,883,4,1,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_4"
"0","0","0",22,27,1422,3,2,2,2,"0","1","1","0","1","0","0","0","0","1","0","1","geq_0_lt_200","geq_500","lt_1"
