"Gender","ForeignWorker","Single","Age","LoanDuration","LoanAmount","LoanRateAsPercentOfIncome","YearsAtCurrentHome","NumberOfOtherLoansAtBank","NumberOfLiableIndividuals","HasTelephone","MissedPayments","NoCurrentLoan","CriticalAccountOrLoansElsewhere","OtherLoansAtBank","OtherLoansAtStore","HasCoapplicant","HasGuarantor","OwnsHouse","RentsHouse","Unemployed","JobClassIsSkilled","CheckingAccountBalance","SavingsAccountBalance","YearsAtCurrentJob"
"1","0","1",21,30,2755,3,2,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",27,24,5209,4,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","0",20,18,1080,2,4,1,1,"0","1","0","0","0","0","0","0","0","1","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","1",26,13,461,4,1,2,1,"0","1","0","0","1","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","0","1",35,48,3275,4,2,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_100_lt_500","geq_1_lt_4"
"1","0","1",36,24,1238,4,4,2,2,"1","0","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","0",38,6,1326,2,4,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","1","0",27,18,3688,2,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_4"
"0","0","1",35,12,1393,3,4,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",60,30,1867,4,1,1,1,"1","0","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",33,24,1820,3,2,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_1_lt_4"
"0","0","1",47,20,1209,4,4,1,1,"1","0","0","0","0","0","0","0","1","0","1","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","0",20,18,2039,2,4,1,1,"0","1","0","0","0","0","0","0","0","1","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",37,18,2249,4,3,1,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","0",40,12,2032,4,4,2,1,"0","1","0","1","0","0","0","0","0","1","0","1","geq_200","geq_100_lt_500","geq_4"
"1","0","0",28,9,1032,4,4,2,2,"1","1","0","0","0","0","0","0","0","0","0","1","geq_200","lt_100","geq_4"
"0","0","0",26,4,1416,1,1,1,2,"0","1","0","0","0","0","0","0","0","0","0","0","lt_0","lt_100","geq_1_lt_4"
"0","0","0",33,35,14852,4,2,2,1,"1","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","0",32,15,3566,3,2,1,2,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","1",27,9,4392,1,2,1,1,"1","1","0","0","0","0","0","0","1","1","0","0","geq_0_lt_200","lt_100","geq_4"
"1","0","1",33,36,7672,1,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"0","0","0",26,13,1965,4,4,2,1,"1","0","0","0","0","0","0","0","0","1","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","1",41,18,1823,2,2,1,2,"0","1","0","0","0","0","0","0","1","0","1","0","lt_0","lt_100","geq_4"
"0","0","0",33,12,3017,1,1,1,1,"0","1","0","0","0","0","0","0","0","0","0","0","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","1",49,36,2223,4,4,2,1,"0","1","0","0","1","0","0","0","1","0","0","1","lt_0","geq_100_lt_500","geq_4"
"1","0","1",22,9,3826,1,1,1,1,"0","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","lt_1"
"1","0","1",38,10,7097,1,4,1,2,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",27,36,1882,3,4,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"0","0","1",25,22,2580,4,3,1,1,"0","1","0","0","0","0","0","0","0","1","0","1","lt_0","geq_100_lt_500","geq_4"
"1","0","1",28,12,1255,4,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_4"
"1","0","1",53,24,8588,3,3,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_4"
"0","0","0",29,24,1326,4,4,1,1,"0","1","0","0","0","0","0","0","0","0","0","1","lt_0","geq_500","geq_4"
"0","0","0",25,9,1274,4,4,1,1,"0","1","1","0","0","0","0","0","1","0","0","0","lt_0","geq_500","geq_1_lt_4"
"0","0","1",52,6,1164,4,3,2,1,"0","1","0","0","1","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","0",38,27,5296,4,4,2,1,"0","1","0","1","1","0","0","0","1","0","0","1","geq_200","lt_100","geq_4"
"1","0","0",22,9,2208,1,1,2,1,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","lt_1"
"1","0","0",30,18,939,4,3,3,1,"0","1","0","1","0","0","0","1","1","0","0","1","geq_0_lt_200","lt_100","geq_4"
"1","0","1",62,24,3122,4,4,1,2,"1","1","0","0","0","0","0","0","0","1","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",26,36,5848,3,2,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",50,36,5293,2,2,2,1,"1","0","0","0","0","0","0","0","1","0","1","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","1",26,10,1149,4,1,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","lt_1"
"1","0","1",35,18,2279,4,1,1,1,"0","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",44,18,3979,4,2,1,1,"1","0","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","geq_100_lt_500","geq_4"
"1","0","0",41,18,250,4,4,2,1,"1","1","0","1","1","0","0","0","1","0","0","1","lt_0","geq_500","geq_4"
"1","0","1",31,18,708,3,2,1,2,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_1_lt_4"
"1","0","1",50,27,5293,2,4,2,1,"1","1","0","0","0","0","0","0","1","0","1","1","lt_0","lt_100","geq_1_lt_4"
