"population.numeric","householdsize.numeric","racepctblack.numeric","racePctWhite.numeric","racePctAsian.numeric","racePctHisp.numeric","agePct12t21.numeric","agePct12t29.numeric","agePct16t24.numeric","agePct65up.numeric","numbUrban.numeric","pctUrban.numeric","medIncome.numeric","pctWWage.numeric","pctWFarmSelf.numeric","pctWInvInc.numeric","pctWSocSec.numeric","pctWPubAsst.numeric","pctWRetire.numeric","medFamInc.numeric","perCapInc.numeric","whitePerCap.numeric","blackPerCap.numeric","indianPerCap.numeric","AsianPerCap.numeric","HispPerCap.numeric","NumUnderPov.numeric","PctPopUnderPov.numeric","PctLess9thGrade.numeric","PctNotHSGrad.numeric","PctBSorMore.numeric","PctUnemployed.numeric","PctEmploy.numeric","PctEmplManu.numeric","PctEmplProfServ.numeric","PctOccupManu.numeric","PctOccupMgmtProf.numeric","MalePctDivorce.numeric","MalePctNevMarr.numeric","FemalePctDiv.numeric","TotalPctDiv.numeric","PersPerFam.numeric","PctFam2Par.numeric","PctKids2Par.numeric","PctYoungKids2Par.numeric","PctTeen2Par.numeric","PctWorkMomYoungKids.numeric","PctWorkMom.numeric","NumIlleg.numeric","PctIlleg.numeric","NumImmig.numeric","PctImmigRecent.numeric","PctImmigRec5.numeric","PctImmigRec8.numeric","PctImmigRec10.numeric","PctRecentImmig.numeric","PctRecImmig5.numeric","PctRecImmig8.numeric","PctRecImmig10.numeric","PctSpeakEnglOnly.numeric","PctNotSpeakEnglWell.numeric","PctLargHouseFam.numeric","PctLargHouseOccup.numeric","PersPerOccupHous.numeric","PersPerOwnOccHous.numeric","PersPerRentOccHous.numeric","PctPersOwnOccup.numeric","PctPersDenseHous.numeric","PctHousLess3BR.numeric","MedNumBR.numeric","HousVacant.numeric","PctHousOccup.numeric","PctHousOwnOcc.numeric","PctVacantBoarded.numeric","PctVacMore6Mos.numeric","MedYrHousBuilt.numeric","PctHousNoPhone.numeric","PctWOFullPlumb.numeric","OwnOccLowQuart.numeric","OwnOccMedVal.numeric","OwnOccHiQuart.numeric","RentLowQ.numeric","RentMedian.numeric","RentHighQ.numeric","MedRent.numeric","MedRentPctHousInc.numeric","MedOwnCostPctInc.numeric","MedOwnCostPctIncNoMtg.numeric","NumInShelters.numeric","NumStreet.numeric","PctForeignBorn.numeric","PctBornSameState.numeric","PctSameHouse85.numeric","PctSameCity85.numeric","PctSameState85.numeric","LemasSwornFT.numeric","LemasSwFTPerPop.numeric","PctUsePubTrans.numeric","PolicCars.numeric","PolicOperBudg.numeric","unrelated_column_one","unrelated_column_two"
10005,2.89678582222753,23.7673709257249,84.9350979105401,7.66073449898157,0.12,4.68,21.8250476883678,10.4141669920155,6.98223381048498,2069752,0,66553,85.6790949889036,2.40646143787504,60.3507190028426,12.6575757359669,1.21254443105656,18.5981697658768,83069,23196,35867,30183,4088,21405,0,78,1.8741478480182,1.48696802566014,12.3834894053444,73.63,2.08114322570945,67.2056361478733,12.2647503182158,40.2872412501366,8.60130947423249,38.9070052798768,4.83561458417534,22.0156428016604,8.94655475406498,6.54961638444367,3.10777175630274,91.5356629698369,86.6101769206684,98.6721258419171,84.4836893052864,51.8953617344062,69.3225072664135,52720,0,20,11.3667992533866,5.84626602576464,12.6454085647698,17.6420210760521,0.435959564951928,0.450343040427499,0.959186446097604,0.939868914917219,88.9955610616504,0,1.21623110724447,3.57553859873738,2.77319815743293,2.84803012777702,2.23296873065297,90.8303900770245,29.1704784539727,22.9477182013443,2,36,99,80.5546229432305,2.58110274133377,47.8929634701509,1968,0,0.118160767206398,164421,189819,276365,104736,561,713,700,142,746,26.5934334591717,17.3991241404406,13.8420398798407,0,3362,3.02485296766634,52.845372202047,64.6175103428606,81.2922315710574,89.566104461425,755.822138555831,10,2.57806728088342,"1","1"
152907,2.59746862259884,49.2172232127246,60.0574980113421,0.961860092161264,4.4993357846351,13.256374579699,31.5901056741251,12.184876265695,11.5159313320179,348727,88.9776426012779,15346,63.0962734098207,0.466887948038166,24.0258623350737,38.5841510194362,22.7454700816526,16.2740229324073,20976,10566,14274,0,13958,505,3677,78,24.2992791024272,13.50543948208,32.0183828196624,12.7531217248999,6.05570246438964,47.0345219970938,21.8140970731096,42.8032026212147,21.4035325245856,14.5813139490544,12.2459509390558,59.6303533244646,13.3471117155717,17.8049717271885,3.52334704550236,33.1332712410726,30.7820595113425,55.7818201446853,48.0555329302409,61.6807258805314,69.4107003904446,7878,18.2995686898214,342372,8.83308683564946,13.8857901526286,12.8491409346291,25.4508378337325,0.775621242754637,0.627924541314498,0.464816313593199,0.159038025076632,83.5830343216536,3.41415513031343,7.6283050371677,9.4790242664997,2.46270481418147,2.63289767664497,2.77688424406181,50.2586675198533,0.874230578682929,37.995355940945,2,1842,87.6418841082491,60.7993103586612,20.9271071928664,82.13,1950,8.65892471478771,0.610609974600001,49820,48923,53904,0,201,328,384,216,457,35.1,20.1743676408347,17.6409381344516,5872,2034,7.29501266829,84.7020945900704,53.7842543530916,94.9927683088049,90.8539667547009,577.093946278731,17529.8717907231,19.8648006853269,"0","0"
10005,3.99926242204119,12.3738791797483,74.1705877435302,4.0097146233799,35.8346366202735,14.6986438457065,33.7296885287976,9.7510913236118,12.3909098129741,0,84.6844327212648,43326,88.0291902620461,1.49980404210512,31.5216373538155,15.8305430165688,8.95101309487881,11.8314027996288,36918,12619,14436,22488,0,10889,10115,212819,5.46384227443784,2.73580029465266,32.1252403116477,9.50405461668379,4.77408776957082,73.5297420207647,11.4317782986872,18.1682433490916,15.443777211546,24.0093314437118,7.6827944465226,22.7435180848138,12.2274567855297,9.78273098297922,3.71521270371697,79.0796194314674,76.6346998478684,92.7114564590315,90.6032276766935,58.7628998009697,68.5966117959625,0,4.42755520865626,45775,13.2800385354406,12.7666197252916,39.3132380903027,25.2790830234865,1.77021207690255,3.11423956522033,4.9622109636446,4.63744289848809,74.2664546387288,3.6137858980274,12.3323231509749,9.71553456707372,3.06476151136112,3.35634806724307,3.10264718372917,69.4751586763888,14.3596533688408,38.543373359059,3,981,99,64.4634562070944,0.189125709417265,10.7416047088119,1986,0,0.226452881111483,143636,150931,264250,58539,456,655,665,223,741,31.2533031990857,21.5323950587693,12.7650516291437,1517,4133,20.0948097380797,62.4732054314979,45.4405357844998,62.1102364057619,93.5530521039995,39.3795352606483,3429.69187439047,3.42359521979291,"0","0"
3729924,2.59333681263036,16.6740479495948,51.3404205536009,0.03,3.10359098470873,15.5502943920573,22.6386975263957,12.7979212307238,14.106337957328,3824217,0,17985,64.7796235385543,1.30378300628709,13.4357554418965,38.1320728641214,17.8283745823823,4.25564512028498,22591,7932,40628,47455,26598,0,18920,78,27.6260991221026,20.8456125595488,40.0833017975535,10.3396781696004,8.28583949769975,50.1079936288608,44.3680918243214,26.6718373268642,32.02758440968,21.6563552031083,11.3965262511533,31.4714649780412,13.2646947777135,17.1749069681654,3.09028782281254,62.7161467516809,48.4060583034314,74.0802160028663,52.8168117864914,57.0599611199321,72.9696292835271,0,8.47250425760375,20,34.4595869611835,76.16,72.238013625426,75.155968551318,0.658014903820323,0.536036700961897,0,1.03976306096331,96.307766688772,0.616563348849592,6.27146145180402,2.30596656999325,2.63257066459201,2.48673752807906,2.51931656634906,52.7821901057106,6.0518736958992,42.2479990849615,4,36,90.6114874449398,67.5484839827615,1.55085271509408,42.1400099880382,1971,13.6586633958163,1.11238940147779,27103,30401,77493,41197,129,177,271,138,192,26.2610979064503,21.0699181868464,17.3474397623534,82,0,3.41025002173683,70.3227506995666,52.611772154302,95.6482963637356,87.4962702580693,0.9,1155.99065812902,3.50390982558023,"1","0"
2961049,2.68168060588834,50.4937740618126,28.7169954695498,0.03,0.12,17.3678927803608,30.8905386498513,16.7713357079774,10.8411843768683,2547066,0,21332,70.0846230505745,0.662298951601589,31.5455680428765,31.8455779430162,21.1312340296146,16.8702370239199,23191,9975,13878,0,4527,35073,5026,114702,25.3124836970735,11.071167850378,45.3948516654477,21.5933090539495,7.47111418037837,56.3447598225235,26.7644364713044,26.585602511294,26.2434699386943,25.5719316336969,11.4626816948857,32.0054476621835,12.2994994189203,12.0210929554361,3.0128387102674,54.698278543603,51.1643195615157,59.6506181845147,55.7938092937165,59.5580628818867,60.1360028926921,0,5.48295053648496,587853,2.62521695916525,0,26.5410501542657,11.5398058236497,0.0282470200779967,0.0792827321365357,0.0331522614782604,0,94.9102236005452,3.03849468814232,6.85241260286227,4.63823076292486,2.62673176735957,2.63153368633215,2.34632853335073,58.9795099438778,3.86093378789965,50.2263736832112,4,36,92.8626040369341,54.500563316486,8.51090912736456,45.6132766641683,1963,12.4737027040542,0.523625797401526,129726,44843,49769,33350,165,241,253,147,292,27.5692742436041,19.1002161821382,15.8543125073766,0,0,0.856890098506955,92.3008526030724,55.7487857172398,81.9438462230465,91.5089338421157,0.9,1972.39693331021,0,"0","1"
123879,2.60217602459272,16.8828445559561,67.6213165680778,15.7435149480599,8.77498905368365,15.1048558446175,32.8457353645174,16.8434374914074,20.1696846671845,0,0.868772266670002,25746,80.1059043492267,0.977970874977269,31.3718355777019,23.2548646407369,8.19864854424178,12.3043961385288,30847,10742,26531,63416,4853,8742,0,78,17.2850380174923,14.0563607419347,32.269541421574,18.3127081059234,6.28582395412647,61.4179396981954,27.033769115742,24.4729019210132,15.938148306815,30.6421407745618,12.5437915322521,22.1113248677691,16.2935321686669,14.8149865555983,3.11682997249721,63.3354676173508,56.3722971170299,68.6685917318833,68.9470665014848,62.3206904558363,78.5079670638934,0,0,20,32.9370740106762,38.7040499457211,69.622519129897,88,3.25510855633854,3.67219013200483,6.687878892624,7.15655917300957,87.1300243010264,1.1972188479302,9.30276831877416,4.15241778037593,2.42898704929451,2.26386540960022,2.43514124230472,46.4863391001929,5.84392177400777,50.3116728597504,3,25336,92.446036319634,58.8973449976275,0,20.8107166010504,1979,13.3057507016945,0,89213,74821,281166,33992,99,314,506,249,394,26.002852090069,20.6020907894134,11.5238320487118,8658,0,11.676668223834,63.0023482431153,46.0028931854747,74.3555128535646,80.1039290858378,0.9,570.230753115139,0,"0","0"
10005,2.77374350200655,37.804777479245,99.63,0.03,0.12,17.992506155687,49.0224703538446,4.64,6.89404229882973,0,76.1771337083834,66813,82.6311905737973,1.89511124753965,16.0721200754651,23.1296230318655,6.14328701621201,17.8442170829711,53820,20275,12606,10688,12497,9795,26076,9235,1.66107589259516,0.2,16.742825823709,30.7157756375353,7.06343644524136,70.3061693107978,18.8496168238381,21.1558723065092,13.617636638766,16.3168772648858,5.89960618771844,23.33247671143,11.295415862595,8.14439641006509,3.56258463288781,91.8046232561703,92.58,91.8509068671978,69.1440352991968,65.8799772359702,82.6144483998792,111115,0,23831,12.8818853887119,16.9093496909545,19.1996784427408,3.61786422472798,0.421882581864313,1.00213073835357,0.449819173665272,1.27572641348993,95.6367576307214,9.66547720802998,4.79515610055607,7.6021938436111,3.09105258324296,3.17530786810199,2.31279662580723,88.2248104889297,9.57187560014787,30.205535320139,4,3369,94.2313890907511,56.8046756292331,1.36127889491866,36.1951564546748,1959,0,1.17711566609526,104659,116011,171759,55356,99,515,650,259,600,25.0880765936463,22.0393749029598,17.9817191959189,4006,0,3.30614953277515,93.14,62.1666538756674,93.5468490109197,99.0521053936748,0.9,10,1.17690025411315,"0","1"
1435940,2.78322073833067,47.2159580450121,52.547884354289,0.03,0.12,16.741086361816,31.6565069463551,18.8030691125266,6.54328940507021,1273188,0.817503475993792,23657,89.0480174644956,0.474406363968745,28.773301167584,26.2648775522554,15.6414220434218,13.7761591780527,30585,6660,16364,42982,11589,2350,11245,78,29.0008458823074,13.4067577943963,26.3603604242082,25.4227244488591,6.75823840928142,59.2316407661144,2.57196635516719,37.0370975907616,18.2522691779142,31.5535485109738,10.7978364924624,34.8597108012193,7.6849762700707,15.3117172804605,3.46758661507233,62.6729442209816,52.3164814476001,61.0968910425961,60.0190782633224,56.0058574448311,63.546164507603,97480,13.8122324228432,20,41.1993150557458,36.8891110630654,30.321163289911,49.6543831421717,0,1.50583267552316,0.813418083109042,0.256738916334403,96.5549050950049,1.81430525743091,5.87517641270815,3.49347490118762,2.09350660556336,2.67010500494612,2.6040720160316,42.5085256091205,0.05,34.109147369699,3,70163,97.3477123275338,51.5105116787613,2.72238258725788,53.2115650791921,1986,12.386780848856,1.18056610009755,31404,137822,82562,0,185,283,385,158,324,25.8934871016567,17.727534815308,13.6822026286156,1691,0,0.838732388839872,68.9223116187165,32.3295138745849,70.2197114454152,89.4490596420557,302.555227514151,2745.34680168627,7.63786404866971,"1","1"
2159080,2.40729842103498,13.5889937778257,96.6867945757157,6.06294949451823,6.060798451109,7.34846833654077,21.5272179705962,8.75542648469294,13.3706933057607,0,63.5273257176697,52737,82.5580178342105,0.652166409373119,45.1021448378236,27.6794966227514,0.5,20.9787403466398,58210,21574,26384,10737,0,15252,17092,424454,2.80549136639729,7.39708854772962,16.2770490181669,29.5091566223544,4.77796308763747,70.1899870914198,17.3199667051783,27.5156422483169,7.81341642734678,25.1343020681838,5.82081154866262,29.876857474088,8.41191930428589,7.65680400669051,3.15115570884516,81.8634833915687,84.7171942053394,88.5370032356726,79.0732349598802,51.5373671069313,66.4891971404411,0,1.30379046043906,20,12.486028241179,14.0956330866592,26.7458100810253,34.3325623249834,1.58816224321933,0.682593922502708,2.20007541535815,3.05975932273503,88.8693742140809,0,4.47855425767749,3.51477968892009,2.68102368962208,2.15072420636584,2.01104180292376,92.6048874343493,1.12021220840958,30.7629297270366,3,36,96.426434032098,74.2876525746927,4.66345951170775,27.6555171607619,1960,0.915516442200931,0.547769149331085,145181,180061,197306,102818,447,589,735,276,650,27.3102254031119,21.4365930193297,14.6261040311728,0,2044,14.4018291829451,34.6551570506586,72.3311364347894,89.1991516721418,87.9886881271768,41.1833233166458,4630.68012616336,11.4468588521548,"1","0"
10005,2.84720720955312,1.59024131466118,97.6342652644678,1.84387350742918,4.60148877700835,16.8302908046425,26.5711823043545,12.0769938901373,4.34946664838922,1878287,91.9247192439097,42435,92.0437130348988,0.680813646499594,45.1905865524246,4.81,1.71668326476852,8.14587766040915,43163,15980,17731,13951,12637,25429,13004,78,1.62338112161441,2.7012419237791,12.195824037111,27.7099228511405,3.52857154422175,76.8284474066438,22.3850123668004,19.3887289071656,3.08007582784315,39.8193921049142,6.93462697386652,16.3374517456172,9.43314239726367,7.28740969250848,3.538121628867,93.6,84.0839564281493,97.9436459204508,86.1223477659705,68.2280908607602,82.8414273339893,127217,1.63709158317382,432880,17.7243728759345,17.336117705374,5.45732762280351,60.8390884343515,0.251277661894466,1.20883997075046,0.926331440388208,0.601040472594906,95.8289989847907,1.32878782715502,4.33650265230035,3.81135705585765,2.96504845735581,3.22636862602105,3.44862394530596,89.980308162284,2.24136008723245,11.0586062682652,3,44403,92.2122287057917,77.8362875900641,1.16770660158141,41.8496896886417,1974,0.799591370337848,0.131141161222368,82242,82478,109547,35286,314,519,615,274,350,23.7054161611699,23.4952806873478,11.8796118645974,10205,4751,1.20573071164457,57.8363599215478,34.3607458805785,72.7528400581289,96.3335441222399,795.561076581516,1625.72901606742,1.8404029230445,"0","1"
