"population.numeric","householdsize.numeric","racepctblack.numeric","racePctWhite.numeric","racePctAsian.numeric","racePctHisp.numeric","agePct12t21.numeric","agePct12t29.numeric","agePct16t24.numeric","agePct65up.numeric","numbUrban.numeric","pctUrban.numeric","medIncome.numeric","pctWWage.numeric","pctWFarmSelf.numeric","pctWInvInc.numeric","pctWSocSec.numeric","pctWPubAsst.numeric","pctWRetire.numeric","medFamInc.numeric","perCapInc.numeric","whitePerCap.numeric","blackPerCap.numeric","indianPerCap.numeric","AsianPerCap.numeric","HispPerCap.numeric","NumUnderPov.numeric","PctPopUnderPov.numeric","PctLess9thGrade.numeric","PctNotHSGrad.numeric","PctBSorMore.numeric","PctUnemployed.numeric","PctEmploy.numeric","PctEmplManu.numeric","PctEmplProfServ.numeric","PctOccupManu.numeric","PctOccupMgmtProf.numeric","MalePctDivorce.numeric","MalePctNevMarr.numeric","FemalePctDiv.numeric","TotalPctDiv.numeric","PersPerFam.numeric","PctFam2Par.numeric","PctKids2Par.numeric","PctYoungKids2Par.numeric","PctTeen2Par.numeric","PctWorkMomYoungKids.numeric","PctWorkMom.numeric","NumIlleg.numeric","PctIlleg.numeric","NumImmig.numeric","PctImmigRecent.numeric","PctImmigRec5.numeric","PctImmigRec8.numeric","PctImmigRec10.numeric","PctRecentImmig.numeric","PctRecImmig5.numeric","PctRecImmig8.numeric","PctRecImmig10.numeric","PctSpeakEnglOnly.numeric","PctNotSpeakEnglWell.numeric","PctLargHouseFam.numeric","PctLargHouseOccup.numeric","PersPerOccupHous.numeric","PersPerOwnOccHous.numeric","PersPerRentOccHous.numeric","PctPersOwnOccup.numeric","PctPersDenseHous.numeric","PctHousLess3BR.numeric","MedNumBR.numeric","HousVacant.numeric","PctHousOccup.numeric","PctHousOwnOcc.numeric","PctVacantBoarded.numeric","PctVacMore6Mos.numeric","MedYrHousBuilt.numeric","PctHousNoPhone.numeric","PctWOFullPlumb.numeric","OwnOccLowQuart.numeric","OwnOccMedVal.numeric","OwnOccHiQuart.numeric","RentLowQ.numeric","RentMedian.numeric","RentHighQ.numeric","MedRent.numeric","MedRentPctHousInc.numeric","MedOwnCostPctInc.numeric","MedOwnCostPctIncNoMtg.numeric","NumInShelters.numeric","NumStreet.numeric","PctForeignBorn.numeric","PctBornSameState.numeric","PctSameHouse85.numeric","PctSameCity85.numeric","PctSameState85.numeric","LemasSwornFT.numeric","LemasSwFTPerPop.numeric","PctUsePubTrans.numeric","PolicCars.numeric","PolicOperBudg.numeric","unrelated_column_one","unrelated_column_two"
70397,2.46862300194878,10.49,89.13,1.03,11.6550087831519,12.3896070526245,22.7103248882045,10.9518312269077,19.8905533556237,0,100,26422,65.48,0.5,35.7421562086185,36.57,4.50239409764142,20.1871281202696,26757,11576,17842,8689,6710,10901,6105,2519,11.0835918927589,6.3868936308551,32.62,12.31,9.39,54.33,15.63,24.2431613054429,8.39,25.52,13.4397419165075,25.6,12.34,15.35287248543,3.21,67.7241640927185,65.9334127581011,73.13521026096,74.4860169996577,63.3029333883508,72.6823526759322,2579,5.92094071337488,3694,9.29072131577258,15.45,19.5301433616256,15.86,0.314466827632859,0.38,4.96256239809251,0.715188143139239,85.65,0.626089201514454,3.56970117867691,1.68,2.17,2.25,2.14103761565716,64.6865106551365,2.43056569484373,69.5,2,5174,91.1,42.61,2.58769130706477,15.3973254518289,1949,6.64514337780265,0.51,36800,65900,136571,54721,295,276,337,155,338,28.4949599324726,23.1276060683963,14.4,195,36,5.42,59.3627245253759,35.4991300814599,66.5070783257857,69.62,23.8,4052.3,4.99,"0","0"
60110,2.51226645774674,0.35,80.2164108868828,2.12,3.53489314945027,14.31,26.17,10.535932781552,8.2,18439,100,49642,87.35,0.827654412859119,60.6341491711854,28.2275152437482,2.90348175482204,21.73,64044,21449,18757,12189,20160,18839,19906,2126,5.51,4.17,12.0898703739047,23.2238890852112,2.9,70.6754791714569,17.2976149200136,22.33,6.51,37.49,5.49672399021064,29.0279055496802,15.1035821529245,9.63274098385125,3.30801269769281,82.26,80.5750785840279,94.15,87.05,63.2272440617578,67.0201925290422,733,0.747629318933468,5090,13.9750280461274,10.8810256041843,30.3533699044694,35.1802402330749,1.66,2.24,3.10268934892723,2.97526932975355,84.61657623524,2.02,2.35276236291431,2.13,2.12367564403142,2.77291965269018,2.31,71.919356641802,1.07,42.47,3,2771,95.5,80,0.37,43.6872252317417,1978,0.28,0.36,209048,208500,249000,77421,842,581,1001,216,754,26.7,24.3,13.0235025250042,0,0,11.97,18.21,42.1839097044012,63.6259932595848,89.3362146560405,41.6750823713839,8311,0.95,"1","1"
44513,2.73436055049223,0.805657021321822,95.0287630458719,0.21,0.91,8.1,28.99,12.0723625224968,4.44112315341287,13184,100,35132,88.7475920394994,1.13808501092872,51.0252534829926,10.7429687168961,4.04,10.200706910061,41193,21972,39357,12976,8964,12292,20971,443,7.44,2.71546279755576,3.94273851739708,41.8109615117265,2.46,79.53,20.5002266117853,33.3662107653528,5.22705713685602,30.9567443663596,8.46172741659063,23.8965126139826,12.202497535164,12.61,2.79,82.4643409441388,80.8312954017054,94.9393015926487,86.525042850133,58.1507531778903,75.13,201,1.2843467138956,2368,11.8385919032556,36.0467272555083,24.6790363931035,48.27,1.00442289058895,2.44614794549842,1.0341751374832,2.45,90.71,0.352233833049734,2.96233264956002,2.23,2.48,2.91,2.08749200677499,75.3389205152122,1.32,54.77,2,1657,89.32,45.11,1.28,12.6421103334567,1982,0.51,0.083159837211327,137700,64000,500001,162501,454,737,1001,420,752,23.675353568707,21.8,12.7,0,0,0.77,68.86,52.54,65.2623538510998,79.69,9.5023308681945,3324.07743560977,1.47,"1","0"
40575,2.53432240800078,1.3,97.48,1.42078618508764,1.18,18.56,26.6,17.7529672082925,14.0763824851035,0,0,20513,65.8795379766907,0.66,39.2044991008937,29.57,10.26,13.7092112460174,24605,10232,11760,4943,4844,7699,10776,1991,18.76,10.2167781347269,22.5701226982102,12.11,10.38,51.94,26.0362139487267,23.7874552323623,15.8135304859234,20.31,12.9622139483915,27.237337403018,14.575932631467,14.6747900421079,3.04,63.66,65.3898846346357,62.9865240920847,74.7915080533402,54.6367369448983,74.1,341,2.49,625,16.170198028634,30.7762430895477,39.5071085545537,45.1436276079807,0.412181667262533,1.29,1.67,0.1,93.4052481475868,0.65,3.55,2.31070677073595,3.01,2.5691525475774,2.24160226622829,62.85,0.95,61.7575808550697,2,222,94.9981896551885,45.64,2.17290121044964,37.39,1964,6.38891430710753,1.08131169336537,53090,46745,76848,35656,247,319,341,132,423,28.3996819191923,19.8111301157856,13,84,18,5.67,62.02,52.2086572674243,67.5696250755379,90.8322309475105,24.1287015122129,3694.20851361332,2.1820138231013,"0","1"
20612,2.49710433745369,29.65,51.7955019082727,3.41929583425478,13.2076329346537,13.67,24.4783168677008,12.1387882719003,11.6788611604522,22298,100,18607,71.7363031822722,0.84,37.3576213595504,29.8650901429285,12.8438599406835,20.57,38622,11005,13319,6940,0,15170,9117,1292,26.6100566589832,11.0012168979831,28.3580043759383,16.75,8.24,62.8199747768378,18.0065872281278,13.1094395572273,14.6663306576642,20.5895928901962,14.9201718487171,40.1174682280227,15.9074805631364,12.598345204033,2.94,62.8,59.94,63.0959863491248,64.5048830242983,67.7919521351027,71.9104502688535,553,10.1952350478301,414,0,3.48330943916226,40.91,27.28,1.66,0.16,3.45405693764798,2.13277391706283,74.7053844534117,0.39,14.1103673480855,10.88,2.91,2.42,2.29,61.5391189849633,7.28292558228597,53.5038303439529,3,16481,91.8664494536181,47.4674156128025,2.55193485430752,46.4773034279017,1970,4.94,0.367158099604615,59300,41500,108144,41300,328,321,256,231,401,27.7,18.4254076015127,12.2,28,1,1.89399646923566,75.2048232714537,63.03,76.2986939173518,77.38,9.8,2625.2,0.597806906038894,"1","0"
43701,3.56,44.23,78.37,0.914810017161071,46.79,21.0111032999773,20.08,9.08,6.27,5801,0,20185,71.6998123879079,1.39476338986307,47.29,18.771800216306,8.99639470701726,10.9113283839232,22858,8103,8450,5641,9101,8961,5729,3786,31.4987595145684,4.65,30.4994950461574,9.78,10.05,53.32,32.31,21.44,8.27616399616003,27.4620830519187,13.37,35.5,16.03,7.97463355539988,2.84202112995088,59.821381487418,57.68,75.19,67.7730037859765,62.4311995655484,74.9530165780522,1342,8.69752361473937,1453,13.6711021383572,25.707249423489,30.3684599957056,40.0417731107026,0.09,11.82,5.66019761520127,1.73,94.1186185624451,17.7434578476536,3.19675248973072,1.51966963643208,2.4,2.39286727437129,2.26008142812178,38.7387678674981,7.27929111581296,65.7859138284655,2,1057,79,40.0048759021051,2.1,54.53,1953,12.5915254738306,0.482427773540839,37402,62700,85341,45058,259,284,398,181,374,35.1,18.1359112985432,14.4640711983045,61,20,39.5231222275272,64.3694911841644,49.3009962780121,89.23,71.02,25.8,1285.9,0.21,"1","0"
62113,3.66482835237868,22.5839244042399,71.27,5.3,24.54,12.0485513070257,31.94,13.56,3.81,455332,0,23285,82.8646720533733,0.84,30.8500420866068,25.111139548528,11.6217602424533,13.84,31312,12329,11968,3607,6139,11075,8179,42845,22.7211626951816,7.24850749130827,29.22,7.14914276671596,7.32,49.4945016443217,29.52,18.96,23.0221505569294,25.0113244368695,11.43,38.24597976629,14.06,10.97,3.63059883101766,62.93,59.46,77.11,56.66,42.9279892458045,65.11,999,4.22,23661,22.36,28.82,40.32,67.588988079899,2.92856303902964,8.69,1.37,3.85875922288901,76.8505751953266,8.24,6.44,2.84,2.58,2.32,2.05,53.58,4.54306505547216,45.818903522895,3,3070,90.71,63.15,1.63056187891479,38.4383278344432,1971,9.28,0.195085167804112,90971,140800,42886,54800,200,329,436,170,339,25.3,21.8,13,7,15,29.2549759651721,75.467721489612,34.1498614500541,82.37,89.1639801752893,7.6,2813.25580633508,1.62039896322647,"1","0"
23867,2.50182853893532,46.1123731929855,59.2962476236319,0.66,1.44210799487618,13.65,27.93,36.51,10.8554656325645,50627,100,20429,71.6,0.67603205177933,31.5640885060762,14.9264025036494,11.51,12.1408413800504,25367,8831,15109,5153,14717,2667,8763,1183,26.41,17.74,31.7,8.23,6.47,56.59,23.5039276475894,19.8660099826381,17.7484854858307,20.54,11.05,42.38,15.2364179070899,10.45,4.18042505378369,67.57,48.15,70.8724554536771,75.5563398770103,55.95,64.34,1001,10.6534203975166,90,4.47094827106921,39.1011473362404,20.41,25.27,0.0569141559372656,0.2,16.1114058802711,6.24,96.65,2.04280566225139,3.93,1.9752940831737,2.61,2.49,2.23,59.1753022327026,3.71,50.02,1,602,96.66,58.3267232264827,1.7504360098547,47.7002062024937,1965,15.46,0.34,31641,43300,74300,34556,152,465,702,125,336,29.3810428039016,24.2,13.6,12,0,0.58534560075573,82.6451958725229,46.1589667392344,74.3850241849525,95.1697549696018,19.4131590869743,2479.61073016544,0.82,"0","0"
32188,2.7,0.24,98.06,2.25,0.83,12.5134412313998,26.7649774532206,11.21,8.85778687241177,0,100,35810,77.3882268107124,0.616178181171417,51.5826395865281,32.68,2.04,13.1077892269939,45695,16010,16111,13739,3500,17855,12797,1437,3.8982304347679,4.76822263993323,16.66,22.52,6.7,67.0158386402205,27.56,20.67,10.9160347812995,27.59,8.90692484973619,25.81,13.3832784751865,6.38,3.1,82.58861408934,81.9334042840699,90.7523513451405,84.77,58.302500397029,67.9314141190549,191,1.31103529999654,2902,4.76398277200138,9.57,10.9508709745668,37.4865442839824,0.45,0.81,0.66,0.37,96.2891569930874,0.8,2.33,2.49,2.76445680371796,2.89,1.92642599899943,80.68,1.23239536988238,45.7250800144114,3,1025,93.8670727458534,63.86,0.91370374282201,19.7021130381525,1975,1.74584562463065,0.32,115900,108089,180500,83400,511,390,477,137,496,21.6917582647254,22.0005398561557,11.9,0,0,2.22404050444563,68.0190575523612,73.2080158021425,87.4897245455409,84.1100184115954,13.0325786764423,1049.68041183501,1.04,"0","0"
17894,2.97,0.55,96.079566843325,5.07770860304745,2.31,12.3848449071481,26.56,17.04,17.44,10349,78.01,61879,87.07,1.92144408391788,65.6,12.69,2.84932825333206,15.910574558458,51345,25843,29254,25707,12096,32909,27415,762,1.36613952502375,6.29,6.87,23.51,1.32,68.0114521971143,22.9126103148074,26.4061834735035,6.2609248296249,35.29,5.47,25.4246289467812,6.79214344995562,7.809271954357,3.17,86.72,92.0429088595424,97.8,86.5853196888394,46.571438948065,67.7772547872535,27,0.32,320,6.64911107716306,15.29,23.0956280103302,22.2527910809685,0.61,1.11365628678351,1.1,4.74142327519134,86.1660031146153,0.537593065788969,3.64,2.78,2.61502736951225,3.02793871306814,3.2168488805547,85.34,0.614176852738795,23.3348111217003,2,491,92.5291147644376,70.1589833144688,1.37,22.89,1963,0.202446322143078,0,75200,192012,192350,89091,320,766,737,188,708,19.9784971889574,21.8,12.7436261866319,8,7,3.27632398087764,60.14,66.07,69.2331158958701,93.29,3.7,2461.48623744262,1.31440908756806,"0","0"
