age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two
38,0,M,Male,0,1,False,1,0
52,0,F,Male,0,0,False,0,0
21,0,F,Female,0,2,True,1,1
24,0,F,Male,0,-2,True,0,0
38,0,F,Female,0,1,True,1,0
24,1,F,Female,1,43,True,1,0
30,1,F,Male,10,1,False,1,0
49,0,F,Male,0,1,True,1,0
46,0,F,Female,7,12,False,1,0
38,0,F,Female,1,-2,True,1,1
45,0,F,Male,0,2,True,1,0
36,0,F,Female,0,0,True,0,0
30,0,M,Female,0,1,False,0,0
19,0,M,Male,0,1,False,1,0
22,1,F,Male,1,4,True,0,1
28,0,F,Female,1,4,True,1,0
25,1,F,Male,2,3,True,0,1
22,1,F,Male,10,3,True,0,0
27,0,F,Male,1,49,True,1,1
29,0,F,Male,4,1,False,1,0
27,0,F,Male,13,1,False,0,0
38,0,F,Female,0,10,True,1,0
24,0,M,Male,0,1,False,1,1
20,1,F,Female,0,1,False,1,0
44,0,M,Male,0,-1,False,1,0
20,0,M,Male,0,54,True,1,0
37,1,F,Male,7,12,True,0,0
25,1,F,Male,3,421,False,0,0
31,1,F,Female,3,2,True,1,0
21,0,F,Male,0,1,True,1,0
26,1,F,Male,0,4,True,1,0
43,0,F,Female,0,60,True,1,0
24,1,F,Female,1,1,False,1,1
27,0,M,Male,0,2,True,0,0
47,1,F,Male,2,-1,True,0,0
20,1,F,Male,3,3,False,1,1
25,0,F,Female,2,3,False,0,1
29,1,F,Male,6,0,True,1,0
44,0,F,Male,1,-1,False,0,0
24,1,F,Male,0,0,False,1,0
26,1,F,Male,4,4,True,1,0
34,1,F,Male,0,303,True,0,0
21,0,F,Male,0,-2,True,1,1
28,1,F,Female,1,2,True,1,1
41,0,F,Male,2,-1,True,0,0
28,0,M,Male,2,-2,False,1,0
44,0,M,Female,1,3,True,1,0
22,1,F,Male,1,1,True,0,0
19,0,F,Male,1,2,False,0,1
