"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
67,"1","M","Male",3,2,0,0,1
45,"0","M","Male",4,45,1,0,0
34,"0","F","Male",1,16,0,0,0
30,"0","F","Male",1,67,1,1,0
34,"0","F","Female",13,351,1,1,1
38,"1","F","Male",4,84,0,0,0
45,"0","M","Male",1,26,0,1,0
54,"1","M","Male",2,14,0,1,0
63,"0","F","Female",1,141,1,0,1
22,"1","M","Male",1,34,0,1,1
77,"0","M","Male",0,18,0,1,1
37,"1","M","Female",3,66,1,1,0
54,"1","F","Male",1,22,0,1,1
28,"1","F","Male",20,27,1,1,0
44,"0","F","Male",5,-1,0,1,0
41,"0","M","Male",1,68,1,0,1
23,"0","M","Female",1,228,0,1,0
27,"1","F","Male",4,137,0,1,1
28,"1","M","Male",1,8,0,0,1
20,"1","F","Male",1,211,0,0,1
26,"1","M","Female",1,230,0,0,0
57,"0","M","Female",1,204,0,1,1
36,"0","F","Male",0,38,1,1,0
35,"0","M","Male",31,98,1,1,1
49,"0","F","Male",1,13,0,0,0
41,"1","F","Male",5,275,0,1,0
19,"0","M","Male",0,112,0,1,1
29,"0","M","Male",1,73,1,0,1
30,"0","M","Male",0,2,1,1,0
22,"0","F","Male",17,208,0,0,1
36,"0","F","Male",1,9,0,0,1
48,"0","F","Female",2,40,1,0,0
50,"0","F","Male",5,11,0,1,1
42,"1","F","Male",3,6,0,0,0
26,"0","F","Male",3,1,1,0,1
32,"1","F","Male",3,363,0,1,0
35,"0","F","Male",1,89,1,0,1
39,"0","M","Male",2,58,0,1,0
51,"0","M","Male",0,16,0,1,1
52,"0","M","Male",3,35,0,1,1
68,"1","M","Male",0,-1,0,0,0
39,"1","M","Male",0,1,0,1,1
36,"0","M","Female",2,192,0,0,0
52,"0","F","Male",0,9,0,1,0
33,"1","M","Male",2,55,0,1,0
20,"1","F","Female",16,137,0,0,1
42,"0","M","Male",5,301,1,1,0
33,"0","F","Female",2,219,0,0,1
29,"1","F","Male",2,221,0,1,1
51,"0","F","Male",5,121,0,1,0
62,"1","M","Male",0,12,0,1,1
47,"0","M","Male",1,320,0,0,1
29,"0","M","Female",1,70,1,1,0
37,"1","M","Male",4,264,1,0,1
25,"1","M","Male",11,0,1,1,0
36,"0","M","Male",12,176,0,0,0
36,"1","F","Male",5,176,0,1,1
32,"0","M","Male",2,17,0,1,0
40,"0","F","Male",10,61,0,1,1
87,"1","F","Male",1,13,0,0,1
43,"0","F","Male",1,18,1,0,0
42,"0","M","Female",2,30,1,1,0
40,"0","F","Male",9,113,1,1,1
52,"0","F","Male",4,12,0,0,0
46,"0","M","Male",3,121,0,0,1
22,"1","F","Male",1,281,0,1,1
22,"1","F","Male",0,295,0,0,1
37,"0","F","Female",3,10,0,1,0
50,"1","M","Male",1,50,1,1,1
18,"1","F","Female",1,-1,0,0,1
25,"0","F","Female",0,130,1,0,1
52,"1","F","Male",1,299,0,0,1
31,"1","M","Male",6,182,1,0,0
31,"0","F","Female",1,149,0,0,0
41,"0","F","Male",4,76,1,0,0
30,"0","F","Male",5,38,0,0,0
30,"0","M","Male",0,16,0,1,1
53,"0","F","Male",1,130,1,1,0
35,"0","F","Male",1,7,1,1,0
38,"0","M","Male",0,10,1,1,1
51,"0","F","Male",1,10,1,1,1
59,"0","F","Female",8,295,1,1,0
29,"1","F","Female",11,227,1,1,0
35,"0","M","Male",3,4,0,1,1
46,"0","F","Male",3,37,0,1,1
65,"0","F","Male",2,11,1,0,0
27,"0","F","Male",4,254,0,1,0
53,"0","M","Male",0,21,0,0,0
39,"0","F","Male",5,475,0,0,1
47,"0","F","Male",2,24,1,1,1
32,"0","F","Male",7,104,0,1,1
46,"0","F","Female",3,58,0,1,1
27,"0","M","Male",16,40,1,0,0
33,"0","M","Female",3,31,1,1,1
29,"1","F","Female",2,354,0,0,1
44,"0","M","Female",1,50,0,0,1
40,"1","F","Male",4,6,1,0,0
47,"0","F","Male",3,297,1,0,1
43,"1","M","Male",3,67,0,1,1
57,"0","M","Female",0,0,0,0,1
