age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two
26,1,F,Male,11,4,False,1,0
27,1,F,Male,1,4,True,1,0
35,0,M,Male,1,-1,False,1,0
20,0,F,Male,0,-1,True,1,1
22,0,F,Male,0,1,False,0,0
61,1,F,Female,0,0,True,1,0
32,1,F,Female,9,3,True,1,0
25,0,F,Male,31,2,False,1,1
25,0,F,Female,9,2,False,0,1
28,1,F,Male,1,-2,True,1,0
26,0,F,Male,2,2,False,0,1
27,1,F,Male,10,-2,True,0,0
25,0,F,Male,11,4,False,0,0
32,1,F,Male,0,0,False,0,0
37,1,M,Male,0,-2,True,0,1
59,0,F,Male,0,3,True,1,0
23,0,F,Male,10,3,True,1,0
26,1,F,Female,1,40,True,1,0
53,1,M,Male,1,-3,False,1,0
23,0,F,Female,0,4,False,1,0
20,0,M,Male,0,1,False,1,0
27,1,M,Male,13,3,True,0,0
26,0,M,Male,1,3,False,1,1
21,0,F,Female,5,5,True,1,0
27,0,F,Male,1,4,True,1,0
30,0,F,Male,0,2,False,1,0
51,0,M,Female,0,-1,True,1,0
22,0,F,Male,2,-1,False,0,0
39,0,F,Male,0,2,True,1,0
41,0,F,Male,0,2,True,1,0
25,1,F,Male,0,26,True,1,1
22,0,F,Male,0,3,True,1,1
27,0,F,Male,2,-3,False,0,0
30,0,F,Male,1,19,False,1,0
47,0,M,Male,0,3,False,0,1
24,1,F,Male,2,30,True,0,0
20,0,M,Male,5,0,False,1,1
25,1,F,Male,2,4,False,1,0
43,0,F,Female,4,4,True,1,0
27,0,M,Female,0,0,False,1,0
22,0,F,Male,1,3,True,1,1
47,1,F,Male,1,-1,False,0,0
25,0,F,Male,0,-1,True,1,0
19,0,F,Male,1,4,False,1,1
20,0,M,Male,0,1,False,0,0
25,0,M,Male,0,0,False,1,0
41,1,F,Male,1,-2,True,0,1
22,1,M,Male,7,1,False,0,1
60,0,F,Male,3,0,False,0,0
29,0,F,Male,12,2,False,0,0
64,1,F,Male,4,249,True,1,1
32,0,F,Male,0,3,True,1,0
36,0,M,Male,0,5,True,0,1
39,0,M,Male,10,1,True,1,0
28,0,M,Male,3,3,True,1,0
25,1,F,Male,4,15,True,0,1
39,0,F,Male,0,0,True,1,1
27,1,F,Male,5,0,True,0,0
23,1,F,Male,1,3,True,0,0
17,0,M,Female,1,12,True,1,1
36,0,F,Male,1,0,True,1,0
33,1,M,Female,1,0,True,1,1
21,0,M,Female,0,-2,False,0,1
27,0,F,Male,0,0,False,0,0
62,1,F,Male,2,-2,True,1,0
18,1,F,Female,0,2,True,1,1
41,0,F,Male,1,-1,False,1,1
44,1,F,Male,3,3,True,1,1
21,0,F,Female,1,1,True,1,1
70,0,M,Female,1,4,False,1,0
24,0,M,Female,9,3,True,1,0
21,1,M,Male,2,53,False,1,1
22,1,F,Male,17,3,True,1,0
25,1,F,Male,1,3,False,1,0
41,0,F,Male,1,0,True,1,0
19,0,F,Female,0,-1,True,1,1
75,1,M,Male,8,2,True,1,0
36,1,M,Male,8,2,True,1,0
30,1,F,Male,3,2,True,1,0
24,0,M,Male,0,1,False,1,0
37,1,F,Male,1,-1,True,0,1
21,0,M,Male,0,0,False,0,0
20,0,M,Female,0,1,True,1,0
49,0,F,Male,0,2,True,1,0
33,1,F,Male,0,-2,True,1,0
48,0,M,Male,0,1,False,1,0
22,1,F,Male,0,11,True,1,1
30,1,F,Male,1,4,True,0,0
28,0,F,Female,5,2,False,0,0
38,0,M,Male,1,0,True,1,0
20,1,F,Female,4,-3,True,1,0
28,0,M,Male,0,1,False,1,0
28,0,M,Male,2,-2,True,1,0
30,0,F,Male,0,3,False,1,1
49,0,M,Female,5,-4,False,1,0
65,0,F,Male,0,-1,True,0,1
30,1,F,Female,1,58,True,0,0
23,0,F,Male,1,3,True,0,1
55,1,F,Male,1,3,True,0,1
20,0,F,Male,1,3,True,1,1
37,0,M,Female,3,10,False,1,0
22,1,F,Male,2,2,True,1,1
32,1,F,Male,0,3,True,0,0
23,1,F,Male,0,2,True,0,0
43,0,M,Male,0,32,False,1,0
39,0,M,Male,1,2,True,0,0
57,1,F,Male,4,0,False,1,1
19,0,F,Male,0,3,True,1,1
63,1,F,Male,1,1,True,1,0
28,0,F,Male,2,1,True,0,0
18,0,F,Male,10,-1,True,1,0
25,0,M,Male,1,3,False,1,0
37,1,F,Male,2,3,True,0,0
25,0,M,Female,0,1,False,1,0
25,1,F,Female,21,0,False,0,1
45,0,M,Female,1,4,False,1,0
71,1,M,Male,8,-2,False,0,0
21,1,F,Male,14,2,True,0,0
24,1,M,Male,2,1,True,0,0
22,1,F,Female,0,4,True,0,0
23,0,F,Female,1,0,True,1,0
55,1,F,Male,13,110,True,0,1
44,0,F,Female,0,1,True,1,1
26,0,F,Male,1,50,False,1,0
24,0,F,Female,0,0,True,0,1
24,1,F,Male,1,5,True,1,0
56,1,F,Male,1,7,True,0,0
50,0,M,Male,0,0,False,1,0
29,0,M,Male,3,4,False,0,0
25,1,M,Male,1,4,True,0,0
21,0,F,Male,0,2,True,1,1
28,1,F,Male,1,0,True,1,1
28,0,M,Male,0,4,True,1,1
53,0,F,Male,0,4,True,0,1
36,1,F,Male,8,-1,True,1,0
20,1,M,Male,1,-2,True,1,1
46,0,F,Male,0,3,True,0,0
30,1,F,Male,0,5,True,0,0
30,0,M,Male,10,4,False,1,0
17,0,M,Male,1,-1,True,1,1
24,1,F,Male,1,-1,True,1,0
23,0,F,Male,1,1,True,1,1
22,1,M,Male,1,0,True,0,1
45,1,F,Male,10,26,True,0,0
25,0,F,Male,1,-2,True,1,1
25,0,M,Male,1,4,True,1,1
33,1,M,Female,0,3,True,1,1
23,1,F,Male,1,3,True,1,0
18,0,F,Male,1,0,False,1,0
21,0,F,Male,2,3,True,1,0
16,1,F,Male,1,2,False,1,1
66,0,M,Male,1,2,True,1,0
19,1,F,Male,1,4,True,0,1
22,1,F,Male,0,-1,True,1,1
22,1,F,Male,1,3,True,0,0
41,0,F,Male,0,2,False,0,0
56,1,F,Male,0,4,True,0,0
28,1,F,Male,1,3,True,1,0
25,1,F,Female,0,-2,True,1,0
24,0,F,Male,1,4,True,0,0
18,0,F,Male,4,0,False,1,0
28,0,F,Male,4,-1,False,1,0
35,0,M,Male,5,3,False,1,0
41,0,M,Male,1,0,False,1,1
28,0,M,Female,0,3,False,1,0
28,0,M,Male,2,5,False,1,0
23,0,M,Male,2,3,False,0,0
29,0,F,Male,1,-2,False,1,1
21,0,F,Male,10,-3,False,1,0
65,0,M,Male,1,-2,True,1,0
27,0,F,Male,0,1,True,0,0
24,0,F,Male,0,-1,True,1,0
23,1,F,Male,0,3,False,1,0
20,0,M,Female,13,0,False,1,0
35,0,F,Male,8,63,True,1,1
39,1,F,Male,10,4,True,0,0
40,1,F,Male,5,3,True,0,1
22,0,F,Male,1,0,False,1,0
29,0,F,Male,35,13,False,1,0
21,0,F,Male,0,2,True,0,0
39,0,M,Male,4,0,False,1,0
21,1,F,Male,9,4,True,1,1
60,0,M,Male,0,1,False,1,0
42,1,F,Male,1,1,True,1,0
23,0,F,Female,1,4,False,0,0
33,0,M,Female,0,2,False,1,0
32,0,F,Male,1,2,True,1,1
33,0,M,Female,0,1,True,1,0
23,1,F,Male,10,-2,True,0,0
34,0,F,Male,13,-3,False,1,0
31,0,M,Male,1,2,False,1,1
21,1,F,Male,1,-1,True,1,1
37,0,M,Male,2,-2,True,1,0
45,0,F,Female,4,4,True,0,0
41,1,F,Male,2,3,True,0,1
29,1,F,Male,1,2,True,1,0
43,0,M,Male,0,-2,False,1,0
37,1,F,Male,1,3,True,0,0
27,0,F,Female,2,-1,False,1,0
30,1,F,Male,11,5,False,1,0
20,1,F,Female,1,4,False,0,1
67,0,M,Male,0,1,True,1,1
68,0,F,Male,7,-1,True,1,0
68,0,F,Male,0,136,False,0,0
27,0,F,Male,0,2,False,0,1
25,1,F,Male,1,5,False,0,0
24,1,F,Male,0,15,True,1,0
31,1,F,Male,9,1,True,1,0
20,0,F,Male,5,0,False,0,0
59,0,F,Male,5,1,True,1,0
23,0,F,Male,0,2,True,0,0
29,1,F,Male,7,4,True,1,1
38,1,F,Male,26,3,True,1,1
