"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
52,"1","M","Male",0,6,1,1,1
69,"0","M","Male",0,1,1,1,0
50,"0","F","Male",2,35,1,0,1
27,"1","M","Male",15,129,1,0,1
36,"0","M","Male",6,293,0,0,0
31,"0","F","Male",0,112,1,1,0
43,"1","F","Male",4,98,0,1,0
31,"1","M","Female",1,177,1,1,0
55,"0","F","Male",0,8,0,0,0
31,"0","M","Male",9,169,1,1,1
45,"1","F","Male",0,16,1,0,0
71,"0","F","Male",5,-1,0,0,1
31,"0","F","Male",1,30,0,1,1
48,"0","M","Male",2,92,1,0,0
83,"1","F","Male",3,105,0,1,0
43,"0","F","Male",1,6,1,1,1
54,"0","F","Male",2,-1,0,1,0
31,"1","M","Male",5,19,0,1,1
39,"0","F","Male",3,33,0,1,1
23,"0","M","Male",1,102,1,1,0
28,"0","M","Female",1,127,1,1,0
21,"0","F","Male",3,85,0,1,1
25,"1","M","Male",7,4,1,1,0
33,"0","F","Male",0,102,1,1,0
62,"1","M","Male",1,55,0,0,0
34,"0","F","Male",2,416,1,0,1
44,"0","F","Female",9,8,0,1,0
48,"0","F","Male",1,17,1,0,0
60,"0","F","Female",5,60,1,1,1
51,"1","F","Male",1,212,0,0,1
23,"0","F","Female",2,35,1,0,1
54,"1","M","Male",2,0,0,0,0
41,"0","F","Male",0,0,0,0,0
20,"1","F","Male",4,89,0,1,1
46,"1","F","Male",8,102,0,0,0
22,"0","M","Male",0,275,0,1,1
50,"0","M","Male",2,1,1,1,1
53,"0","F","Female",2,334,1,0,0
59,"1","F","Male",6,10,0,0,0
23,"0","M","Female",0,75,0,1,0
53,"0","F","Male",0,19,1,1,0
52,"0","M","Male",2,111,1,0,0
51,"0","M","Male",1,16,0,1,1
62,"0","F","Male",4,12,1,1,0
43,"0","M","Male",2,186,0,1,0
71,"0","M","Male",0,4,0,1,0
23,"0","F","Female",0,116,0,0,0
34,"0","M","Female",5,101,1,1,1
27,"1","M","Male",6,19,1,0,1
28,"1","M","Male",0,2,0,1,1
59,"0","F","Female",15,29,1,1,1
56,"0","M","Male",4,7,0,0,0
57,"1","F","Male",1,24,0,1,1
62,"0","M","Male",0,1,0,1,1
31,"1","F","Female",3,134,1,0,0
46,"1","M","Male",2,49,0,1,0
52,"0","F","Male",2,11,0,1,0
43,"0","F","Male",4,1,1,0,0
47,"0","F","Male",2,196,1,0,1
63,"0","M","Female",2,85,0,1,0
35,"0","F","Male",2,230,0,0,1
29,"0","F","Male",1,116,1,1,1
36,"0","F","Female",2,361,0,0,0
27,"0","M","Male",2,290,0,1,1
35,"0","F","Male",0,6,0,1,0
27,"1","M","Male",0,81,0,0,1
22,"0","F","Male",7,301,0,0,1
52,"0","M","Female",1,25,0,1,1
24,"0","M","Male",8,9,0,1,0
36,"0","F","Male",5,98,1,0,0
36,"0","F","Male",2,355,0,1,0
21,"1","M","Female",1,227,0,0,0
57,"0","F","Female",4,227,1,0,1
34,"0","F","Male",11,177,0,1,1
33,"1","M","Female",0,104,0,1,1
24,"1","F","Female",2,10,0,0,1
62,"0","F","Male",1,62,0,1,1
26,"1","F","Male",0,31,0,0,1
44,"0","F","Female",3,39,0,1,1
24,"0","M","Male",1,156,1,0,1
43,"0","M","Female",1,146,0,0,0
63,"0","F","Male",11,20,0,1,1
34,"0","F","Male",3,8,0,1,0
39,"0","F","Male",3,108,1,0,0
38,"1","F","Female",4,116,0,1,1
22,"0","M","Male",2,195,0,0,1
31,"1","M","Male",0,52,0,1,0
38,"1","M","Male",2,3,0,1,1
26,"1","F","Male",0,31,0,1,1
59,"0","M","Female",1,4,0,1,1
36,"0","M","Male",2,12,1,0,1
18,"1","F","Male",22,26,1,1,0
41,"0","F","Male",1,11,0,0,1
47,"0","M","Male",1,154,0,0,1
48,"0","F","Male",4,49,0,1,0
31,"1","F","Male",4,129,0,1,0
26,"1","F","Female",7,248,1,0,0
33,"0","M","Male",1,160,1,1,0
33,"1","F","Male",0,111,0,0,1
42,"0","M","Male",3,121,0,1,0
