"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
21,"0","F","Male",2,0,0,0,1
34,"0","F","Female",0,14,0,0,1
27,"0","F","Female",4,119,0,1,1
31,"1","F","Male",10,243,1,0,1
20,"1","F","Male",0,1,1,1,0
51,"0","F","Male",2,3,0,0,1
34,"1","M","Male",13,2,1,0,1
33,"0","F","Female",0,0,0,0,1
56,"1","F","Male",9,33,0,0,1
20,"0","M","Male",1,1,0,0,1
22,"1","M","Female",3,2,0,0,1
34,"0","M","Male",2,0,0,0,1
41,"0","F","Male",1,0,0,1,1
28,"0","M","Male",0,0,1,1,1
23,"1","F","Male",2,1,1,1,1
26,"1","F","Female",4,6,1,1,1
39,"0","F","Male",8,40,1,0,0
57,"0","M","Male",9,0,1,0,1
37,"1","M","Female",0,0,0,1,0
22,"1","F","Male",2,1,1,1,1
22,"0","M","Female",0,1,0,0,1
27,"1","F","Male",4,1,1,1,0
27,"0","F","Male",2,0,1,0,0
30,"1","F","Male",3,64,0,0,0
30,"0","F","Female",2,1,1,0,1
64,"1","M","Male",7,1,1,1,0
53,"0","M","Male",0,2,0,1,1
57,"0","F","Female",0,1,0,0,0
23,"0","M","Male",2,32,0,1,0
26,"0","F","Male",2,1,0,1,0
27,"0","M","Male",2,1,0,1,0
30,"0","F","Male",0,0,0,1,1
22,"1","M","Male",2,1,1,0,0
22,"1","M","Female",0,1,0,0,0
46,"0","F","Male",0,0,0,0,0
63,"1","F","Male",27,31,1,0,1
22,"1","M","Male",0,4,0,1,1
37,"0","F","Male",3,0,0,1,0
22,"1","M","Male",2,244,0,1,1
48,"0","M","Female",4,2,1,0,1
43,"1","M","Male",15,0,1,1,0
33,"0","F","Female",0,24,0,0,1
21,"1","M","Male",0,0,0,0,0
31,"1","M","Male",9,4,0,0,0
24,"1","F","Male",2,7,0,0,0
29,"1","F","Male",7,6,1,1,0
37,"1","M","Male",3,0,0,0,1
27,"1","M","Male",0,2,0,0,0
30,"1","M","Male",3,62,1,1,1
25,"0","M","Male",0,1,1,1,1
27,"0","F","Male",0,1,1,1,0
61,"0","F","Male",22,1,1,0,0
21,"1","F","Male",3,1,0,0,1
64,"1","F","Male",8,16,1,0,0
38,"0","M","Male",0,1,1,1,1
39,"0","M","Male",0,-1,0,1,1
30,"1","M","Male",3,1,0,0,1
22,"1","F","Male",1,15,1,1,0
32,"0","F","Female",1,45,1,1,1
50,"0","M","Male",1,0,0,0,0
30,"0","F","Male",1,0,1,1,0
62,"1","F","Male",8,0,1,0,0
29,"1","F","Female",1,0,0,0,0
23,"0","F","Male",1,1,1,0,1
47,"0","M","Male",14,4,1,0,1
21,"0","F","Male",1,4,1,0,0
34,"0","F","Male",0,0,0,0,1
23,"1","F","Male",2,36,0,0,0
51,"0","F","Male",2,1,1,0,0
42,"0","F","Female",0,0,1,1,0
32,"1","F","Male",0,2,1,1,0
34,"0","F","Male",2,16,1,0,1
28,"1","M","Female",9,12,1,1,0
26,"1","F","Male",3,3,1,1,1
21,"1","M","Female",0,1,0,0,0
20,"1","M","Male",1,1,0,1,0
30,"1","F","Male",10,0,1,0,1
26,"0","F","Male",1,0,0,1,0
34,"0","F","Male",0,1,1,1,1
49,"1","M","Male",9,1,1,0,0
26,"1","M","Female",2,0,0,1,1
38,"0","M","Male",7,1,1,1,1
27,"1","F","Male",0,0,0,1,0
30,"1","F","Female",10,1,0,1,1
24,"0","M","Female",1,1,0,0,0
39,"0","F","Male",3,0,1,1,1
50,"1","F","Male",25,20,1,1,0
22,"0","F","Male",1,1,0,1,0
51,"0","M","Male",0,0,1,1,1
37,"1","M","Male",3,3,0,1,1
51,"0","F","Male",3,1,1,0,0
45,"0","M","Male",2,1,0,0,0
21,"0","F","Male",0,2,1,1,0
22,"0","F","Male",0,53,1,1,0
54,"0","M","Male",0,0,1,1,1
27,"1","F","Male",7,0,1,0,0
65,"0","F","Male",1,6,0,1,0
26,"1","M","Male",1,1,1,0,0
33,"0","F","Male",0,40,1,1,0
33,"0","M","Female",0,0,0,1,0
