"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
51,"1","M","Male",1,7,0,0,0
21,"0","F","Female",2,12,0,0,1
29,"1","F","Male",0,1,0,0,1
76,"0","M","Male",0,2,0,0,1
28,"1","F","Male",7,6,1,0,1
24,"1","F","Female",7,19,0,1,0
32,"0","M","Female",0,6,1,0,0
34,"1","F","Male",11,3,1,0,1
25,"1","M","Male",0,3,1,1,1
43,"1","F","Female",0,0,0,0,0
24,"1","F","Male",13,82,1,1,1
20,"1","F","Male",0,4,1,0,1
31,"0","M","Female",0,2,1,1,0
29,"0","M","Male",0,0,1,0,0
35,"0","M","Female",0,1,1,0,0
24,"1","M","Male",9,8,0,1,0
42,"1","M","Male",0,1,0,0,1
30,"1","F","Male",9,50,1,1,0
39,"1","F","Male",8,470,1,1,1
44,"0","M","Female",1,1,0,1,1
29,"0","F","Male",0,0,0,0,0
27,"0","F","Male",0,0,0,1,1
24,"1","F","Male",13,36,1,0,1
20,"1","F","Male",0,1,0,0,1
59,"1","F","Male",7,2,0,1,0
25,"1","F","Male",0,-1,1,0,1
40,"0","F","Male",0,0,0,0,0
36,"0","M","Female",0,0,1,0,0
63,"0","F","Male",0,0,1,1,0
54,"0","F","Male",0,1,1,0,0
41,"1","F","Male",18,33,1,0,0
30,"0","F","Female",1,0,0,0,0
44,"0","F","Female",2,1,1,1,1
58,"0","F","Female",0,9,0,0,0
30,"1","F","Male",1,38,0,1,1
31,"0","F","Male",0,1,1,0,0
34,"1","F","Female",12,9,0,0,1
72,"0","F","Female",0,1,0,1,0
22,"1","M","Male",1,0,1,0,1
34,"0","M","Male",0,1,0,1,0
30,"1","F","Male",11,117,1,0,1
31,"0","F","Male",0,0,0,0,0
28,"0","M","Male",0,2,0,0,1
37,"0","F","Female",0,9,1,1,1
52,"0","F","Male",3,0,0,1,1
26,"1","M","Female",0,0,1,1,1
31,"1","F","Male",6,1,0,0,1
38,"1","F","Female",3,0,1,1,1
31,"0","M","Male",0,0,0,1,0
32,"1","M","Female",0,4,0,0,0
31,"0","F","Male",0,0,1,1,0
21,"1","F","Female",0,1,1,1,1
43,"0","F","Male",0,-1,0,0,1
61,"0","M","Female",0,0,0,0,1
29,"0","F","Male",0,0,0,0,0
28,"1","F","Male",9,9,1,0,0
38,"0","M","Male",0,0,0,1,0
21,"1","F","Male",0,3,1,0,0
24,"1","F","Male",3,6,0,0,1
47,"1","M","Male",1,15,0,0,0
50,"1","F","Male",13,23,1,0,1
40,"1","F","Male",8,1,1,1,0
28,"1","F","Male",11,0,1,0,1
35,"0","F","Male",15,48,0,1,1
29,"1","F","Female",7,1,0,0,1
20,"0","F","Male",1,2,1,1,1
21,"1","F","Male",1,36,0,0,1
39,"0","M","Female",0,2,0,0,1
33,"1","F","Female",0,7,1,1,1
22,"0","F","Male",1,1,1,1,0
27,"1","M","Male",0,0,0,1,1
51,"0","F","Female",5,41,0,1,0
52,"0","M","Male",0,0,0,1,0
44,"0","M","Male",0,2,1,0,1
28,"1","M","Male",0,2,0,0,0
46,"0","F","Female",0,1,0,1,0
60,"0","F","Male",0,0,0,0,1
25,"0","M","Male",0,0,1,1,1
21,"1","F","Male",0,0,0,1,0
25,"1","M","Male",0,5,1,1,0
61,"0","F","Male",1,3,0,0,0
22,"0","F","Male",0,1,0,1,1
30,"1","M","Male",11,1,1,0,1
48,"1","F","Female",10,-1,0,0,0
34,"0","M","Male",0,0,1,0,0
58,"1","M","Male",0,9,1,1,1
28,"0","F","Male",0,0,1,0,0
66,"0","M","Female",2,0,0,0,0
46,"0","F","Male",6,0,1,0,1
25,"1","F","Male",6,8,0,1,0
63,"0","F","Male",3,0,1,0,0
35,"0","M","Female",3,22,0,0,1
21,"1","F","Female",4,1,1,1,1
28,"1","M","Male",8,1,1,0,0
36,"0","F","Male",3,0,0,0,0
25,"1","M","Male",8,0,1,0,1
36,"1","F","Male",15,173,1,0,1
47,"1","M","Male",14,122,1,1,1
21,"0","M","Male",1,1,1,1,0
26,"0","F","Male",3,1,1,0,0
