Gender,ForeignWorker,Single,Age,LoanDuration,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,JobClassIsSkilled,CheckingAccountBalance,SavingsAccountBalance,YearsAtCurrentJob
1,1,1,38,14,2849,4,4,2,1,1,1,1,1,1,0,1,0,0,0,0,1,lt_0,geq_500,geq_1_lt_4
0,0,0,42,13,1364,4,4,2,1,0,1,0,1,0,0,1,0,0,1,0,0,lt_0,lt_100,geq_4
1,0,1,41,24,2159,4,3,2,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,0,39,23,2485,3,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_500,geq_1_lt_4
1,0,1,38,56,14963,3,4,1,1,1,1,0,0,0,0,0,0,0,1,1,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,1,25,32,1737,2,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,lt_1
0,0,0,33,34,7931,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,geq_4
1,0,1,64,31,2959,3,4,1,2,1,1,0,1,0,0,0,0,1,0,1,1,lt_0,lt_100,geq_4
1,0,1,48,18,1439,4,4,1,1,1,1,0,0,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,59,13,1250,1,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_200,geq_100_lt_500,geq_4
1,0,1,25,55,6882,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,lt_0,geq_100_lt_500,geq_4
1,0,1,70,16,1788,4,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,geq_100_lt_500,geq_4
1,0,0,26,35,5307,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,31,12,3209,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_0_lt_200,lt_100,lt_1
0,0,0,37,26,8517,4,3,2,1,1,1,0,1,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,39,26,3992,3,4,1,2,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,geq_500,geq_4
0,0,0,24,54,9974,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,geq_0_lt_200,lt_100,lt_1
0,0,0,25,35,2322,4,1,2,1,0,1,0,0,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,0,23,19,9892,3,4,1,1,0,1,0,0,0,0,0,0,0,1,1,1,geq_0_lt_200,lt_100,geq_4
1,0,0,55,12,731,3,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_200,geq_500,geq_4
0,0,0,25,16,2528,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,geq_0_lt_200,geq_500,lt_1
0,0,0,35,20,2882,4,4,2,1,0,1,0,1,0,0,0,0,0,1,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,35,14,1705,4,2,2,2,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,51,17,2312,4,1,2,1,1,1,0,1,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,27,18,1684,1,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,27,14,3401,1,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_200,lt_100,geq_1_lt_4
1,0,1,59,36,6873,3,3,2,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
1,0,1,28,15,1859,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,0,29,16,3599,3,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,geq_0_lt_200,lt_100,geq_4
1,0,1,48,14,998,4,4,2,1,0,1,0,1,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,47,14,937,1,3,1,1,1,1,0,0,0,0,0,0,1,0,1,1,geq_0_lt_200,lt_100,lt_1
1,0,1,23,19,5479,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,22,18,3575,2,3,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_1_lt_4
0,0,0,34,16,1596,4,4,2,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,22,17,2141,3,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,lt_1
1,0,1,53,24,7526,2,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,56,20,1962,3,4,2,2,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
0,0,0,27,24,1372,4,1,2,1,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
