Gender,ForeignWorker,Single,Age,LoanDuration,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,JobClassIsSkilled,CheckingAccountBalance,SavingsAccountBalance,YearsAtCurrentJob
0,0,0,24,24,4946,2,3,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,52,25,3904,3,4,2,1,1,1,0,0,1,0,0,0,1,0,0,1,geq_200,lt_100,geq_4
1,1,0,44,12,3855,4,2,2,1,1,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_4
1,0,1,44,18,1711,4,2,2,1,0,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,40,11,1598,4,2,1,1,1,1,0,0,0,0,0,1,1,0,0,1,lt_0,lt_100,geq_4
0,0,0,23,35,4234,3,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_4
0,1,0,37,9,3124,4,3,2,1,0,1,0,0,0,0,0,0,1,0,0,0,geq_0_lt_200,lt_100,geq_4
1,0,1,50,23,5898,3,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,34,11,2918,4,3,2,2,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
1,0,1,43,15,8314,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,geq_0_lt_200,geq_100_lt_500,lt_1
1,0,1,36,55,10621,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,33,43,1977,1,1,2,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,34,35,2264,4,2,2,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,0,56,25,11195,2,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
0,0,0,21,37,3330,1,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,lt_1
0,0,0,62,14,1512,1,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_4
1,0,1,31,41,2370,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
0,0,0,40,15,3381,3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,geq_4
1,0,1,48,12,1587,4,4,3,2,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,geq_1_lt_4
0,0,1,28,25,2495,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,geq_500,geq_1_lt_4
1,0,1,65,13,3572,4,3,2,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
0,0,0,38,12,1350,4,3,2,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_1_lt_4
0,0,0,22,24,422,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,geq_500,geq_4
1,0,0,68,32,1461,4,3,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,41,46,13721,2,3,2,1,1,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,51,23,7262,3,4,1,1,1,1,0,0,0,0,0,0,1,0,1,0,lt_0,lt_100,geq_1_lt_4
1,0,0,62,10,3013,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,40,54,13657,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,28,52,5674,1,1,2,1,0,1,0,0,1,0,0,1,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,42,12,2037,4,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
0,0,0,44,38,17170,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,39,15,1900,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_4
1,0,0,49,51,11687,3,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,31,24,11106,2,3,2,1,1,1,0,1,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,49,54,15097,3,2,1,2,1,1,1,0,1,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,51,52,1871,4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
0,0,0,37,48,3118,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,54,32,904,4,4,1,1,1,1,0,1,0,0,0,0,1,0,0,0,lt_0,geq_500,geq_4
1,0,1,45,59,15944,2,4,2,2,1,1,1,0,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,28,25,2655,4,4,1,1,0,1,1,0,0,0,0,0,1,0,0,1,lt_0,lt_100,lt_1
1,0,1,74,13,2976,3,4,3,1,1,1,1,1,0,0,0,0,0,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,39,15,3141,4,4,2,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,0,51,54,2540,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,lt_1
1,0,1,23,31,2254,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,lt_0,lt_100,geq_1_lt_4
1,0,0,44,16,2884,3,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_200,lt_100,geq_1_lt_4
1,1,1,59,10,1455,4,2,2,1,0,1,0,1,0,0,0,0,0,0,0,1,lt_0,geq_100_lt_500,geq_4
0,0,0,21,21,5255,2,4,1,1,0,1,0,0,0,0,0,1,0,1,0,1,lt_0,lt_100,lt_1
0,0,0,25,23,1282,4,4,2,1,0,1,0,0,0,0,0,0,0,1,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,33,16,1535,4,4,2,1,0,1,0,1,0,0,0,0,1,0,1,1,geq_0_lt_200,geq_500,geq_1_lt_4
1,0,1,41,17,8174,4,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
1,0,1,36,33,9116,2,4,2,1,0,1,0,1,1,0,0,0,1,0,0,1,geq_0_lt_200,geq_100_lt_500,geq_4
1,0,1,37,23,1695,2,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,1,43,18,1723,2,4,1,2,1,1,1,0,1,0,0,0,1,0,1,0,geq_0_lt_200,lt_100,geq_4
1,0,1,56,15,3241,4,3,3,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
0,0,0,25,15,1752,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,30,49,2952,4,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,74,15,3711,4,3,2,1,1,1,0,1,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_4
1,0,1,35,30,2608,4,3,1,1,1,1,0,0,0,0,0,1,1,0,0,1,geq_0_lt_200,lt_100,geq_4
1,0,1,45,54,13159,3,3,2,1,1,1,0,0,1,0,0,0,0,1,1,1,geq_0_lt_200,lt_100,geq_1_lt_4
0,0,0,58,12,2166,3,4,1,1,1,1,1,0,1,0,0,0,0,1,1,1,geq_0_lt_200,lt_100,lt_1
0,0,0,25,12,1195,2,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,geq_200,lt_100,geq_4
1,0,1,31,6,2477,3,2,1,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_200,lt_100,geq_4
0,0,0,27,13,9554,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,lt_0,lt_100,geq_4
0,0,0,35,42,5383,2,3,1,1,1,1,0,0,0,0,0,0,1,0,0,1,geq_0_lt_200,geq_500,geq_4
1,0,1,68,13,1213,4,4,2,1,0,1,0,0,0,0,0,0,1,0,0,1,lt_0,lt_100,geq_1_lt_4
1,0,1,29,25,1825,4,4,2,1,1,1,0,1,0,0,0,0,0,1,0,1,geq_0_lt_200,geq_500,geq_4
1,0,0,33,24,11919,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,geq_0_lt_200,lt_100,geq_1_lt_4
1,0,0,57,32,2547,4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,lt_0,lt_100,geq_1_lt_4
0,0,0,49,14,1979,4,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,geq_200,geq_500,geq_1_lt_4
1,1,1,64,17,1583,3,4,3,2,1,1,0,1,0,0,0,0,0,1,0,0,geq_200,lt_100,lt_1
0,0,1,28,12,1446,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,geq_200,geq_500,geq_4
