"Gender","ForeignWorker","Single","Age","LoanDuration","LoanAmount","LoanRateAsPercentOfIncome","YearsAtCurrentHome","NumberOfOtherLoansAtBank","NumberOfLiableIndividuals","HasTelephone","MissedPayments","NoCurrentLoan","CriticalAccountOrLoansElsewhere","OtherLoansAtBank","OtherLoansAtStore","HasCoapplicant","HasGuarantor","OwnsHouse","RentsHouse","Unemployed","JobClassIsSkilled","CheckingAccountBalance","SavingsAccountBalance","YearsAtCurrentJob"
"1","0","1",49,6,826,2,3,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",28,22,1473,4,2,2,1,"0","1","0","0","0","0","0","0","0","1","0","1","lt_0","lt_100","lt_1"
"1","0","0",37,4,3265,3,3,1,1,"1","1","0","1","0","0","0","0","1","0","0","1","geq_0_lt_200","geq_500","geq_4"
"1","0","0",30,5,1605,1,2,2,1,"0","1","0","1","0","0","0","0","0","1","0","1","lt_0","geq_100_lt_500","geq_4"
"1","0","1",42,19,2375,4,2,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","0","1",27,55,4819,1,2,2,1,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",51,9,3224,2,4,1,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","0",40,39,2316,4,2,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","0",40,32,1186,4,3,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","0","0",23,12,781,3,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","1",35,12,1506,4,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","geq_0_lt_200","lt_100","geq_4"
"1","0","1",40,36,1764,3,4,2,1,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",28,8,794,4,2,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_4"
"1","0","1",36,63,5303,3,3,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","geq_200","lt_100","geq_4"
"0","0","0",47,39,2921,2,3,2,1,"0","1","0","1","0","0","0","0","1","0","0","0","lt_0","geq_500","geq_1_lt_4"
"1","0","1",19,20,1588,4,2,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",29,21,4935,4,4,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","0",42,24,5802,3,3,2,1,"1","1","0","1","0","0","0","0","0","0","0","0","lt_0","lt_100","lt_1"
"1","0","1",24,37,3855,4,4,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_1_lt_4"
"1","0","1",32,22,4474,3,3,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","geq_500","geq_1_lt_4"
"0","0","0",24,41,286,1,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",36,25,3918,4,3,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","0",61,19,539,4,2,2,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_1_lt_4"
"0","0","0",35,15,2971,1,3,1,1,"0","1","0","0","0","0","0","0","0","1","0","1","lt_0","lt_100","lt_1"
"0","0","0",38,32,5741,3,4,3,1,"1","1","0","1","0","0","0","0","0","1","0","1","lt_0","lt_100","geq_4"
"1","0","1",38,4,2644,1,2,1,2,"0","1","0","0","0","0","0","0","1","0","0","0","geq_200","lt_100","lt_1"
"1","0","1",33,25,3115,3,2,1,1,"1","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_1_lt_4"
"1","0","1",35,8,1275,1,2,2,1,"0","1","0","1","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_4"
"0","0","0",71,15,2670,3,1,2,2,"0","0","0","0","0","0","0","1","0","1","0","1","lt_0","lt_100","lt_1"
"1","0","1",28,36,16998,2,1,2,1,"0","0","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
"1","0","1",38,34,10835,1,2,2,2,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_1_lt_4"
"1","1","1",36,13,3974,3,2,2,1,"0","1","0","0","0","0","1","0","1","1","0","0","lt_0","lt_100","geq_4"
