"Gender","ForeignWorker","Single","Age","LoanDuration","LoanAmount","LoanRateAsPercentOfIncome","YearsAtCurrentHome","NumberOfOtherLoansAtBank","NumberOfLiableIndividuals","HasTelephone","MissedPayments","NoCurrentLoan","CriticalAccountOrLoansElsewhere","OtherLoansAtBank","OtherLoansAtStore","HasCoapplicant","HasGuarantor","OwnsHouse","RentsHouse","Unemployed","JobClassIsSkilled","CheckingAccountBalance","SavingsAccountBalance","YearsAtCurrentJob"
"1","0","1",37,24,1495,4,1,2,2,"0","1","0","1","1","0","0","0","1","0","0","0","geq_200","lt_100","geq_4"
"1","0","1",54,6,8864,4,3,2,2,"1","1","0","1","0","0","0","0","0","1","0","0","geq_200","lt_100","geq_4"
"1","0","0",21,16,1283,4,4,1,1,"0","1","0","0","0","0","0","0","0","1","0","1","lt_0","lt_100","geq_4"
"0","0","0",24,36,9271,2,1,2,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",25,9,2052,4,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","lt_1"
"1","0","1",36,36,3344,2,4,2,1,"1","1","0","1","0","0","1","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",36,24,1358,4,3,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",24,21,3961,2,2,1,2,"1","1","0","0","0","0","0","0","0","0","0","1","geq_200","lt_100","geq_4"
"1","0","1",39,12,3226,3,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",27,60,9157,2,2,1,1,"0","0","0","0","0","0","0","0","0","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","0","1",60,12,709,4,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_4"
"1","0","1",32,36,5151,2,3,1,1,"0","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",22,6,276,2,4,1,1,"0","1","0","0","0","0","0","0","0","0","0","0","lt_0","lt_100","geq_4"
"1","0","1",29,18,1149,4,2,1,1,"1","1","0","0","0","0","0","1","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","0",20,27,10729,2,3,2,1,"1","1","0","0","0","0","0","0","0","1","0","1","lt_0","lt_100","lt_1"
"1","0","1",36,48,1940,3,4,1,1,"1","1","1","0","1","0","1","0","0","0","1","1","geq_0_lt_200","lt_100","lt_1"
"1","0","0",25,48,1845,2,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"1","1","1",24,8,2238,4,2,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","0",28,15,4783,1,4,3,1,"1","1","0","0","1","0","0","0","1","0","0","1","lt_0","geq_100_lt_500","geq_1_lt_4"
"1","0","1",23,18,2520,4,1,1,1,"0","0","0","0","0","0","0","0","1","0","0","0","lt_0","geq_500","geq_1_lt_4"
"1","0","1",35,54,9436,2,3,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",52,9,2910,3,2,1,2,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_100_lt_500","geq_4"
"0","0","0",37,11,1287,1,2,2,2,"0","1","0","1","0","0","0","0","0","0","0","0","lt_0","lt_100","geq_1_lt_4"
"1","0","1",26,17,1324,4,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","geq_0_lt_200","lt_100","lt_1"
"0","0","0",33,12,4506,4,1,1,1,"1","1","0","0","1","0","0","0","1","0","0","1","geq_200","lt_100","lt_1"
"1","0","1",32,48,3651,1,4,1,2,"1","1","0","0","1","0","0","0","0","0","0","0","lt_0","lt_100","geq_1_lt_4"
"1","0","1",39,10,6742,4,4,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_4"
"0","0","0",31,6,1577,1,1,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","geq_200","lt_100","geq_1_lt_4"
"1","0","1",45,45,3051,4,4,1,1,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_4"
"0","0","0",27,18,1068,2,2,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","1","1",28,12,1768,4,2,2,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","lt_1"
"1","0","1",30,12,2035,4,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
