"Gender","ForeignWorker","Single","Age","LoanDuration","LoanAmount","LoanRateAsPercentOfIncome","YearsAtCurrentHome","NumberOfOtherLoansAtBank","NumberOfLiableIndividuals","HasTelephone","MissedPayments","NoCurrentLoan","CriticalAccountOrLoansElsewhere","OtherLoansAtBank","OtherLoansAtStore","HasCoapplicant","HasGuarantor","OwnsHouse","RentsHouse","Unemployed","JobClassIsSkilled","CheckingAccountBalance","SavingsAccountBalance","YearsAtCurrentJob"
"1","0","0",47,28,1525,4,4,3,2,"1","1","0","0","0","0","0","0","1","0","0","1","geq_0_lt_200","lt_100","geq_4"
"1","0","1",27,48,16628,1,2,2,1,"1","1","0","0","1","0","0","0","1","0","0","1","geq_0_lt_200","geq_500","geq_1_lt_4"
"1","0","1",37,12,2515,4,2,1,1,"1","1","0","0","0","0","0","0","1","0","0","0","geq_0_lt_200","lt_100","geq_1_lt_4"
"0","0","0",33,12,1474,4,1,1,1,"1","1","0","0","1","0","0","0","0","0","0","1","geq_200","lt_100","lt_1"
"0","0","0",23,11,448,4,4,1,1,"0","1","0","0","0","0","0","0","1","0","0","1","lt_0","geq_100_lt_500","lt_1"
"1","0","1",26,12,4125,4,2,1,1,"0","1","0","0","0","0","0","0","0","0","0","1","geq_200","lt_100","geq_1_lt_4"
"0","1","0",26,15,1458,2,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","geq_500","lt_1"
"1","0","0",30,10,2322,2,1,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","geq_500","geq_1_lt_4"
"1","0","1",41,6,1919,1,4,2,2,"0","1","0","1","0","0","0","0","0","1","0","1","geq_200","lt_100","geq_4"
"0","0","0",57,24,1377,4,2,1,1,"0","1","0","0","0","0","0","0","0","0","0","1","geq_200","geq_100_lt_500","geq_1_lt_4"
"1","0","1",27,9,1309,3,4,1,1,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","0",36,6,1374,4,3,2,1,"1","0","0","0","0","0","0","0","1","0","1","1","lt_0","lt_100","geq_1_lt_4"
"1","0","0",60,18,2760,2,2,2,1,"0","1","0","1","1","0","1","0","0","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",41,48,10297,4,3,3,2,"1","1","0","0","0","0","0","0","0","0","0","1","lt_0","lt_100","geq_4"
"1","0","0",27,24,4113,4,1,1,1,"1","1","0","0","0","0","0","0","0","1","0","1","geq_0_lt_200","geq_500","lt_1"
"1","0","0",64,12,1364,1,2,1,1,"1","1","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"0","0","0",27,12,727,4,4,1,1,"1","1","0","0","0","0","0","0","0","0","0","0","geq_0_lt_200","geq_100_lt_500","lt_1"
"1","0","1",33,24,2058,4,2,2,1,"1","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_4"
"1","0","1",21,48,1845,4,4,1,1,"0","1","0","0","0","0","0","0","1","1","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"0","0","0",30,18,1055,4,1,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","geq_100_lt_500","geq_1_lt_4"
"1","0","1",54,10,701,4,3,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_4"
"0","0","0",49,12,1820,4,2,1,1,"0","1","0","0","0","0","0","0","1","0","0","0","lt_0","lt_100","geq_1_lt_4"
"1","0","0",42,30,1406,4,4,2,1,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",40,6,1856,4,4,1,2,"0","1","0","1","0","0","0","0","1","0","0","1","lt_0","lt_100","geq_1_lt_4"
"1","0","1",40,18,947,4,4,1,2,"0","1","0","0","1","0","0","0","1","0","0","0","geq_0_lt_200","lt_100","geq_4"
"1","0","1",51,60,3915,4,4,1,2,"0","1","0","0","0","0","0","0","0","0","0","1","geq_0_lt_200","lt_100","geq_4"
"0","0","1",55,12,3872,2,4,1,1,"0","1","0","0","0","0","0","0","0","0","0","1","geq_0_lt_200","lt_100","geq_1_lt_4"
"0","0","0",24,18,2212,4,2,1,1,"1","0","0","0","0","0","0","0","1","0","0","1","lt_0","lt_100","lt_1"
